ANADIA-AL,,,,AL,,,,,"902,22",,,,,,,-,,,,,,"902,22",,,,,,"5.177,80",,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"1.165,37",,,,,,,-,,,,,,"1.165,37",,,,,,"6.688,02",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"789,44",,,,,,,-,,,,,,"789,44",,,,,,"4.530,58",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"751,85",,,,,,,-,,,,,,"751,85",,,,,,"4.314,83",,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"1.015,00",,,,,,,-,,,,,,"1.015,00",,,,,,"5.825,05",,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"789,44",,,,,,,-,,,,,,"789,44",,,,,,"4.530,58",,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"939,81",,,,,,,-,,,,,,"939,81",,,,,,"5.393,56",,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"751,85",,,,,,,-,,,,,,"751,85",,,,,,"4.314,83",,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"1.165,37",,,,,,,-,,,,,,"1.165,37",,,,,,"6.688,02",,,,,,,,,
CAPELA-AL,,,,AL,,,,,"939,81",,,,,,,-,,,,,,"939,81",,,,,,"5.393,56",,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"751,85",,,,,,,-,,,,,,"751,85",,,,,,"4.314,83",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"902,22",,,,,,,-,,,,,,"902,22",,,,,,"5.177,80",,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"932,63",,,,,,,"116,60",,,,,,"1.049,23",,,,,,"7.765,83",,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"1.289.172,16",,,,,,,"79.456,72",,,,,,"1.368.628,88",,,,,,"7.767.775,67",,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"27.287,92",,,,,,,"37.401,51",,,,,,"64.689,43",,,,,,"371.250,56",,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"789,44",,,,,,,-,,,,,,"789,44",,,,,,"4.530,58",,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"864,63",,,,,,,-,,,,,,"864,63",,,,,,"4.962,07",,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"977,41",,,,,,,-,,,,,,"977,41",,,,,,"5.609,30",,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"751,85",,,,,,,-,,,,,,"751,85",,,,,,"4.314,83",,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"751,85",,,,,,,-,,,,,,"751,85",,,,,,"4.314,83",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,,"827,04",,,,,,,-,,,,,,"827,04",,,,,,"24.217,61",,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"977,41",,,,,,,-,,,,,,"977,41",,,,,,"5.609,30",,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"751,85",,,,,,,-,,,,,,"751,85",,,,,,"4.314,83",,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"977,41",,,,,,,-,,,,,,"977,41",,,,,,"5.609,30",,,,,,,,,
MACEIO-AL,,,,AL,,,,,"94.763,56",,,,,,,"21.475,68",,,,,,"116.239,24",,,,,,"746.033,07",,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"977,41",,,,,,,-,,,,,,"977,41",,,,,,"5.609,30",,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"147.464,95",,,,,,,"121.071,50",,,,,,"268.536,45",,,,,,"1.817.422,89",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"1.015,00",,,,,,,-,,,,,,"1.015,00",,,,,,"5.825,05",,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"789,44",,,,,,,-,,,,,,"789,44",,,,,,"4.530,58",,,,,,,,,
MURICI-AL,,,,AL,,,,,"1.015,00",,,,,,,-,,,,,,"1.015,00",,,,,,"5.825,05",,,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"789,44",,,,,,,-,,,,,,"789,44",,,,,,"4.530,58",,,,,,,,,
