PORTO REAL DO COLEGIO,,,,AL,,,,,"614,34",,,,,,,-,,,,,,,"614,34",,,,,,,,,"1.830,23",,,,,,,,,,,
RIO LARGO,,,,AL,,,,,"3.657,35",,,,,,,"1.835,94",,,,,,,"5.493,29",,,,,,,,,"21.213,74",,,,,,,,,,,
ROTEIRO,,,,AL,,,,,"643,24",,,,,,,"97,89",,,,,,,"741,13",,,,,,,,,"2.373,51",,,,,,,,,,,
SANTA LUZIA DO NORTE,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
SANTANA DO MUNDAU,,,,AL,,,,,"516,05",,,,,,,-,,,,,,,"516,05",,,,,,,,,"1.537,40",,,,,,,,,,,
SAO JOSE DA LAJE,,,,AL,,,,,"638,91",,,,,,,-,,,,,,,"638,91",,,,,,,,,"1.903,44",,,,,,,,,,,
SAO LUIS DO QUITUNDE,,,,AL,,,,,"688,06",,,,,,,-,,,,,,,"688,06",,,,,,,,,"2.049,86",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS,,,,AL,,,,,"181.256,51",,,,,,,"102.892,34",,,,,,,"284.148,85",,,,,,,,,"866.206,63",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES,,,,AL,,,,,"491,47",,,,,,,-,,,,,,,"491,47",,,,,,,,,"1.464,19",,,,,,,,,,,
SATUBA,,,,AL,,,,,"44.374,19",,,,,,,"28.272,65",,,,,,,"72.646,84",,,,,,,,,"210.222,50",,,,,,,,,,,
TEOTONIO VILELA,,,,AL,,,,,"737,21",,,,,,,-,,,,,,,"737,21",,,,,,,,,"2.196,29",,,,,,,,,,,
UNIAO DOS PALMARES,,,,AL,,,,,"810,93",,,,,,,-,,,,,,,"810,93",,,,,,,,,"2.415,91",,,,,,,,,,,
VICOSA,,,,AL,,,,,"663,49",,,,,,,-,,,,,,,"663,49",,,,,,,,,"1.976,66",,,,,,,,,,,
TOTAL ALAGOAS,,,,,,,,,"1.376.132,47",,,,,,,"393.857,70",,,,,,,"1.769.990,17",,,,,,,,,"5.121.579,62",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA,,,,AM,,,,,-,,,,,,,"1.955,12",,,,,,,"1.955,12",,,,,,,,,"5.393,59",,,,,,,,,,,
ANORI,,,,AM,,,,,-,,,,,,,"1.955,12",,,,,,,"1.955,12",,,,,,,,,"5.393,59",,,,,,,,,,,
AUTAZES,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
BERURI,,,,AM,,,,,-,,,,,,,"1.955,12",,,,,,,"1.955,12",,,,,,,,,"5.393,59",,,,,,,,,,,
CAREIRO DA VARZEA,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
CAREIRO,,,,AM,,,,,-,,,,,,,"1.955,12",,,,,,,"1.955,12",,,,,,,,,"5.393,59",,,,,,,,,,,
COARI,,,,AM,,,,,"1.423.560,68",,,,,,,"1.312.141,61",,,,,,,"2.735.702,29",,,,,,,,,"7.823.245,71",,,,,,,,,,,
CODAJAS,,,,AM,,,,,-,,,,,,,"1.955,12",,,,,,,"1.955,12",,,,,,,,,"5.393,59",,,,,,,,,,,
IRANDUBA,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
ITACOATIARA,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
ITAPIRANGA,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
MANACAPURU,,,,AM,,,,,-,,,,,,,"1.955,12",,,,,,,"1.955,12",,,,,,,,,"5.393,59",,,,,,,,,,,
MANAQUIRI,,,,AM,,,,,-,,,,,,,"1.955,12",,,,,,,"1.955,12",,,,,,,,,"5.393,59",,,,,,,,,,,
MANAUS,,,,AM,,,,,"802.068,83",,,,,,,"59.301,47",,,,,,,"861.370,30",,,,,,,,,"2.479.640,64",,,,,,,,,,,
PARINTINS,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
SILVES,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
URUCARA,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
URUCURITUBA,,,,AM,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
TOTAL AMAZONAS,,,,,,,,,"2.225.629,51",,,,,,,"1.429.420,71",,,,,,,"3.655.050,22",,,,,,,,,"10.465.596,04",,,,,,,,,,,
LARANJAL DO JARI,,,,AP,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
MACAPA,,,,AP,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
MAZAGAO,,,,AP,,,,,-,,,,,,,"4.921,31",,,,,,,"4.921,31",,,,,,,,,"13.883,84",,,,,,,,,,,
TOTAL AMAPA,,,,,,,,,-,,,,,,,"14.763,93",,,,,,,"14.763,93",,,,,,,,,"41.651,52",,,,,,,,,,,
ACAJUTIBA,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
ADUSTINA,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
AGUA FRIA,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
AIQUARA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ALAGOINHAS,,,,BA,,,,,"222.836,78",,,,,,,"115.172,64",,,,,,,"338.009,42",,,,,,,,,"1.018.434,39",,,,,,,,,,,
AMARGOSA,,,,BA,,,,,"103,98",,,,,,,-,,,,,,,"103,98",,,,,,,,,"310,35",,,,,,,,,,,
AMELIA RODRIGUES,,,,BA,,,,,"100,26",,,,,,,-,,,,,,,"100,26",,,,,,,,,"299,27",,,,,,,,,,,
ANAGE,,,,BA,,,,,"115,12",,,,,,,-,,,,,,,"115,12",,,,,,,,,"343,61",,,,,,,,,,,
ANGUERA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ANTAS,,,,BA,,,,,"85,41",,,,,,,-,,,,,,,"85,41",,,,,,,,,"254,93",,,,,,,,,,,
ANTONIO CARDOSO,,,,BA,,,,,"77,98",,,,,,,-,,,,,,,"77,98",,,,,,,,,"232,76",,,,,,,,,,,
APORA,,,,BA,,,,,"89,12",,,,,,,-,,,,,,,"89,12",,,,,,,,,"266,01",,,,,,,,,,,
APUAREMA,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ARACAS,,,,BA,,,,,"185.513,50",,,,,,,"82.049,03",,,,,,,"267.562,53",,,,,,,,,"789.825,44",,,,,,,,,,,
ARACI,,,,BA,,,,,"115,12",,,,,,,-,,,,,,,"115,12",,,,,,,,,"343,61",,,,,,,,,,,
ARAMARI,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
ARATUIPE,,,,BA,,,,,"74,27",,,,,,,-,,,,,,,"74,27",,,,,,,,,"221,68",,,,,,,,,,,
BAIXA GRANDE,,,,BA,,,,,"96,55",,,,,,,-,,,,,,,"96,55",,,,,,,,,"288,18",,,,,,,,,,,
BANZAE,,,,BA,,,,,"77,98",,,,,,,-,,,,,,,"77,98",,,,,,,,,"232,76",,,,,,,,,,,
