ANADIA-AL,,,,,,,,AL,,"669,58",,,,,,-,,,,,,"669,58",,,,,,,"5.876,08",,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"892,78",,,,,,-,,,,,,"892,78",,,,,,,"7.834,79",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"613,78",,,,,,-,,,,,,"613,78",,,,,,,"5.386,40",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"557,98",,,,,,-,,,,,,"557,98",,,,,,,"4.896,73",,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"753,28",,,,,,-,,,,,,"753,28",,,,,,,"6.610,61",,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"585,88",,,,,,-,,,,,,"585,88",,,,,,,"5.141,56",,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"725,38",,,,,,-,,,,,,"725,38",,,,,,,"6.365,77",,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"557,98",,,,,,-,,,,,,"557,98",,,,,,,"4.896,73",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"864,88",,,,,,-,,,,,,"864,88",,,,,,,"7.589,97",,,,,,,,,
CAPELA-AL,,,,,,,,AL,,"669,58",,,,,,-,,,,,,"669,58",,,,,,,"5.876,08",,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"557,98",,,,,,-,,,,,,"557,98",,,,,,,"4.896,73",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"697,48",,,,,,-,,,,,,"697,48",,,,,,,"6.120,93",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"59.695,81",,,,,,"278,23",,,,,,"59.974,04",,,,,,,"422.789,66",,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"1.409.147,20",,,,,,"52.929,16",,,,,,"1.462.076,36",,,,,,,"12.239.275,00",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"20.055,36",,,,,,"28.027,36",,,,,,"48.082,72",,,,,,,"421.963,02",,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"585,88",,,,,,-,,,,,,"585,88",,,,,,,"5.141,56",,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"641,68",,,,,,-,,,,,,"641,68",,,,,,,"5.631,24",,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"725,38",,,,,,-,,,,,,"725,38",,,,,,,"6.365,77",,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"557,98",,,,,,-,,,,,,"557,98",,,,,,,"4.896,73",,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"557,98",,,,,,-,,,,,,"557,98",,,,,,,"4.896,73",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"585,88",,,,,,-,,,,,,"585,88",,,,,,,"11.329,91",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"725,38",,,,,,-,,,,,,"725,38",,,,,,,"6.365,77",,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"559,93",,,,,,-,,,,,,"559,93",,,,,,,"4.907,12",,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"753,28",,,,,,-,,,,,,"753,28",,,,,,,"6.610,61",,,,,,,,,
MACEIO-AL,,,,,,,,AL,,"71.412,45",,,,,,"18.379,69",,,,,,"89.792,14",,,,,,,"805.440,17",,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"753,28",,,,,,-,,,,,,"753,28",,,,,,,"6.610,61",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"79.700,92",,,,,,"61.443,82",,,,,,"141.144,74",,,,,,,"1.551.499,34",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,"753,28",,,,,,-,,,,,,"753,28",,,,,,,"6.610,61",,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,"641,68",,,,,,-,,,,,,"641,68",,,,,,,"5.631,24",,,,,,,,,
MURICI-AL,,,,,,,,AL,,"753,28",,,,,,-,,,,,,"753,28",,,,,,,"6.610,61",,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,"585,88",,,,,,-,,,,,,"585,88",,,,,,,"5.141,56",,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,"557,98",,,,,,"7.230,33",,,,,,"7.788,31",,,,,,,"78.974,86",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,"613,78",,,,,,-,,,,,,"613,78",,,,,,,"5.386,40",,,,,,,,,
PENEDO-AL,,,,,,,,AL,,"933,79",,,,,,-,,,,,,"933,79",,,,,,,"1.323.241,08",,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,"669,58",,,,,,-,,,,,,"669,58",,,,,,,"5.876,08",,,,,,,,,
PILAR-AL,,,,,,,,AL,,"121.387,93",,,,,,"77.791,35",,,,,,"199.179,28",,,,,,,"1.774.137,64",,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,"557,98",,,,,,-,,,,,,"557,98",,,,,,,"4.896,73",,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,"753,28",,,,,,-,,,,,,"753,28",,,,,,,"6.610,61",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,"585,88",,,,,,-,,,,,,"585,88",,,,,,,"5.141,56",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"669,58",,,,,,-,,,,,,"669,58",,,,,,,"5.876,08",,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,"10.497,80",,,,,,"6.158,00",,,,,,"16.655,80",,,,,,,"176.599,84",,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,"60.198,00",,,,,,"655,99",,,,,,"60.853,99",,,,,,,"436.092,71",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,"559,93",,,,,,-,,,,,,"559,93",,,,,,,"6.090,13",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,"585,88",,,,,,-,,,,,,"585,88",,,,,,,"5.141,56",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,"725,38",,,,,,-,,,,,,"725,38",,,,,,,"6.365,77",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,"781,18",,,,,,-,,,,,,"781,18",,,,,,,"6.855,44",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,"215.433,55",,,,,,"134.153,39",,,,,,"349.586,94",,,,,,,"4.253.768,77",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,"557,98",,,,,,-,,,,,,"557,98",,,,,,,"4.896,73",,,,,,,,,
SATUBA-AL,,,,,,,,AL,,"18.769,65",,,,,,"11.684,08",,,,,,"30.453,73",,,,,,,"1.701.532,23",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,"864,88",,,,,,-,,,,,,"864,88",,,,,,,"7.589,97",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,"920,67",,,,,,-,,,,,,"920,67",,,,,,,"8.079,62",,,,,,,,,
VICOSA-AL,,,,,,,,AL,,"753,28",,,,,,-,,,,,,"753,28",,,,,,,"6.610,61",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"2.094.717,03",,,,,,"398.731,40",,,,,,"2.493.448,43",,,,,,,"25.428.974,06",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,,AM,,-,,,,,,"2.697,26",,,,,,"2.697,26",,,,,,,"24.392,81",,,,,,,,,
ANORI-AM,,,,,,,,AM,,-,,,,,,"2.697,26",,,,,,"2.697,26",,,,,,,"24.392,81",,,,,,,,,
AUTAZES-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
BERURI-AM,,,,,,,,AM,,-,,,,,,"2.697,26",,,,,,"2.697,26",,,,,,,"24.392,81",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
CAREIRO-AM,,,,,,,,AM,,-,,,,,,"2.697,26",,,,,,"2.697,26",,,,,,,"24.392,81",,,,,,,,,
COARI-AM,,,,,,,,AM,,"1.897.714,91",,,,,,"1.889.889,13",,,,,,"3.787.604,04",,,,,,,"34.471.186,60",,,,,,,,,
CODAJAS-AM,,,,,,,,AM,,-,,,,,,"2.697,26",,,,,,"2.697,26",,,,,,,"24.392,81",,,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,-,,,,,,"2.697,26",,,,,,"2.697,26",,,,,,,"24.392,81",,,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,-,,,,,,"2.697,26",,,,,,"2.697,26",,,,,,,"24.392,81",,,,,,,,,
MANAUS-AM,,,,,,,,AM,,"1.375.361,67",,,,,,"84.820,15",,,,,,"1.460.181,82",,,,,,,"9.886.434,03",,,,,,,,,
PARINTINS-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
SILVES-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
URUCARA-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
URUCURITUBA-AM,,,,,,,,AM,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,"3.273.076,58",,,,,,"2.056.095,01",,,,,,"5.329.171,59",,,,,,,"45.104.747,76",,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,AP,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
MACAPA-AP,,,,,,,,AP,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
MAZAGAO-AP,,,,,,,,AP,,-,,,,,,"6.944,99",,,,,,"6.944,99",,,,,,,"64.041,94",,,,,,,,,
AMAPA  TOTAL,,,,,,,,,,-,,,,,,"20.834,97",,,,,,"20.834,97",,,,,,,"192.125,82",,,,,,,,,
ACAJUTIBA-BA,,,,,,,,BA,,"1.192,62",,,,,,-,,,,,,"1.192,62",,,,,,,"10.476,32",,,,,,,,,
ADUSTINA-BA,,,,,,,,BA,,"1.192,62",,,,,,-,,,,,,"1.192,62",,,,,,,"10.476,32",,,,,,,,,
AGUA FRIA-BA,,,,,,,,BA,,"1.192,62",,,,,,-,,,,,,"1.192,62",,,,,,,"10.476,32",,,,,,,,,
AIQUARA-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
ALAGOINHAS-BA,,,,,,,,BA,,"358.772,74",,,,,,"208.641,53",,,,,,"567.414,27",,,,,,,"4.049.582,32",,,,,,,,,
ALCOBACA-BA,,,,,,,,BA,,"1.296,32",,,,,,-,,,,,,"1.296,32",,,,,,,"11.387,31",,,,,,,,,
ALMADINA-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
AMARGOSA-BA,,,,,,,,BA,,"1.503,73",,,,,,-,,,,,,"1.503,73",,,,,,,"13.209,32",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,BA,,"1.348,17",,,,,,-,,,,,,"1.348,17",,,,,,,"11.842,82",,,,,,,,,
ANAGE-BA,,,,,,,,BA,,"1.400,03",,,,,,-,,,,,,"1.400,03",,,,,,,"12.298,30",,,,,,,,,
ANGUERA-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
ANTAS-BA,,,,,,,,BA,,"1.244,47",,,,,,-,,,,,,"1.244,47",,,,,,,"10.931,84",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,BA,,"1.140,76",,,,,,-,,,,,,"1.140,76",,,,,,,"10.020,84",,,,,,,,,
APORA-BA,,,,,,,,BA,,"1.244,47",,,,,,-,,,,,,"1.244,47",,,,,,,"10.931,84",,,,,,,,,
APUAREMA-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
ARACAS-BA,,,,,,,,BA,,"251.536,19",,,,,,"133.260,55",,,,,,"384.796,74",,,,,,,"3.438.685,55",,,,,,,,,
ARACI-BA,,,,,,,,BA,,"1.659,29",,,,,,-,,,,,,"1.659,29",,,,,,,"14.575,79",,,,,,,,,
ARAMARI-BA,,,,,,,,BA,,"2.270,96",,,,,,"518,23",,,,,,"2.789,19",,,,,,,"19.771,49",,,,,,,,,
ARATACA-BA,,,,,,,,BA,,"1.088,91",,,,,,-,,,,,,"1.088,91",,,,,,,"9.565,34",,,,,,,,,
ARATUIPE-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
AURELINO LEAL-BA,,,,,,,,BA,,"1.192,62",,,,,,-,,,,,,"1.192,62",,,,,,,"10.476,32",,,,,,,,,
BAIXA GRANDE-BA,,,,,,,,BA,,"1.348,17",,,,,,-,,,,,,"1.348,17",,,,,,,"11.842,82",,,,,,,,,
BANZAE-BA,,,,,,,,BA,,"1.088,91",,,,,,-,,,,,,"1.088,91",,,,,,,"9.565,34",,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,BA,,"1.503,73",,,,,,-,,,,,,"1.503,73",,,,,,,"13.209,32",,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
BARRO PRETO-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
BARROCAS-BA,,,,,,,,BA,,"1.140,76",,,,,,-,,,,,,"1.140,76",,,,,,,"10.020,84",,,,,,,,,
BELMONTE-BA,,,,,,,,BA,,"1.348,17",,,,,,-,,,,,,"1.348,17",,,,,,,"11.842,82",,,,,,,,,
BELO CAMPO-BA,,,,,,,,BA,,"1.192,62",,,,,,-,,,,,,"1.192,62",,,,,,,"10.476,32",,,,,,,,,
BIRITINGA-BA,,,,,,,,BA,,"1.140,76",,,,,,-,,,,,,"1.140,76",,,,,,,"10.020,84",,,,,,,,,
BOA NOVA-BA,,,,,,,,BA,,"1.244,47",,,,,,-,,,,,,"1.244,47",,,,,,,"10.931,84",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,BA,,"1.244,47",,,,,,-,,,,,,"1.244,47",,,,,,,"10.931,84",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,BA,,"1.088,91",,,,,,-,,,,,,"1.088,91",,,,,,,"9.565,34",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES-BA,,,,,,,,BA,,"1.140,76",,,,,,-,,,,,,"1.140,76",,,,,,,"10.020,84",,,,,,,,,
BUERAREMA-BA,,,,,,,,BA,,"1.296,32",,,,,,-,,,,,,"1.296,32",,,,,,,"11.387,31",,,,,,,,,
CAATIBA-BA,,,,,,,,BA,,"1.088,91",,,,,,-,,,,,,"1.088,91",,,,,,,"9.565,34",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,BA,,"1.244,47",,,,,,-,,,,,,"1.244,47",,,,,,,"10.931,84",,,,,,,,,
CACHOEIRA-BA,,,,,,,,BA,,"1.503,73",,,,,,-,,,,,,"1.503,73",,,,,,,"13.209,32",,,,,,,,,
CAEM-BA,,,,,,,,BA,,"1.088,91",,,,,,-,,,,,,"1.088,91",,,,,,,"9.565,34",,,,,,,,,
CAETANOS-BA,,,,,,,,BA,,"1.140,76",,,,,,-,,,,,,"1.140,76",,,,,,,"10.020,84",,,,,,,,,
CAIRU-BA,,,,,,,,BA,,"38.961,11",,,,,,"407.918,38",,,,,,"446.879,49",,,,,,,"3.909.870,48",,,,,,,,,
CAMACAN-BA,,,,,,,,BA,,"1.451,88",,,,,,-,,,,,,"1.451,88",,,,,,,"12.753,81",,,,,,,,,
CAMACARI-BA,,,,,,,,BA,,"2.275,74",,,,,,"84,68",,,,,,"2.360,42",,,,,,,"23.416,82",,,,,,,,,
CAMAMU-BA,,,,,,,,BA,,"1.503,73",,,,,,-,,,,,,"1.503,73",,,,,,,"13.209,32",,,,,,,,,
CANAVIEIRAS-BA,,,,,,,,BA,,"1.503,73",,,,,,-,,,,,,"1.503,73",,,,,,,"13.209,32",,,,,,,,,
CANDEAL-BA,,,,,,,,BA,,"1.037,06",,,,,,-,,,,,,"1.037,06",,,,,,,"9.109,86",,,,,,,,,
CANDEIAS-BA,,,,,,,,BA,,"206.743,34",,,,,,"219.570,01",,,,,,"426.313,35",,,,,,,"3.988.051,43",,,,,,,,,
CANDIDO SALES-BA,,,,,,,,BA,,"1.400,03",,,,,,-,,,,,,"1.400,03",,,,,,,"12.298,30",,,,,,,,,
CANSANCAO-BA,,,,,,,,BA,,"1.503,73",,,,,,-,,,,,,"1.503,73",,,,,,,"13.209,32",,,,,,,,,
CANUDOS-BA,,,,,,,,BA,,"1.192,62",,,,,,-,,,,,,"1.192,62",,,,,,,"10.476,32",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,BA,,"1.140,76",,,,,,-,,,,,,"1.140,76",,,,,,,"10.020,84",,,,,,,,,
CAPIM GROSSO-BA,,,,,,,,BA,,"1.400,03",,,,,,-,,,,,,"1.400,03",,,,,,,"12.298,30",,,,,,,,,
CARAVELAS-BA,,,,,,,,BA,,"1.348,17",,,,,,-,,,,,,"1.348,17",,,,,,,"11.842,82",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,BA,,"74.556,86",,,,,,"9.802,39",,,,,,"84.359,25",,,,,,,"1.149.724,11",,,,,,,,,
