ANADIA-AL,,,,AL,,,"812,61",,,,,-,,,,,,"812,61",,,,,"812,61",,,,,,,,,,,
ATALAIA-AL,,,,AL,,,"1.049,62",,,,,-,,,,,,"1.049,62",,,,,"1.049,62",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,"711,03",,,,,-,,,,,,"711,03",,,,,"711,03",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,"914,18",,,,,-,,,,,,"914,18",,,,,"914,18",,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,"711,03",,,,,-,,,,,,"711,03",,,,,"711,03",,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,"846,47",,,,,-,,,,,,"846,47",,,,,"846,47",,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,"1.049,62",,,,,-,,,,,,"1.049,62",,,,,"1.049,62",,,,,,,,,,,
CAPELA-AL,,,,AL,,,"846,47",,,,,-,,,,,,"846,47",,,,,"846,47",,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,"812,61",,,,,-,,,,,,"812,61",,,,,"812,61",,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,"1.995,38",,,,,"850,24",,,,,,"2.845,62",,,,,"2.845,62",,,,,,,,,,,
CORURIPE-AL,,,,AL,,,"977.185,59",,,,,"64.220,80",,,,,,"1.041.406,39",,,,,"1.041.406,39",,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,"24.577,50",,,,,"33.686,54",,,,,,"58.264,04",,,,,"58.264,04",,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,"711,03",,,,,-,,,,,,"711,03",,,,,"711,03",,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,"778,75",,,,,-,,,,,,"778,75",,,,,"778,75",,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,"880,32",,,,,-,,,,,,"880,32",,,,,"880,32",,,,,,,,,,,
JACUIPE-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,"2.606,74",,,,,"781,97",,,,,,"3.388,71",,,,,"3.388,71",,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,"880,32",,,,,-,,,,,,"880,32",,,,,"880,32",,,,,,,,,,,
JUNDIA-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,"880,32",,,,,-,,,,,,"880,32",,,,,"880,32",,,,,,,,,,,
MACEIO-AL,,,,AL,,,"83.685,95",,,,,"16.622,89",,,,,,"100.308,84",,,,,"100.308,84",,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,"880,32",,,,,-,,,,,,"880,32",,,,,"880,32",,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,"133.092,07",,,,,"102.105,68",,,,,,"235.197,75",,,,,"235.197,75",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,"914,18",,,,,-,,,,,,"914,18",,,,,"914,18",,,,,,,,,,,
MESSIAS-AL,,,,AL,,,"711,03",,,,,-,,,,,,"711,03",,,,,"711,03",,,,,,,,,,,
MURICI-AL,,,,AL,,,"914,18",,,,,-,,,,,,"914,18",,,,,"914,18",,,,,,,,,,,
NOVO LINO-AL,,,,AL,,,"711,03",,,,,-,,,,,,"711,03",,,,,"711,03",,,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,"677,17",,,,,"8.541,11",,,,,,"9.218,28",,,,,"9.218,28",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,"744,89",,,,,-,,,,,,"744,89",,,,,"744,89",,,,,,,,,,,
PENEDO-AL,,,,AL,,,"1.117,34",,,,,-,,,,,,"1.117,34",,,,,"1.117,34",,,,,,,,,,,
PIACABUCU-AL,,,,AL,,,"812,61",,,,,-,,,,,,"812,61",,,,,"812,61",,,,,,,,,,,
PILAR-AL,,,,AL,,,"203.630,64",,,,,"130.730,28",,,,,,"334.360,92",,,,,"334.360,92",,,,,,,,,,,
PINDOBA-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,"880,32",,,,,-,,,,,,"880,32",,,,,"880,32",,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,"711,03",,,,,-,,,,,,"711,03",,,,,"711,03",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,"846,47",,,,,-,,,,,,"846,47",,,,,"846,47",,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,"13.323,13",,,,,"7.872,73",,,,,,"21.195,86",,,,,"21.195,86",,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,"814,69",,,,,"88,70",,,,,,"903,39",,,,,"903,39",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,"711,03",,,,,-,,,,,,"711,03",,,,,"711,03",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,"880,32",,,,,-,,,,,,"880,32",,,,,"880,32",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,"948,04",,,,,-,,,,,,"948,04",,,,,"948,04",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,"218.207,44",,,,,"123.843,69",,,,,,"342.051,13",,,,,"342.051,13",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,"677,17",,,,,-,,,,,,"677,17",,,,,"677,17",,,,,,,,,,,
SATUBA-AL,,,,AL,,,"30.938,73",,,,,"19.475,03",,,,,,"50.413,76",,,,,"50.413,76",,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,"1.015,76",,,,,-,,,,,,"1.015,76",,,,,"1.015,76",,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,"1.117,34",,,,,-,,,,,,"1.117,34",,,,,"1.117,34",,,,,,,,,,,
VICOSA-AL,,,,AL,,,"914,18",,,,,-,,,,,,"914,18",,,,,"914,18",,,,,,,,,,,
TOTAL ALAGOAS,,,,,,,"1.723.544,01",,,,,"508.819,66",,,,,,"2.232.363,67",,,,,"2.232.363,67",,,,,,,,,,,
ANAMA-AM,,,,AM,,,-,,,,,"2.060,82",,,,,,"2.060,82",,,,,"2.060,82",,,,,,,,,,,
ANORI-AM,,,,AM,,,-,,,,,"2.060,82",,,,,,"2.060,82",,,,,"2.060,82",,,,,,,,,,,
AUTAZES-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
BERURI-AM,,,,AM,,,-,,,,,"2.060,82",,,,,,"2.060,82",,,,,"2.060,82",,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
CAREIRO-AM,,,,AM,,,-,,,,,"2.060,82",,,,,,"2.060,82",,,,,"2.060,82",,,,,,,,,,,
COARI-AM,,,,AM,,,"1.793.824,55",,,,,"1.639.814,13",,,,,,"3.433.638,68",,,,,"3.433.638,68",,,,,,,,,,,
CODAJAS-AM,,,,AM,,,-,,,,,"2.060,82",,,,,,"2.060,82",,,,,"2.060,82",,,,,,,,,,,
IRANDUBA-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
ITACOATIARA-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
ITAPIRANGA-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
MANACAPURU-AM,,,,AM,,,-,,,,,"2.060,82",,,,,,"2.060,82",,,,,"2.060,82",,,,,,,,,,,
MANAQUIRI-AM,,,,AM,,,-,,,,,"2.060,82",,,,,,"2.060,82",,,,,"2.060,82",,,,,,,,,,,
MANAUS-AM,,,,AM,,,"1.011.235,96",,,,,"63.507,69",,,,,,"1.074.743,65",,,,,"1.074.743,65",,,,,,,,,,,
PARINTINS-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
SILVES-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
URUCARA-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
URUCURITUBA-AM,,,,AM,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
TOTAL AMAZONAS,,,,,,,"2.805.060,51",,,,,"1.764.899,46",,,,,,"4.569.959,97",,,,,"4.569.959,97",,,,,,,,,,,
LARANJAL DO JARI-AP,,,,AP,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
MACAPA-AP,,,,AP,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
MAZAGAO-AP,,,,AP,,,-,,,,,"5.239,10",,,,,,"5.239,10",,,,,"5.239,10",,,,,,,,,,,
TOTAL AMAPA,,,,,,,-,,,,,"15.717,30",,,,,,"15.717,30",,,,,"15.717,30",,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
AIQUARA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,"277.551,35",,,,,"128.521,14",,,,,,"406.072,49",,,,,"406.072,49",,,,,,,,,,,
AMARGOSA-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,"90,92",,,,,-,,,,,,"90,92",,,,,"90,92",,,,,,,,,,,
ANAGE-BA,,,,BA,,,"94,29",,,,,-,,,,,,"94,29",,,,,"94,29",,,,,,,,,,,
ANGUERA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
ANTAS-BA,,,,BA,,,"77,45",,,,,-,,,,,,"77,45",,,,,"77,45",,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,"70,72",,,,,-,,,,,,"70,72",,,,,"70,72",,,,,,,,,,,
APORA-BA,,,,BA,,,"80,82",,,,,-,,,,,,"80,82",,,,,"80,82",,,,,,,,,,,
APUAREMA-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
ARACAS-BA,,,,BA,,,"222.089,01",,,,,"94.446,44",,,,,,"316.535,45",,,,,"316.535,45",,,,,,,,,,,
ARACI-BA,,,,BA,,,"104,39",,,,,-,,,,,,"104,39",,,,,"104,39",,,,,,,,,,,
ARAMARI-BA,,,,BA,,,"67,35",,,,,-,,,,,,"67,35",,,,,"67,35",,,,,,,,,,,
