ANADIA-AL,,,,AL,,,,,"908,71",,,,,,,-,,,,,,,"908,71",,,,,,,"5.532,46",,,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"1.211,61",,,,,,,-,,,,,,,"1.211,61",,,,,,,"7.376,62",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"832,98",,,,,,,-,,,,,,,"832,98",,,,,,,"5.071,41",,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"4.610,38",,,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"1.022,30",,,,,,,-,,,,,,,"1.022,30",,,,,,,"6.224,04",,,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"795,12",,,,,,,-,,,,,,,"795,12",,,,,,,"4.840,90",,,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"984,43",,,,,,,-,,,,,,,"984,43",,,,,,,"5.993,50",,,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"4.610,38",,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"1.173,75",,,,,,,-,,,,,,,"1.173,75",,,,,,,"7.146,11",,,,,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"908,71",,,,,,,-,,,,,,,"908,71",,,,,,,"5.532,46",,,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"4.610,38",,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"946,57",,,,,,,-,,,,,,,"946,57",,,,,,,"5.762,99",,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"10.712,78",,,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"1.050.918,53",,,,,,,"80.027,40",,,,,,,"1.130.945,93",,,,,,,"7.196.880,10",,,,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"27.217,67",,,,,,,"38.036,69",,,,,,,"65.254,36",,,,,,,"397.287,12",,,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"795,12",,,,,,,-,,,,,,,"795,12",,,,,,,"4.840,90",,,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"870,84",,,,,,,-,,,,,,,"870,84",,,,,,,"5.301,94",,,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"984,43",,,,,,,-,,,,,,,"984,43",,,,,,,"5.993,50",,,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"4.610,38",,,,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"4.610,38",,,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,,"20.870,97",,,,,,,"8.431,85",,,,,,,"29.302,82",,,,,,,"57.092,97",,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"984,43",,,,,,,-,,,,,,,"984,43",,,,,,,"5.993,50",,,,,,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"50.744,11",,,,,,,-,,,,,,,"50.744,11",,,,,,,"186.728,58",,,,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"1.022,30",,,,,,,-,,,,,,,"1.022,30",,,,,,,"6.224,04",,,,,,,,,,,,,
MACEIO-AL,,,,AL,,,,,"68.125,20",,,,,,,"17.379,34",,,,,,,"85.504,54",,,,,,,"698.670,81",,,,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"1.022,30",,,,,,,-,,,,,,,"1.022,30",,,,,,,"6.224,04",,,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"113.956,65",,,,,,,"121.605,09",,,,,,,"235.561,74",,,,,,,"1.547.986,66",,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"1.022,30",,,,,,,-,,,,,,,"1.022,30",,,,,,,"6.224,04",,,,,,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"870,84",,,,,,,-,,,,,,,"870,84",,,,,,,"5.301,94",,,,,,,,,,,,,
MURICI-AL,,,,AL,,,,,"1.022,30",,,,,,,-,,,,,,,"1.022,30",,,,,,,"6.224,04",,,,,,,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"795,12",,,,,,,-,,,,,,,"795,12",,,,,,,"4.840,90",,,,,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"757,26",,,,,,,"13.034,50",,,,,,,"13.791,76",,,,,,,"79.487,66",,,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"832,98",,,,,,,-,,,,,,,"832,98",,,,,,,"5.071,41",,,,,,,,,,,,,
PENEDO-AL,,,,AL,,,,,"671.637,01",,,,,,,-,,,,,,,"671.637,01",,,,,,,"677.994,68",,,,,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,,"908,71",,,,,,,-,,,,,,,"908,71",,,,,,,"5.532,46",,,,,,,,,,,,,
PILAR-AL,,,,AL,,,,,"175.251,31",,,,,,,"112.353,29",,,,,,,"287.604,60",,,,,,,"2.280.317,61",,,,,,,,,,,,,
PINDOBA-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"4.610,38",,,,,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,,"1.022,30",,,,,,,-,,,,,,,"1.022,30",,,,,,,"6.224,04",,,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,,"795,12",,,,,,,-,,,,,,,"795,12",,,,,,,"4.840,90",,,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"908,71",,,,,,,-,,,,,,,"908,71",,,,,,,"5.532,46",,,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"20.083,95",,,,,,,"12.123,81",,,,,,,"32.207,76",,,,,,,"181.183,65",,,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"9.537,71",,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"52.942,67",,,,,,,"1.417,56",,,,,,,"54.360,23",,,,,,,"296.924,58",,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"795,12",,,,,,,-,,,,,,,"795,12",,,,,,,"4.840,90",,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"984,43",,,,,,,-,,,,,,,"984,43",,,,,,,"5.993,50",,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"1.060,16",,,,,,,-,,,,,,,"1.060,16",,,,,,,"6.454,55",,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"384.419,81",,,,,,,"292.673,48",,,,,,,"677.093,29",,,,,,,"4.131.492,63",,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"757,26",,,,,,,-,,,,,,,"757,26",,,,,,,"4.610,38",,,,,,,,,,,,,
SATUBA-AL,,,,AL,,,,,"702.730,82",,,,,,,"20.235,64",,,,,,,"722.966,46",,,,,,,"4.346.840,84",,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"1.173,75",,,,,,,-,,,,,,,"1.173,75",,,,,,,"7.146,11",,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"1.249,47",,,,,,,-,,,,,,,"1.249,47",,,,,,,"7.607,14",,,,,,,,,,,,,
VICOSA-AL,,,,AL,,,,,"1.022,30",,,,,,,-,,,,,,,"1.022,30",,,,,,,"6.224,04",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAGOAS TOTAL,,,,,,,,,"3.375.398,51",,,,,,,"717.318,65",,,,,,,"4.092.717,16",,,,,,,"22.307.527,88",,,,,,,,,,,,,
ANAMA-AM,,,,AM,,,,,-,,,,,,,"3.099,24",,,,,,,"3.099,24",,,,,,,"19.129,30",,,,,,,,,,,,,
ANORI-AM,,,,AM,,,,,-,,,,,,,"3.099,24",,,,,,,"3.099,24",,,,,,,"19.129,30",,,,,,,,,,,,,
AUTAZES-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
BERURI-AM,,,,AM,,,,,-,,,,,,,"3.099,24",,,,,,,"3.099,24",,,,,,,"19.129,30",,,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
CAREIRO-AM,,,,AM,,,,,-,,,,,,,"3.099,24",,,,,,,"3.099,24",,,,,,,"19.129,30",,,,,,,,,,,,,
COARI-AM,,,,AM,,,,,"2.412.599,42",,,,,,,"2.314.793,24",,,,,,,"4.727.392,66",,,,,,,"28.996.635,95",,,,,,,,,,,,,
CODAJAS-AM,,,,AM,,,,,-,,,,,,,"3.099,24",,,,,,,"3.099,24",,,,,,,"19.129,30",,,,,,,,,,,,,
IRANDUBA-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
ITACOATIARA-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
ITAPIRANGA-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
MANACAPURU-AM,,,,AM,,,,,-,,,,,,,"3.099,24",,,,,,,"3.099,24",,,,,,,"19.129,30",,,,,,,,,,,,,
MANAQUIRI-AM,,,,AM,,,,,-,,,,,,,"3.099,24",,,,,,,"3.099,24",,,,,,,"19.129,30",,,,,,,,,,,,,
MANAUS-AM,,,,AM,,,,,"1.073.964,95",,,,,,,"136.571,27",,,,,,,"1.210.536,22",,,,,,,"7.743.155,12",,,,,,,,,,,,,
PARINTINS-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
SILVES-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
URUCARA-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
URUCURITUBA-AM,,,,AM,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
AMAZONAS TOTAL,,,,,,,,,"3.486.564,37",,,,,,,"2.563.085,83",,,,,,,"6.049.650,20",,,,,,,"37.358.417,36",,,,,,,,,,,,,
LARANJAL DO JARI-AP,,,,AP,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
MACAPA-AP,,,,AP,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
MAZAGAO-AP,,,,AP,,,,,-,,,,,,,"10.002,96",,,,,,,"10.002,96",,,,,,,"53.857,91",,,,,,,,,,,,,
AMAPA TOTAL,,,,,,,,,-,,,,,,,"30.008,88",,,,,,,"30.008,88",,,,,,,"161.573,73",,,,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,,"1.055,49",,,,,,,-,,,,,,,"1.055,49",,,,,,,"6.526,50",,,,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,,"1.055,49",,,,,,,-,,,,,,,"1.055,49",,,,,,,"6.526,50",,,,,,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,,"1.055,49",,,,,,,-,,,,,,,"1.055,49",,,,,,,"6.526,50",,,,,,,,,,,,,
AIQUARA-BA,,,,BA,,,,,"917,82",,,,,,,-,,,,,,,"917,82",,,,,,,"5.675,21",,,,,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,,"354.331,98",,,,,,,"202.104,34",,,,,,,"556.436,32",,,,,,,"3.573.523,59",,,,,,,,,,,,,
ALCOBACA-BA,,,,BA,,,,,"1.141,56",,,,,,,-,,,,,,,"1.141,56",,,,,,,"7.053,03",,,,,,,,,,,,,
ALMADINA-BA,,,,BA,,,,,"917,82",,,,,,,-,,,,,,,"917,82",,,,,,,"5.675,21",,,,,,,,,,,,,
AMARGOSA-BA,,,,BA,,,,,"1.336,55",,,,,,,-,,,,,,,"1.336,55",,,,,,,"8.270,07",,,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,,"1.187,47",,,,,,,-,,,,,,,"1.187,47",,,,,,,"7.336,85",,,,,,,,,,,,,
ANAGE-BA,,,,BA,,,,,"1.233,35",,,,,,,-,,,,,,,"1.233,35",,,,,,,"7.620,59",,,,,,,,,,,,,
ANGUERA-BA,,,,BA,,,,,"917,82",,,,,,,-,,,,,,,"917,82",,,,,,,"5.675,21",,,,,,,,,,,,,
ANTAS-BA,,,,BA,,,,,"1.107,09",,,,,,,-,,,,,,,"1.107,09",,,,,,,"6.851,23",,,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,,"1.015,32",,,,,,,-,,,,,,,"1.015,32",,,,,,,"6.283,75",,,,,,,,,,,,,
APORA-BA,,,,BA,,,,,"1.101,39",,,,,,,-,,,,,,,"1.101,39",,,,,,,"6.810,30",,,,,,,,,,,,,
APUAREMA-BA,,,,BA,,,,,"917,82",,,,,,,-,,,,,,,"917,82",,,,,,,"5.675,21",,,,,,,,,,,,,
ARACAS-BA,,,,BA,,,,,"320.482,80",,,,,,,"167.945,10",,,,,,,"488.427,90",,,,,,,"3.150.502,96",,,,,,,,,,,,,
ARACI-BA,,,,BA,,,,,"1.474,22",,,,,,,-,,,,,,,"1.474,22",,,,,,,"9.121,34",,,,,,,,,,,,,
ARAMARI-BA,,,,BA,,,,,"2.600,04",,,,,,,"706,53",,,,,,,"3.306,57",,,,,,,"25.827,29",,,,,,,,,,,,,
ARATACA-BA,,,,BA,,,,,"963,72",,,,,,,-,,,,,,,"963,72",,,,,,,"5.959,03",,,,,,,,,,,,,
ARATUIPE-BA,,,,BA,,,,,"917,82",,,,,,,-,,,,,,,"917,82",,,,,,,"5.675,21",,,,,,,,,,,,,
AURELINO LEAL-BA,,,,BA,,,,,"1.049,79",,,,,,,-,,,,,,,"1.049,79",,,,,,,"6.485,58",,,,,,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,,"1.193,17",,,,,,,-,,,,,,,"1.193,17",,,,,,,"7.377,78",,,,,,,,,,,,,
BANZAE-BA,,,,BA,,,,,"963,72",,,,,,,-,,,,,,,"963,72",,,,,,,"5.959,03",,,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,,"1.319,42",,,,,,,-,,,,,,,"1.319,42",,,,,,,"8.147,14",,,,,,,,,,,,,
BARRA DO ROCHA-BA,,,,BA,,,,,"917,82",,,,,,,-,,,,,,,"917,82",,,,,,,"5.675,21",,,,,,,,,,,,,
BARRO PRETO-BA,,,,BA,,,,,"917,82",,,,,,,-,,,,,,,"917,82",,,,,,,"5.675,21",,,,,,,,,,,,,
BARROCAS-BA,,,,BA,,,,,"1.009,61",,,,,,,-,,,,,,,"1.009,61",,,,,,,"6.242,75",,,,,,,,,,,,,
BELMONTE-BA,,,,BA,,,,,"1.193,17",,,,,,,-,,,,,,,"1.193,17",,,,,,,"7.377,78",,,,,,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,,"1.049,79",,,,,,,-,,,,,,,"1.049,79",,,,,,,"6.485,58",,,,,,,,,,,,,
BIRITINGA-BA,,,,BA,,,,,"1.003,89",,,,,,,-,,,,,,,"1.003,89",,,,,,,"6.201,75",,,,,,,,,,,,,
BOA NOVA-BA,,,,BA,,,,,"1.089,96",,,,,,,-,,,,,,,"1.089,96",,,,,,,"6.728,30",,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,,"1.095,67",,,,,,,-,,,,,,,"1.095,67",,,,,,,"6.769,29",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,,"963,72",,,,,,,-,,,,,,,"963,72",,,,,,,"5.959,03",,,,,,,,,,,,,
BREJOES-BA,,,,BA,,,,,"1.003,89",,,,,,,-,,,,,,,"1.003,89",,,,,,,"6.201,75",,,,,,,,,,,,,
