PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"927,38",,,,,,-,,,,,,"927,38",,,,,,,"7.309,13",,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,"72.528,81",,,,,,"11.791,54",,,,,,"84.320,35",,,,,,,"348.004,34",,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,"3.808,09",,,,,,"1.957,76",,,,,,"5.765,85",,,,,,,"16.318,84",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,"55.825,95",,,,,,"1.431,30",,,,,,"57.257,25",,,,,,,"410.069,21",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,"811,46",,,,,,-,,,,,,"811,46",,,,,,,"6.395,48",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,"1.004,66",,,,,,-,,,,,,"1.004,66",,,,,,,"7.918,22",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,"1.081,94",,,,,,-,,,,,,"1.081,94",,,,,,,"8.527,32",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,"405.288,88",,,,,,"307.877,46",,,,,,"713.166,34",,,,,,,"5.519.114,25",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,"772,81",,,,,,-,,,,,,"772,81",,,,,,,"6.090,93",,,,,,,,,
SATUBA-AL,,,,,,,,AL,,"779.494,82",,,,,,"18.227,82",,,,,,"797.722,64",,,,,,,"5.905.463,82",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,"1.197,87",,,,,,-,,,,,,"1.197,87",,,,,,,"9.440,98",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,"1.275,15",,,,,,-,,,,,,"1.275,15",,,,,,,"10.050,06",,,,,,,,,
VICOSA-AL,,,,,,,,AL,,"1.043,30",,,,,,-,,,,,,"1.043,30",,,,,,,"8.222,79",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"3.896.640,30",,,,,,"846.762,71",,,,,,"4.743.403,01",,,,,,,"31.339.151,72",,,,,,,,,
ANAMA-AM,,,,,,,,AM,,-,,,,,,"3.396,20",,,,,,"3.396,20",,,,,,,"25.831,66",,,,,,,,,
ANORI-AM,,,,,,,,AM,,-,,,,,,"3.396,20",,,,,,"3.396,20",,,,,,,"25.831,66",,,,,,,,,
AUTAZES-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
BERURI-AM,,,,,,,,AM,,-,,,,,,"3.396,20",,,,,,"3.396,20",,,,,,,"25.831,66",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
CAREIRO-AM,,,,,,,,AM,,-,,,,,,"3.396,20",,,,,,"3.396,20",,,,,,,"25.831,66",,,,,,,,,
COARI-AM,,,,,,,,AM,,"2.518.320,81",,,,,,"2.475.994,65",,,,,,"4.994.315,46",,,,,,,"38.914.551,53",,,,,,,,,
CODAJAS-AM,,,,,,,,AM,,-,,,,,,"3.396,20",,,,,,"3.396,20",,,,,,,"25.831,66",,,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,-,,,,,,"10.062,96",,,,,,"10.062,96",,,,,,,"71.432,61",,,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,-,,,,,,"3.396,20",,,,,,"3.396,20",,,,,,,"25.831,66",,,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,-,,,,,,"3.396,20",,,,,,"3.396,20",,,,,,,"25.831,66",,,,,,,,,
