ANADIA,,,,,,AL,,,,"481,60",,,,,,,-,,,,,,,"481,60",,,,,,,,"7.136,77",,,,,,
ATALAIA,,,,,,AL,,,,"622,06",,,,,,,-,,,,,,,"622,06",,,,,,,,"9.218,35",,,,,,
BARRA DE SANTO ANTONIO,,,,,,AL,,,,"421,40",,,,,,,-,,,,,,,"421,40",,,,,,,,"6.244,68",,,,,,
BARRA DE SAO MIGUEL,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
BOCA DA MATA,,,,,,AL,,,,"541,80",,,,,,,-,,,,,,,"541,80",,,,,,,,"8.028,89",,,,,,
BRANQUINHA,,,,,,AL,,,,"421,40",,,,,,,-,,,,,,,"421,40",,,,,,,,"6.244,68",,,,,,
CAJUEIRO,,,,,,AL,,,,"501,66",,,,,,,-,,,,,,,"501,66",,,,,,,,"7.434,13",,,,,,
CAMPESTRE,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
CAMPO ALEGRE,,,,,,AL,,,,"622,06",,,,,,,-,,,,,,,"622,06",,,,,,,,"9.218,35",,,,,,
CAPELA,,,,,,AL,,,,"501,66",,,,,,,-,,,,,,,"501,66",,,,,,,,"7.434,13",,,,,,
CHA PRETA,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
COLONIA LEOPOLDINA,,,,,,AL,,,,"481,60",,,,,,,-,,,,,,,"481,60",,,,,,,,"7.136,77",,,,,,
COQUEIRO SECO,,,,,,AL,,,,"704,84",,,,,,,"195,76",,,,,,,"900,60",,,,,,,,"9.397,69",,,,,,
CORURIPE,,,,,,AL,,,,"771.887,85",,,,,,,"35.556,85",,,,,,,"807.444,70",,,,,,,,"10.477.193,07",,,,,,
FELIZ DESERTO,,,,,,AL,,,,"14.297,50",,,,,,,"19.980,76",,,,,,,"34.278,26",,,,,,,,"507.969,94",,,,,,
FLEXEIRAS,,,,,,AL,,,,"441,46",,,,,,,-,,,,,,,"441,46",,,,,,,,"6.542,03",,,,,,
IBATEGUARA,,,,,,AL,,,,"461,53",,,,,,,-,,,,,,,"461,53",,,,,,,,"6.839,40",,,,,,
IGREJA NOVA,,,,,,AL,,,,"521,73",,,,,,,-,,,,,,,"521,73",,,,,,,,"7.731,52",,,,,,
JACUIPE,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
JAPARATINGA,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
JEQUIA DA PRAIA,,,,,,AL,,,,"5.083,40",,,,,,,"1.949,61",,,,,,,"7.033,01",,,,,,,,"20.762,84",,,,,,
JOAQUIM GOMES,,,,,,AL,,,,"521,73",,,,,,,-,,,,,,,"521,73",,,,,,,,"7.731,52",,,,,,
JUNDIA,,,,,,AL,,,,"401,33",,,,,,,-,,,,,,,"401,33",,,,,,,,"5.947,30",,,,,,
JUNQUEIRO,,,,,,AL,,,,"521,73",,,,,,,-,,,,,,,"521,73",,,,,,,,"7.731,52",,,,,,
MACEIO,,,,,,AL,,,,"62.747,81",,,,,,,"10.574,31",,,,,,,"73.322,12",,,,,,,,"912.946,98",,,,,,
MARAGOGI,,,,,,AL,,,,"521,73",,,,,,,-,,,,,,,"521,73",,,,,,,,"7.731,52",,,,,,
