PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,,"640,22",,,,,-,,,,,,,"640,22",,,,,,"4.889,62",,,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,,"12.347,14",,,,,"7.402,31",,,,,,,"19.749,45",,,,,,"164.671,32",,,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,,"77.379,94",,,,,"916,39",,,,,,,"78.296,33",,,,,,"611.261,49",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,,"76.693,97",,,,,"349,88",,,,,,,"77.043,85",,,,,,"599.553,17",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,,"537,78",,,,,-,,,,,,,"537,78",,,,,,"4.190,36",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,,"665,83",,,,,-,,,,,,,"665,83",,,,,,"5.188,09",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,,"742,66",,,,,-,,,,,,,"742,66",,,,,,"5.687,79",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,,"295.772,35",,,,,"196.368,21",,,,,,,"492.140,56",,,,,,"3.871.591,08",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,,"512,17",,,,,-,,,,,,,"512,17",,,,,,"3.990,83",,,,,,,,,,
SATUBA-AL,,,,,,,,,AL,,,"19.535,60",,,,,"12.220,55",,,,,,,"31.756,15",,,,,,"222.801,33",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,,"793,87",,,,,-,,,,,,,"793,87",,,,,,"6.185,80",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,,"845,09",,,,,-,,,,,,,"845,09",,,,,,"6.584,88",,,,,,,,,,
VICOSA-AL,,,,,,,,,AL,,,"691,44",,,,,-,,,,,,,"691,44",,,,,,"5.387,63",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,"2.613.544,93",,,,,"505.019,88",,,,,,,"3.118.564,81",,,,,,"23.337.120,11",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMA-AM,,,,,,,,,AM,,,-,,,,,"3.349,78",,,,,,,"3.349,78",,,,,,"25.955,26",,,,,,,,,,
ANORI-AM,,,,,,,,,AM,,,-,,,,,"3.349,77",,,,,,,"3.349,77",,,,,,"25.955,25",,,,,,,,,,
AUTAZES-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
BERURI-AM,,,,,,,,,AM,,,-,,,,,"3.349,77",,,,,,,"3.349,77",,,,,,"25.955,25",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
CAREIRO-AM,,,,,,,,,AM,,,-,,,,,"3.349,39",,,,,,,"3.349,39",,,,,,"25.954,87",,,,,,,,,,
COARI-AM,,,,,,,,,AM,,,"2.507.464,59",,,,,"2.499.447,20",,,,,,,"5.006.911,79",,,,,,"36.792.109,17",,,,,,,,,,
CODAJAS-AM,,,,,,,,,AM,,,-,,,,,"3.349,77",,,,,,,"3.349,77",,,,,,"25.955,25",,,,,,,,,,
IRANDUBA-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
ITACOATIARA-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
ITAPIRANGA-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
MANACAPURU-AM,,,,,,,,,AM,,,-,,,,,"3.349,78",,,,,,,"3.349,78",,,,,,"25.955,26",,,,,,,,,,
MANAQUIRI-AM,,,,,,,,,AM,,,-,,,,,"3.349,71",,,,,,,"3.349,71",,,,,,"25.955,19",,,,,,,,,,
MANAUS-AM,,,,,,,,,AM,,,"1.651.788,25",,,,,"103.213,87",,,,,,,"1.755.002,12",,,,,,"13.079.652,58",,,,,,,,,,
PARINTINS-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
SILVES-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
TEFE-AM,,,,,,,,,AM,,,"244.609,35",,,,,"138.835,56",,,,,,,"383.444,91",,,,,,"1.513.782,33",,,,,,,,,,
URUCARA-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
URUCURITUBA-AM,,,,,,,,,AM,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,,"4.403.862,19",,,,,"2.841.580,95",,,,,,,"7.245.443,14",,,,,,"52.203.092,11",,,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,,AP,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
MACAPA-AP,,,,,,,,,AP,,,-,,,,,"8.515,15",,,,,,,"8.515,15",,,,,,"70.651,30",,,,,,,,,,
MAZAGAO-AP,,,,,,,,,AP,,,-,,,,,"8.515,14",,,,,,,"8.515,14",,,,,,"70.651,29",,,,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,,-,,,,,"25.545,44",,,,,,,"25.545,44",,,,,,"211.953,89",,,,,,,,,,
ACAJUTIBA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.909,68",,,,,,,,,,
ADUSTINA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.909,68",,,,,,,,,,
AGUA FRIA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.909,68",,,,,,,,,,
AIQUARA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
ALAGOINHAS-BA,,,,,,,,,BA,,,"488.617,68",,,,,"299.955,36",,,,,,,"788.573,04",,,,,,"5.913.772,86",,,,,,,,,,
ALCOBACA-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.628,62",,,,,,,,,,
ALMADINA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
AMARGOSA-BA,,,,,,,,,BA,,,"1.058,55",,,,,-,,,,,,,"1.058,55",,,,,,"8.712,24",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"7.929,04",,,,,,,,,,
ANAGE-BA,,,,,,,,,BA,,,"985,54",,,,,-,,,,,,,"985,54",,,,,,"8.111,37",,,,,,,,,,
ANGUERA-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.126,51",,,,,,,,,,
ANTAS-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.210,11",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.491,16",,,,,,,,,,
APORA-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.210,11",,,,,,,,,,
APUAREMA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
ARACAS-BA,,,,,,,,,BA,,,"293.981,18",,,,,"148.897,59",,,,,,,"442.878,77",,,,,,"3.531.858,37",,,,,,,,,,
ARACI-BA,,,,,,,,,BA,,,"1.168,05",,,,,-,,,,,,,"1.168,05",,,,,,"9.613,49",,,,,,,,,,
ARAMARI-BA,,,,,,,,,BA,,,"1.624,06",,,,,"360,16",,,,,,,"1.984,22",,,,,,"10.942,48",,,,,,,,,,
ARATACA-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.308,84",,,,,,,,,,
ARATUIPE-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
AURELINO LEAL-BA,,,,,,,,,BA,,,"803,03",,,,,-,,,,,,,"803,03",,,,,,"6.791,58",,,,,,,,,,
BAIXA GRANDE-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
BANZAE-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.308,84",,,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,,BA,,,"1.058,55",,,,,-,,,,,,,"1.058,55",,,,,,"8.712,24",,,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
BARRO PRETO-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
BARROCAS-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.727,35",,,,,,,,,,
BELMONTE-BA,,,,,,,,,BA,,,"949,04",,,,,-,,,,,,,"949,04",,,,,,"7.810,95",,,,,,,,,,
BELO CAMPO-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.027,78",,,,,,,,,,
BIRITINGA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.727,35",,,,,,,,,,
BOA NOVA-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"7.092,01",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.210,11",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.308,84",,,,,,,,,,
BREJOES-BA,,,,,,,,,BA,,,"839,53",,,,,-,,,,,,,"839,53",,,,,,"6.727,35",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUERAREMA-BA,,,,,,,,,BA,,,"912,54",,,,,-,,,,,,,"912,54",,,,,,"7.510,53",,,,,,,,,,
CAATIBA-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.308,84",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,,BA,,,"876,04",,,,,-,,,,,,,"876,04",,,,,,"7.210,11",,,,,,,,,,
CACHOEIRA-BA,,,,,,,,,BA,,,"1.058,55",,,,,-,,,,,,,"1.058,55",,,,,,"8.712,24",,,,,,,,,,
CAEM-BA,,,,,,,,,BA,,,"766,53",,,,,-,,,,,,,"766,53",,,,,,"6.308,84",,,,,,,,,,
CAETANOS-BA,,,,,,,,,BA,,,"803,03",,,,,-,,,,,,,"803,03",,,,,,"6.609,25",,,,,,,,,,
CAIRU-BA,,,,,,,,,BA,,,"28.273,25",,,,,"279.525,99",,,,,,,"307.799,24",,,,,,"2.545.605,04",,,,,,,,,,
CAMACAN-BA,,,,,,,,,BA,,,"1.022,04",,,,,-,,,,,,,"1.022,04",,,,,,"8.411,79",,,,,,,,,,
CAMACARI-BA,,,,,,,,,BA,,,"2.786,76",,,,,"557,21",,,,,,,"3.343,97",,,,,,"16.586,58",,,,,,,,,,
CAMAMU-BA,,,,,,,,,BA,,,"1.058,55",,,,,-,,,,,,,"1.058,55",,,,,,"8.712,24",,,,,,,,,,
CANAVIEIRAS-BA,,,,,,,,,BA,,,"1.058,55",,,,,-,,,,,,,"1.058,55",,,,,,"8.712,24",,,,,,,,,,
CANDEAL-BA,,,,,,,,,BA,,,"730,03",,,,,-,,,,,,,"730,03",,,,,,"6.008,42",,,,,,,,,,
