ANADIA-AL,,,,,,,AL,,"650,39",,,,,,-,,,,,,,,"650,39",,,,,,,,"3.912,61",,,,,,,,,
ATALAIA-AL,,,,,,,AL,,"867,18",,,,,,-,,,,,,,,"867,18",,,,,,,,"5.216,82",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,"596,19",,,,,,-,,,,,,,,"596,19",,,,,,,,"3.586,56",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,51",,,,,,,,,
BOCA DA MATA-AL,,,,,,,AL,,"731,69",,,,,,-,,,,,,,,"731,69",,,,,,,,"4.401,70",,,,,,,,,
BRANQUINHA-AL,,,,,,,AL,,"569,09",,,,,,-,,,,,,,,"569,09",,,,,,,,"3.423,52",,,,,,,,,
CAJUEIRO-AL,,,,,,,AL,,"704,59",,,,,,-,,,,,,,,"704,59",,,,,,,,"4.238,67",,,,,,,,,
CAMPESTRE-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,51",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,"840,09",,,,,,-,,,,,,,,"840,09",,,,,,,,"5.053,81",,,,,,,,,
CAPELA-AL,,,,,,,AL,,"650,39",,,,,,-,,,,,,,,"650,39",,,,,,,,"3.912,61",,,,,,,,,
CHA PRETA-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,51",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,"677,49",,,,,,-,,,,,,,,"677,49",,,,,,,,"4.075,65",,,,,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,"62.373,10",,,,,,"125,35",,,,,,,,"62.498,45",,,,,,,,"244.152,63",,,,,,,,,
CORURIPE-AL,,,,,,,AL,,"1.339.605,38",,,,,,"56.952,87",,,,,,,,"1.396.558,25",,,,,,,,"8.156.217,81",,,,,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,"19.480,50",,,,,,"27.224,00",,,,,,,,"46.704,50",,,,,,,,"280.965,73",,,,,,,,,
FLEXEIRAS-AL,,,,,,,AL,,"569,09",,,,,,-,,,,,,,,"569,09",,,,,,,,"3.423,52",,,,,,,,,
IBATEGUARA-AL,,,,,,,AL,,"623,29",,,,,,-,,,,,,,,"623,29",,,,,,,,"3.749,59",,,,,,,,,
IGREJA NOVA-AL,,,,,,,AL,,"704,59",,,,,,-,,,,,,,,"704,59",,,,,,,,"4.238,67",,,,,,,,,
JACUIPE-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,51",,,,,,,,,
JAPARATINGA-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,51",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,AL,,"569,09",,,,,,-,,,,,,,,"569,09",,,,,,,,"9.611,87",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,AL,,"704,59",,,,,,-,,,,,,,,"704,59",,,,,,,,"4.238,67",,,,,,,,,
JUNDIA-AL,,,,,,,AL,,"541,99",,,,,,-,,,,,,,,"541,99",,,,,,,,"3.260,65",,,,,,,,,
JUNQUEIRO-AL,,,,,,,AL,,"731,69",,,,,,-,,,,,,,,"731,69",,,,,,,,"4.401,70",,,,,,,,,
MACEIO-AL,,,,,,,AL,,"76.358,14",,,,,,"19.582,39",,,,,,,,"95.940,53",,,,,,,,"537.158,01",,,,,,,,,
MARAGOGI-AL,,,,,,,AL,,"731,69",,,,,,-,,,,,,,,"731,69",,,,,,,,"4.401,70",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,AL,,"100.471,38",,,,,,"96.541,42",,,,,,,,"197.012,80",,,,,,,,"1.051.199,24",,,,,,,,,
