ANADIA-AL,,,,AL,,,"439,55",,,,,,,-,,,,,,,"439,55",,,,,,,"1.296,87",,,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,"567,97",,,,,,,-,,,,,,,"567,97",,,,,,,"1.675,34",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,"384,68",,,,,,,-,,,,,,,"384,68",,,,,,,"1.134,83",,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,"366,58",,,,,,,-,,,,,,,"366,58",,,,,,,"1.081,01",,,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,"494,43",,,,,,,-,,,,,,,"494,43",,,,,,,"1.458,91",,,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,"384,68",,,,,,,-,,,,,,,"384,68",,,,,,,"1.134,83",,,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,"458,22",,,,,,,-,,,,,,,"458,22",,,,,,,"1.351,26",,,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,"366,58",,,,,,,-,,,,,,,"366,58",,,,,,,"1.081,01",,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,"567,97",,,,,,,-,,,,,,,"567,97",,,,,,,"1.675,34",,,,,,,,,,,,,
CAPELA-AL,,,,AL,,,"458,22",,,,,,,-,,,,,,,"458,22",,,,,,,"1.351,26",,,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,"366,58",,,,,,,-,,,,,,,"366,58",,,,,,,"1.081,01",,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,"439,55",,,,,,,-,,,,,,,"439,55",,,,,,,"1.296,87",,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,"366,58",,,,,,,-,,,,,,,"366,58",,,,,,,"1.081,01",,,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,"578.236,37",,,,,,,"21.682,44",,,,,,,"599.918,81",,,,,,,"715.766,27",,,,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,"13.054,80",,,,,,,"18.244,02",,,,,,,"31.298,82",,,,,,,"92.319,38",,,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,"402,78",,,,,,,-,,,,,,,"402,78",,,,,,,"1.188,66",,,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,"421,45",,,,,,,-,,,,,,,"421,45",,,,,,,"1.243,04",,,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,"476,32",,,,,,,-,,,,,,,"476,32",,,,,,,"1.405,08",,,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,"366,58",,,,,,,-,,,,,,,"366,58",,,,,,,"1.081,01",,,,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,"366,58",,,,,,,-,,,,,,,"366,58",,,,,,,"1.081,01",,,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,"402,78",,,,,,,-,,,,,,,"402,78",,,,,,,"1.188,66",,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,"476,32",,,,,,,-,,,,,,,"476,32",,,,,,,"1.405,08",,,,,,,,,,,,,
JUNDIA-AL,,,,AL,,,"366,58",,,,,,,-,,,,,,,"366,58",,,,,,,"1.081,01",,,,,,,,,,,,,
