SANTANA DO MUNDAU-AL,,,AL,,,,"649,20",,,,,,-,,,,,"649,20",,,,,"649,20",,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"803,77",,,,,,-,,,,,"803,77",,,,,"803,77",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"865,60",,,,,,-,,,,,"865,60",,,,,"865,60",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"290.088,06",,,,,,"175.682,55",,,,,"465.770,61",,,,,"465.770,61",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"618,28",,,,,,-,,,,,"618,28",,,,,"618,28",,,,,,,,,
SATUBA-AL,,,AL,,,,"17.195,29",,,,,,"10.652,29",,,,,"27.847,58",,,,,"27.847,58",,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,"927,43",,,,,,-,,,,,"927,43",,,,,"927,43",,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,"1.020,17",,,,,,-,,,,,"1.020,17",,,,,"1.020,17",,,,,,,,,
VICOSA-AL,,,AL,,,,"834,69",,,,,,-,,,,,"834,69",,,,,"834,69",,,,,,,,,
ALAGOAS TOTAL,,,,,,,"1.968.095,37",,,,,,"556.936,72",,,,,"2.525.032,09",,,,,"2.525.032,09",,,,,,,,,
ANAMA-AM,,,AM,,,,-,,,,,,"2.205,80",,,,,"2.205,80",,,,,"2.205,80",,,,,,,,,
ANORI-AM,,,AM,,,,-,,,,,,"2.205,80",,,,,"2.205,80",,,,,"2.205,80",,,,,,,,,
AUTAZES-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
BERURI-AM,,,AM,,,,-,,,,,,"2.205,80",,,,,"2.205,80",,,,,"2.205,80",,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
CAREIRO-AM,,,AM,,,,-,,,,,,"2.205,80",,,,,"2.205,80",,,,,"2.205,80",,,,,,,,,
COARI-AM,,,AM,,,,"1.866.284,54",,,,,,"1.720.322,73",,,,,"3.586.607,27",,,,,"3.586.607,27",,,,,,,,,
CODAJAS-AM,,,AM,,,,-,,,,,,"2.205,80",,,,,"2.205,80",,,,,"2.205,80",,,,,,,,,
IRANDUBA-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
ITACOATIARA-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
ITAPIRANGA-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
MANACAPURU-AM,,,AM,,,,-,,,,,,"2.205,80",,,,,"2.205,80",,,,,"2.205,80",,,,,,,,,
MANAQUIRI-AM,,,AM,,,,-,,,,,,"2.205,80",,,,,"2.205,80",,,,,"2.205,80",,,,,,,,,
MANAUS-AM,,,AM,,,,"1.196.823,23",,,,,,"68.280,44",,,,,"1.265.103,67",,,,,"1.265.103,67",,,,,,,,,
PARINTINS-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
SILVES-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
URUCARA-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
URUCURITUBA-AM,,,AM,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
AMAZONAS TOTAL,,,,,,,"3.063.107,77",,,,,,"1.854.654,91",,,,,"4.917.762,68",,,,,"4.917.762,68",,,,,,,,,
LARANJAL DO JARI-AP,,,AP,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
MACAPA-AP,,,AP,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
MAZAGAO-AP,,,AP,,,,-,,,,,,"5.623,46",,,,,"5.623,46",,,,,"5.623,46",,,,,,,,,
AMAPA TOTAL,,,,,,,-,,,,,,"16.870,38",,,,,"16.870,38",,,,,"16.870,38",,,,,,,,,
ACAJUTIBA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
ADUSTINA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
AGUA FRIA-BA,,,BA,,,,"85,96",,,,,,-,,,,,"85,96",,,,,"85,96",,,,,,,,,
AIQUARA-BA,,,BA,,,,"74,75",,,,,,-,,,,,"74,75",,,,,"74,75",,,,,,,,,
ALAGOINHAS-BA,,,BA,,,,"192.356,64",,,,,,"120.190,15",,,,,"312.546,79",,,,,"312.546,79",,,,,,,,,
AMARGOSA-BA,,,BA,,,,"104,65",,,,,,-,,,,,"104,65",,,,,"104,65",,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,,"100,91",,,,,,-,,,,,"100,91",,,,,"100,91",,,,,,,,,
