ANADIA-AL,,,,AL,,,,"161,31",,,,,,,,-,,,,,,"161,31",,,,,,,,,"460,75",,,,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,"201,64",,,,,,,,-,,,,,,"201,64",,,,,,,,,"575,94",,,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"174,76",,,,,,,,-,,,,,,"174,76",,,,,,,,,"499,16",,,,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"161,31",,,,,,,,-,,,,,,"161,31",,,,,,,,,"460,75",,,,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"201,64",,,,,,,,-,,,,,,"201,64",,,,,,,,,"575,94",,,,,,,,,,,,,,
CAPELA-AL,,,,AL,,,,"174,76",,,,,,,,-,,,,,,"174,76",,,,,,,,,"499,16",,,,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,"134,43",,,,,,,,-,,,,,,"134,43",,,,,,,,,"383,97",,,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"161,31",,,,,,,,-,,,,,,"161,31",,,,,,,,,"460,75",,,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"6.765,94",,,,,,,,"674,19",,,,,,"7.440,13",,,,,,,,,"19.542,08",,,,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,"14.227,00",,,,,,,,"6.728,04",,,,,,"20.955,04",,,,,,,,,"57.334,69",,,,,,,,,,,,,,
