ANADIA-AL,,,,AL,,,,"815,90",,,,,,,-,,,,,"815,90",,,,,,,,"6.287,99",,,,,,,,
ATALAIA-AL,,,,AL,,,,"1.053,87",,,,,,,-,,,,,"1.053,87",,,,,,,,"8.122,01",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"713,91",,,,,,,-,,,,,"713,91",,,,,,,,"5.502,00",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"679,91",,,,,,,-,,,,,"679,91",,,,,,,,"5.239,99",,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"917,89",,,,,,,-,,,,,"917,89",,,,,,,,"7.073,99",,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"713,91",,,,,,,-,,,,,"713,91",,,,,,,,"5.502,00",,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"849,89",,,,,,,-,,,,,"849,89",,,,,,,,"6.549,98",,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"679,91",,,,,,,-,,,,,"679,91",,,,,,,,"5.239,99",,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"1.053,87",,,,,,,-,,,,,"1.053,87",,,,,,,,"8.122,01",,,,,,,,
CAPELA-AL,,,,AL,,,,"849,89",,,,,,,-,,,,,"849,89",,,,,,,,"6.549,98",,,,,,,,
CHA PRETA-AL,,,,AL,,,,"679,91",,,,,,,-,,,,,"679,91",,,,,,,,"5.239,99",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"815,90",,,,,,,-,,,,,"815,90",,,,,,,,"6.287,99",,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"1.485,41",,,,,,,"519,54",,,,,"2.004,95",,,,,,,,"15.719,10",,,,,,,,
CORURIPE-AL,,,,AL,,,,"1.171.070,78",,,,,,,"74.217,82",,,,,"1.245.288,60",,,,,,,,"10.187.814,55",,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"24.677,04",,,,,,,"33.822,97",,,,,"58.500,01",,,,,,,,"449.930,60",,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"713,91",,,,,,,-,,,,,"713,91",,,,,,,,"5.575,20",,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"781,90",,,,,,,-,,,,,"781,90",,,,,,,,"6.025,99",,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"883,89",,,,,,,-,,,,,"883,89",,,,,,,,"6.811,99",,,,,,,,
JACUIPE-AL,,,,AL,,,,"679,91",,,,,,,-,,,,,"679,91",,,,,,,,"5.239,99",,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"679,91",,,,,,,-,,,,,"679,91",,,,,,,,"5.239,99",,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,"2.745,57",,,,,,,"839,02",,,,,"3.584,59",,,,,,,,"63.361,45",,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"883,89",,,,,,,-,,,,,"883,89",,,,,,,,"6.811,99",,,,,,,,
JUNDIA-AL,,,,AL,,,,"679,91",,,,,,,-,,,,,"679,91",,,,,,,,"5.239,99",,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,"883,89",,,,,,,-,,,,,"883,89",,,,,,,,"6.811,99",,,,,,,,
MACEIO-AL,,,,AL,,,,"83.154,44",,,,,,,"18.251,69",,,,,"101.406,13",,,,,,,,"947.807,60",,,,,,,,
MARAGOGI-AL,,,,AL,,,,"883,89",,,,,,,-,,,,,"883,89",,,,,,,,"6.811,99",,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"140.384,80",,,,,,,"113.238,75",,,,,"253.623,55",,,,,,,,"2.552.403,11",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"917,89",,,,,,,-,,,,,"917,89",,,,,,,,"7.000,77",,,,,,,,
MESSIAS-AL,,,,AL,,,,"713,91",,,,,,,-,,,,,"713,91",,,,,,,,"5.502,00",,,,,,,,
MURICI-AL,,,,AL,,,,"917,89",,,,,,,-,,,,,"917,89",,,,,,,,"7.073,99",,,,,,,,
NOVO LINO-AL,,,,AL,,,,"713,91",,,,,,,-,,,,,"713,91",,,,,,,,"5.502,00",,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,"679,91",,,,,,,"9.306,80",,,,,"9.986,71",,,,,,,,"76.456,62",,,,,,,,
