ROTEIRO-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"7.901,51",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"767,89",,,,,-,,,,,,"767,89",,,,,,"6.763,04",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"950,72",,,,,-,,,,,,"950,72",,,,,,"8.373,28",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"1.023,86",,,,,-,,,,,,"1.023,86",,,,,,"9.017,40",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"285.925,99",,,,,"174.064,78",,,,,,"459.990,77",,,,,,"3.486.020,75",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"731,32",,,,,-,,,,,,"731,32",,,,,,"6.440,97",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"27.682,11",,,,,"17.336,08",,,,,,"45.018,19",,,,,,"479.811,95",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"1.096,99",,,,,-,,,,,,"1.096,99",,,,,,"9.661,50",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"1.206,69",,,,,-,,,,,,"1.206,69",,,,,,"10.627,66",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,"987,29",,,,,-,,,,,,"987,29",,,,,,"8.695,35",,,,,,,,,,
TOTAL ALAGOAS,,,,,,,,,"2.342.267,86",,,,,"601.992,39",,,,,,"2.944.260,25",,,,,,"24.044.572,09",,,,,,,,,,
ANAMA-AM,,,,,AM,,,,-,,,,,"2.811,52",,,,,,"2.811,52",,,,,,"22.765,72",,,,,,,,,,
ANORI-AM,,,,,AM,,,,-,,,,,"2.811,52",,,,,,"2.811,52",,,,,,"22.765,72",,,,,,,,,,
AUTAZES-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
BERURI-AM,,,,,AM,,,,-,,,,,"2.811,52",,,,,,"2.811,52",,,,,,"22.765,72",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
CAREIRO-AM,,,,,AM,,,,-,,,,,"2.811,52",,,,,,"2.811,52",,,,,,"22.765,72",,,,,,,,,,
COARI-AM,,,,,AM,,,,"2.469.745,94",,,,,"2.267.824,04",,,,,,"4.737.569,98",,,,,,"38.502.839,87",,,,,,,,,,
CODAJAS-AM,,,,,AM,,,,-,,,,,"2.811,52",,,,,,"2.811,52",,,,,,"22.765,72",,,,,,,,,,
IRANDUBA-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
ITACOATIARA-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,-,,,,,"6.086,06",,,,,,"6.086,06",,,,,,"57.528,95",,,,,,,,,,
MANACAPURU-AM,,,,,AM,,,,-,,,,,"2.811,52",,,,,,"2.811,52",,,,,,"22.765,72",,,,,,,,,,
MANAQUIRI-AM,,,,,AM,,,,-,,,,,"2.811,52",,,,,,"2.811,52",,,,,,"22.765,72",,,,,,,,,,
MANAUS-AM,,,,,AM,,,,"89.783,87",,,,,"66.119,17",,,,,,"155.903,04",,,,,,"8.380.606,51",,,,,,,,,,
