ANADIA-AL,,,,,AL,,,,"296,22",,,,,,,-,,,,,"296,22",,,,,,,,"2.394,51",,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"370,28",,,,,,,-,,,,,"370,28",,,,,,,,"2.993,15",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"246,85",,,,,,,-,,,,,"246,85",,,,,,,,"1.995,44",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"246,85",,,,,,,-,,,,,"246,85",,,,,,,,"1.995,44",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"320,91",,,,,,,-,,,,,"320,91",,,,,,,,"2.594,06",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"246,85",,,,,,,-,,,,,"246,85",,,,,,,,"1.995,44",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"296,22",,,,,,,-,,,,,"296,22",,,,,,,,"2.394,51",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"246,85",,,,,,,-,,,,,"246,85",,,,,,,,"1.995,44",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"370,28",,,,,,,-,,,,,"370,28",,,,,,,,"2.993,15",,,,,,,,,
CAPELA-AL,,,,,AL,,,,"320,91",,,,,,,-,,,,,"320,91",,,,,,,,"2.594,06",,,,,,,,,
CHAPRETA-AL,,,,,AL,,,,"246,85",,,,,,,-,,,,,"246,85",,,,,,,,"1.995,44",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"296,22",,,,,,,-,,,,,"296,22",,,,,,,,"2.394,51",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"15.141,48",,,,,,,"0,25",,,,,"15.141,73",,,,,,,,"111.742,20",,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"29.316,81",,,,,,,"12.528,10",,,,,"41.844,91",,,,,,,,"315.730,50",,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"8.697,99",,,,,,,"11.921,68",,,,,"20.619,67",,,,,,,,"166.680,96",,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"271,53",,,,,,,-,,,,,"271,53",,,,,,,,"2.194,96",,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"283,88",,,,,,,-,,,,,"283,88",,,,,,,,"2.294,73",,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"308,56",,,,,,,-,,,,,"308,56",,,,,,,,"2.494,28",,,,,,,,,
