RIO LARGO,,,AL,,,"3.773,41",,,,,,,"1.873,50",,,,,,,,"5.646,91",,,,,,,"11.637,09",,,,,,,,,,,,,
ROTEIRO,,,AL,,,"1.043,92",,,,,,,"333,72",,,,,,,,"1.377,64",,,,,,,"3.748,46",,,,,,,,,,,,,
SANTA LUZIA DO NORTE,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
SANTANA DO MUNDAU,,,AL,,,"552,84",,,,,,,-,,,,,,,,"552,84",,,,,,,"1.508,33",,,,,,,,,,,,,
SAO JOSE DA LAJE,,,AL,,,"684,48",,,,,,,-,,,,,,,,"684,48",,,,,,,"1.867,46",,,,,,,,,,,,,
SAO LUIS DO QUITUNDE,,,AL,,,"737,13",,,,,,,-,,,,,,,,"737,13",,,,,,,"2.011,12",,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS,,,AL,,,"131.856,40",,,,,,,"35.073,08",,,,,,,,"166.929,48",,,,,,,"460.814,61",,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES,,,AL,,,"526,52",,,,,,,-,,,,,,,,"526,52",,,,,,,"1.436,51",,,,,,,,,,,,,
SATUBA,,,AL,,,"53.229,59",,,,,,,"33.959,52",,,,,,,,"87.189,11",,,,,,,"212.727,19",,,,,,,,,,,,,
TEOTONIO VILELA,,,AL,,,"789,78",,,,,,,-,,,,,,,,"789,78",,,,,,,"2.154,76",,,,,,,,,,,,,
UNIAO DOS PALMARES,,,AL,,,"868,76",,,,,,,-,,,,,,,,"868,76",,,,,,,"2.370,24",,,,,,,,,,,,,
VICOSA,,,AL,,,"710,80",,,,,,,-,,,,,,,,"710,80",,,,,,,"1.939,29",,,,,,,,,,,,,
ANAMA,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORI,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
AUTAZES,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
BERURI,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
CAREIRO DA VARZEA,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
CAREIRO,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
COARI,,,AM,,,"1.586.147,54",,,,,,,"1.333.464,54",,,,,,,,"2.919.612,08",,,,,,,"7.783.605,16",,,,,,,,,,,,,
CODAJAS,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
IRANDUBA,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
ITACOATIARA,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
ITAPIRANGA,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
MANACAPURU,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
MANAQUIRI,,,AM,,,-,,,,,,,"2.614,94",,,,,,,,"2.614,94",,,,,,,"7.682,23",,,,,,,,,,,,,
MANAUS,,,AM,,,"1.129.047,14",,,,,,,"71.686,86",,,,,,,,"1.200.734,00",,,,,,,"2.194.219,73",,,,,,,,,,,,,
PARINTINS,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
SILVES,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
URUCARA,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
URUCURITUBA,,,AM,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
LARANJAL DO JARI,,,AP,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
MACAPA,,,AP,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
MAZAGAO,,,AP,,,-,,,,,,,"6.187,62",,,,,,,,"6.187,62",,,,,,,"17.647,95",,,,,,,,,,,,,
ACAJUTIBA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
ADUSTINA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
AGUA FRIA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
AIQUARA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
ALAGOINHAS,,,BA,,,"260.771,55",,,,,,,"137.646,42",,,,,,,,"398.417,97",,,,,,,"1.081.985,59",,,,,,,,,,,,,
AMARGOSA,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
AMELIA RODRIGUES,,,BA,,,"108,69",,,,,,,-,,,,,,,,"108,69",,,,,,,"287,36",,,,,,,,,,,,,
ANAGE,,,BA,,,"124,80",,,,,,,-,,,,,,,,"124,80",,,,,,,"329,94",,,,,,,,,,,,,
ANGUERA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
ANTAS,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
ANTONIO CARDOSO,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
APORA,,,BA,,,"96,62",,,,,,,-,,,,,,,,"96,62",,,,,,,"255,44",,,,,,,,,,,,,
APUAREMA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
ARACAS,,,BA,,,"220.687,19",,,,,,,"98.643,31",,,,,,,,"319.330,50",,,,,,,"882.105,79",,,,,,,,,,,,,
ARACI,,,BA,,,"124,80",,,,,,,-,,,,,,,,"124,80",,,,,,,"329,94",,,,,,,,,,,,,
ARAMARI,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
ARATUIPE,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
BAIXA GRANDE,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
BANZAE,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
BARRA DO CHOCA,,,BA,,,"124,80",,,,,,,-,,,,,,,,"124,80",,,,,,,"329,94",,,,,,,,,,,,,
BARROCAS,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
BELO CAMPO,,,BA,,,"96,62",,,,,,,-,,,,,,,,"96,62",,,,,,,"255,44",,,,,,,,,,,,,
BIRITINGA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
BOA NOVA,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
BOA VISTA DO TUPIM,,,BA,,,"100,64",,,,,,,-,,,,,,,,"100,64",,,,,,,"266,08",,,,,,,,,,,,,
BOM JESUS DA SERRA,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
BREJOES,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
CAATIBA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
CACHOEIRA,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
CAEM,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
CAETANOS,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
CAMACARI,,,BA,,,"882,16",,,,,,,"302,87",,,,,,,,"1.185,03",,,,,,,"2.112,37",,,,,,,,,,,,,
CANDEAL,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
CANDEIAS,,,BA,,,"222.320,90",,,,,,,"296.165,75",,,,,,,,"518.486,65",,,,,,,"1.218.255,77",,,,,,,,,,,,,
CANDIDO SALES,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
CANSANCAO,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
CANUDOS,,,BA,,,"88,56",,,,,,,-,,,,,,,,"88,56",,,,,,,"234,14",,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE,,,BA,,,"84,54",,,,,,,-,,,,,,,,"84,54",,,,,,,"223,50",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPIM GROSSO,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
CARDEAL DA SILVA,,,BA,,,"109.476,24",,,,,,,"24.192,51",,,,,,,,"133.668,75",,,,,,,"378.118,19",,,,,,,,,,,,,
CASTRO ALVES,,,BA,,,"108,69",,,,,,,-,,,,,,,,"108,69",,,,,,,"287,36",,,,,,,,,,,,,
CATU,,,BA,,,"205.710,73",,,,,,,"96.493,15",,,,,,,,"302.203,88",,,,,,,"804.697,66",,,,,,,,,,,,,
CICERO DANTAS,,,BA,,,"112,72",,,,,,,-,,,,,,,,"112,72",,,,,,,"298,01",,,,,,,,,,,,,
CIPO,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
CONCEICAO DA FEIRA,,,BA,,,"96,62",,,,,,,-,,,,,,,,"96,62",,,,,,,"255,44",,,,,,,,,,,,,
CONCEICAO DO ALMEIDA,,,BA,,,"100,64",,,,,,,-,,,,,,,,"100,64",,,,,,,"266,08",,,,,,,,,,,,,
CONCEICAO DO COITE,,,BA,,,"132,85",,,,,,,-,,,,,,,,"132,85",,,,,,,"351,22",,,,,,,,,,,,,
CONCEICAO DO JACUIPE,,,BA,,,"108,69",,,,,,,-,,,,,,,,"108,69",,,,,,,"287,36",,,,,,,,,,,,,
CONDE,,,BA,,,"14.455,63",,,,,,,"9.256,36",,,,,,,,"23.711,99",,,,,,,"23.884,04",,,,,,,,,,,,,
CORACAO DE MARIA,,,BA,,,"104,67",,,,,,,-,,,,,,,,"104,67",,,,,,,"276,72",,,,,,,,,,,,,
CORONEL JOAO SA,,,BA,,,"100,64",,,,,,,-,,,,,,,,"100,64",,,,,,,"266,08",,,,,,,,,,,,,
CRAVOLANDIA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
CRISOPOLIS,,,BA,,,"100,64",,,,,,,-,,,,,,,,"100,64",,,,,,,"266,08",,,,,,,,,,,,,
CRUZ DAS ALMAS,,,BA,,,"128,82",,,,,,,-,,,,,,,,"128,82",,,,,,,"340,58",,,,,,,,,,,,,
DARIO MEIRA,,,BA,,,"92,59",,,,,,,-,,,,,,,,"92,59",,,,,,,"244,79",,,,,,,,,,,,,
DIAS D'AVILA,,,BA,,,"124,80",,,,,,,-,,,,,,,,"124,80",,,,,,,"329,94",,,,,,,,,,,,,
DOM MACEDO COSTA,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
ELISIO MEDRADO,,,BA,,,"80,51",,,,,,,-,,,,,,,,"80,51",,,,,,,"212,85",,,,,,,,,,,,,
