SAO JOSE DA LAJE-AL,,,,,AL,,,,,"390,70",,,,,,,,-,,,,,,"390,70",,,,,,,,"2.984,76"
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"420,76",,,,,,,,-,,,,,,"420,76",,,,,,,,"3.214,36"
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"47.561,61",,,,,,,,"17.310,39",,,,,,"64.872,00",,,,,,,,"543.973,46"
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"300,54",,,,,,,,-,,,,,,"300,54",,,,,,,,"2.295,98"
SATUBA-AL,,,,,AL,,,,,"5.677,11",,,,,,,,"3.455,60",,,,,,"9.132,71",,,,,,,,"81.790,84"
TEOTONIO VILELA-AL,,,,,AL,,,,,"435,79",,,,,,,,-,,,,,,"435,79",,,,,,,,"3.329,16"
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"480,87",,,,,,,,-,,,,,,"480,87",,,,,,,,"3.673,56"
VICOSA-AL,,,,,AL,,,,,"405,73",,,,,,,,-,,,,,,"405,73",,,,,,,,"3.099,58"
COARI-AM,,,,,AM,,,,,"482.270,10",,,,,,,,"418.998,94",,,,,,"901.269,04",,,,,,,,"6.460.919,75"
CODAJAS-AM,,,,,AM,,,,,-,,,,,,,,-,,,,,,-,,,,,,,,"37.053,96"
MANAUS-AM,,,,,AM,,,,,"15.584,18",,,,,,,,"118.393,04",,,,,,"133.977,22",,,,,,,,"1.015.996,19"
ACAJUTIBA-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
ADUSTINA-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
AGUA FRIA-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
AIQUARA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
ALAGOINHAS-BA,,,,,BA,,,,,"99.298,73",,,,,,,,"52.431,41",,,,,,"151.730,14",,,,,,,,"1.116.202,86"
AMARGOSA-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
AMELIA RODRIGUES-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
ANAGE-BA,,,,,BA,,,,,"36,02",,,,,,,,-,,,,,,"36,02",,,,,,,,"276,06"
ANGUERA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
ANTAS-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
ANTONIO CARDOSO-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
APORA-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
APUAREMA-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
ARACAS-BA,,,,,BA,,,,,"32.618,54",,,,,,,,"10.829,52",,,,,,"43.448,06",,,,,,,,"357.386,61"
ARACI-BA,,,,,BA,,,,,"37,18",,,,,,,,-,,,,,,"37,18",,,,,,,,"284,79"
ARAMARI-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
ARATUIPE-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
BAIXA GRANDE-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
BANZAE-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
BARRA DO CHOCA-BA,,,,,BA,,,,,"34,86",,,,,,,,-,,,,,,"34,86",,,,,,,,"266,94"
BELO CAMPO-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
BIRITINGA-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
BOA NOVA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
BOA VISTA DO TUPIM-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
BOM JESUS DA SERRA-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
BREJOES-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
CAATIBA-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
CACHOEIRA-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
CAEM-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
CAETANOS-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
CAMACARI-BA,,,,,BA,,,,,"15.893,20",,,,,,,,"110,17",,,,,,"16.003,37",,,,,,,,"118.329,90"
CANDEAL-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
CANDEIAS-BA,,,,,BA,,,,,"212.365,44",,,,,,,,"94.742,15",,,,,,"307.107,59",,,,,,,,"2.231.102,01"
CANDIDO SALES-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
CANSANCAO-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
CANUDOS-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,,"24,40",,,,,,,,-,,,,,,"24,40",,,,,,,,"186,72"
CAPIM GROSSO-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
CARAVELAS-BA,,,,,BA,,,,,"17.421,01",,,,,,,,"1.378,03",,,,,,"18.799,04",,,,,,,,"136.644,40"
CARDEAL DA SILVA-BA,,,,,BA,,,,,"38.254,66",,,,,,,,"14.599,75",,,,,,"52.854,41",,,,,,,,"416.350,93"
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRO ALVES-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
CATU-BA,,,,,BA,,,,,"52.944,39",,,,,,,,"22.701,67",,,,,,"75.646,06",,,,,,,,"604.190,90"
CICERO DANTAS-BA,,,,,BA,,,,,"32,53",,,,,,,,-,,,,,,"32,53",,,,,,,,"249,08"
CIPO-BA,,,,,BA,,,,,"25,56",,,,,,,,-,,,,,,"25,56",,,,,,,,"195,79"
CONCEICAO DA FEIRA-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
CONCEICAO DO ALMEIDA-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
CONCEICAO DO COITE-BA,,,,,BA,,,,,"37,18",,,,,,,,-,,,,,,"37,18",,,,,,,,"284,79"
CONCEICAO DO JACUIPE-BA,,,,,BA,,,,,"31,37",,,,,,,,-,,,,,,"31,37",,,,,,,,"240,35"
CONDE-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
CORACAO DE MARIA-BA,,,,,BA,,,,,"30,21",,,,,,,,-,,,,,,"30,21",,,,,,,,"231,21"
CORONEL JOAO SA-BA,,,,,BA,,,,,"29,05",,,,,,,,-,,,,,,"29,05",,,,,,,,"222,48"
CRAVOLANDIA-BA,,,,,BA,,,,,"23,24",,,,,,,,-,,,,,,"23,24",,,,,,,,"177,92"
CRISOPOLIS-BA,,,,,BA,,,,,"27,88",,,,,,,,-,,,,,,"27,88",,,,,,,,"213,66"
CRUZ DAS ALMAS-BA,,,,,BA,,,,,"37,18",,,,,,,,-,,,,,,"37,18",,,,,,,,"284,79"
DARIO MEIRA-BA,,,,,BA,,,,,"26,72",,,,,,,,-,,,,,,"26,72",,,,,,,,"204,57"
DIAS D'AVILA-BA,,,,,BA,,,,,"159,95",,,,,,,,"52,57",,,,,,"212,52",,,,,,,,"1.473,55"
