ANADIA-AL,,,,AL,,,,"447,63",,,,,,,,-,,,,,,,"447,63",,,,,,"696,58",,,,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,"559,53",,,,,,,,-,,,,,,,"559,53",,,,,,"870,71",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"484,93",,,,,,,,-,,,,,,,"484,93",,,,,,"754,62",,,,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"447,63",,,,,,,,-,,,,,,,"447,63",,,,,,"696,58",,,,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"559,53",,,,,,,,-,,,,,,,"559,53",,,,,,"870,71",,,,,,,,,,,,,
CAPELA-AL,,,,AL,,,,"484,93",,,,,,,,-,,,,,,,"484,93",,,,,,"754,62",,,,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"447,63",,,,,,,,-,,,,,,,"447,63",,,,,,"696,58",,,,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,"40.694,29",,,,,,,,"18.769,83",,,,,,,"59.464,12",,,,,,"105.721,53",,,,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"13.143,57",,,,,,,,"18.016,05",,,,,,,"31.159,62",,,,,,"48.487,06",,,,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"410,33",,,,,,,,-,,,,,,,"410,33",,,,,,"638,53",,,,,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"428,98",,,,,,,,-,,,,,,,"428,98",,,,,,"667,55",,,,,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"466,28",,,,,,,,-,,,,,,,"466,28",,,,,,"725,60",,,,,,,,,,,,,
JACUIPE-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"466,28",,,,,,,,-,,,,,,,"466,28",,,,,,"725,60",,,,,,,,,,,,,
JUNDIA-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,"484,93",,,,,,,,-,,,,,,,"484,93",,,,,,"754,62",,,,,,,,,,,,,
MACEIO-AL,,,,AL,,,,"22.913,85",,,,,,,,"13.483,92",,,,,,,"36.397,77",,,,,,"79.520,88",,,,,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,"447,63",,,,,,,,-,,,,,,,"447,63",,,,,,"696,58",,,,,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"41.493,58",,,,,,,,"21.766,96",,,,,,,"63.260,53",,,,,,"138.080,87",,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"484,93",,,,,,,,-,,,,,,,"484,93",,,,,,"754,62",,,,,,,,,,,,,
MESSIAS-AL,,,,AL,,,,"391,67",,,,,,,,-,,,,,,,"391,67",,,,,,"609,50",,,,,,,,,,,,,
MURICI-AL,,,,AL,,,,"484,93",,,,,,,,-,,,,,,,"484,93",,,,,,"754,62",,,,,,,,,,,,,
NOVO LINO-AL,,,,AL,,,,"391,67",,,,,,,,-,,,,,,,"391,67",,,,,,"609,50",,,,,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,"410,33",,,,,,,,-,,,,,,,"410,33",,,,,,"638,53",,,,,,,,,,,,,
PENEDO-AL,,,,AL,,,,"596,84",,,,,,,,-,,,,,,,"596,84",,,,,,"928,77",,,,,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,"428,98",,,,,,,,-,,,,,,,"428,98",,,,,,"667,55",,,,,,,,,,,,,
PILAR-AL,,,,AL,,,,"85.530,48",,,,,,,,"42.464,77",,,,,,,"127.995,24",,,,,,"283.198,78",,,,,,,,,,,,,
PINDOBA-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,"503,58",,,,,,,,-,,,,,,,"503,58",,,,,,"783,65",,,,,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,"391,67",,,,,,,,-,,,,,,,"391,67",,,,,,"609,50",,,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,"447,63",,,,,,,,-,,,,,,,"447,63",,,,,,"696,58",,,,,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,"1.470,20",,,,,,,,"551,21",,,,,,,"2.021,41",,,,,,"4.095,51",,,,,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,"648,01",,,,,,,,"177,15",,,,,,,"825,15",,,,,,"1.627,55",,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,"19.528,91",,,,,,,,-,,,,,,,"19.528,90",,,,,,"42.810,80",,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,"410,33",,,,,,,,-,,,,,,,"410,33",,,,,,"638,53",,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,"484,93",,,,,,,,-,,,,,,,"484,93",,,,,,"754,62",,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,"522,23",,,,,,,,-,,,,,,,"522,23",,,,,,"812,67",,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,"63.463,92",,,,,,,,"25.004,74",,,,,,,"88.468,66",,,,,,"180.411,07",,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,"373,02",,,,,,,,-,,,,,,,"373,02",,,,,,"580,47",,,,,,,,,,,,,
SATUBA-AL,,,,AL,,,,"3.466,91",,,,,,,,"2.000,92",,,,,,,"5.467,82",,,,,,"7.348,48",,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,"540,88",,,,,,,,-,,,,,,,"540,88",,,,,,"841,69",,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,"596,84",,,,,,,,-,,,,,,,"596,84",,,,,,"928,77",,,,,,,,,,,,,
VICOSA-AL,,,,AL,,,,"503,58",,,,,,,,-,,,,,,,"503,58",,,,,,"783,65",,,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,-,,,,,,,,"27.782,28",,,,,,,"27.782,28",,,,,,"60.102,58",,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COARI-AM,,,,AM,,,,"702.964,32",,,,,,,,"636.893,40",,,,,,,"1.339.857,71",,,,,,"2.996.212,34",,,,,,,,,,,,,
IRANDUBA-AM,,,,AM,,,,-,,,,,,,,"27.782,28",,,,,,,"27.782,28",,,,,,"60.102,58",,,,,,,,,,,,,
MANAUS-AM,,,,AM,,,,"19.155,88",,,,,,,,"4.099,14",,,,,,,"23.255,03",,,,,,"63.951,66",,,,,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,"32,90",,,,,,,,-,,,,,,,"32,90",,,,,,"67,88",,,,,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,"31,41",,,,,,,,-,,,,,,,"31,41",,,,,,"64,80",,,,,,,,,,,,,
