PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"719,19",,,,,,,-,,,,,,,,"719,19",,,,,,"7.565,51",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"16.091,80",,,,,,,"9.766,89",,,,,,,,"25.858,69",,,,,,"169.787,35",,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"651,06",,,,,,,"53,11",,,,,,,,"704,17",,,,,,"12.972,47",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"1.889,38",,,,,,,"847,55",,,,,,,,"2.736,93",,,,,,"25.082,56",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"604,12",,,,,,,-,,,,,,,,"604,12",,,,,,"6.355,04",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"747,96",,,,,,,-,,,,,,,,"747,96",,,,,,"7.868,15",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"805,49",,,,,,,-,,,,,,,,"805,49",,,,,,"8.473,39",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"319.163,54",,,,,,,"220.820,45",,,,,,,,"539.983,99",,,,,,"5.298.224,54",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"575,35",,,,,,,-,,,,,,,,"575,35",,,,,,"6.052,39",,,,,,,,,
SATUBA-AL,,,,,AL,,,,"74.440,14",,,,,,,"20.961,69",,,,,,,,"95.401,83",,,,,,"764.659,99",,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"863,03",,,,,,,-,,,,,,,,"863,03",,,,,,"9.078,63",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"949,33",,,,,,,-,,,,,,,,"949,33",,,,,,"9.986,50",,,,,,,,,
VICOSA-AL,,,,,AL,,,,"776,72",,,,,,,-,,,,,,,,"776,72",,,,,,"8.170,76",,,,,,,,,
ALAGOAS TOTAL,,,,,,,,,"1.716.195,30",,,,,,,"595.984,74",,,,,,,,"2.312.180,04",,,,,,"22.788.060,56",,,,,,,,,
ANAMA-AM,,,,,AM,,,,-,,,,,,,"2.113,55",,,,,,,,"2.113,55",,,,,,"21.387,00",,,,,,,,,
ANORI-AM,,,,,AM,,,,-,,,,,,,"2.113,55",,,,,,,,"2.113,55",,,,,,"21.387,00",,,,,,,,,
AUTAZES-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
BERURI-AM,,,,,AM,,,,-,,,,,,,"2.113,55",,,,,,,,"2.113,55",,,,,,"21.387,00",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
CAREIRO-AM,,,,,AM,,,,-,,,,,,,"2.113,55",,,,,,,,"2.113,55",,,,,,"21.387,00",,,,,,,,,
COARI-AM,,,,,AM,,,,"1.651.353,51",,,,,,,"1.662.608,07",,,,,,,,"3.313.961,58",,,,,,"32.171.976,99",,,,,,,,,
CODAJAS-AM,,,,,AM,,,,-,,,,,,,"2.113,55",,,,,,,,"2.113,55",,,,,,"21.387,00",,,,,,,,,
IRANDUBA-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
ITACOATIARA-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
MANACAPURU-AM,,,,,AM,,,,-,,,,,,,"2.113,55",,,,,,,,"2.113,55",,,,,,"21.387,00",,,,,,,,,
MANAQUIRI-AM,,,,,AM,,,,-,,,,,,,"2.113,55",,,,,,,,"2.113,55",,,,,,"21.387,00",,,,,,,,,
MANAUS-AM,,,,,AM,,,,"63.757,75",,,,,,,"59.207,98",,,,,,,,"122.965,73",,,,,,"8.108.751,56",,,,,,,,,
PARINTINS-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
SILVES-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
URUCARA-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
URUCURITUBA-AM,,,,,AM,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,05",,,,,,,,,
AMAZONAS TOTAL,,,,,,,,,"1.715.111,26",,,,,,,"1.782.211,29",,,,,,,,"3.497.322,55",,,,,,"40.969.564,76",,,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
MACAPA-AP,,,,,AP,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
MAZAGAO-AP,,,,,AP,,,,-,,,,,,,"5.066,71",,,,,,,,"5.066,71",,,,,,"59.903,02",,,,,,,,,
AMAPA TOTAL,,,,,,,,,-,,,,,,,"15.200,13",,,,,,,,"15.200,13",,,,,,"179.709,06",,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
AIQUARA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"289.813,84",,,,,,,"159.722,05",,,,,,,,"449.535,89",,,,,,"4.031.507,98",,,,,,,,,
ALCOBACA-BA,,,,,BA,,,,"992,17",,,,,,,-,,,,,,,,"992,17",,,,,,"5.471,44",,,,,,,,,
ALMADINA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.208,78",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"1.030,33",,,,,,,-,,,,,,,,"1.030,33",,,,,,"5.831,27",,,,,,,,,
ANAGE-BA,,,,,BA,,,,"1.068,50",,,,,,,-,,,,,,,,"1.068,50",,,,,,"6.047,25",,,,,,,,,
ANGUERA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
ANTAS-BA,,,,,BA,,,,"877,69",,,,,,,-,,,,,,,,"877,69",,,,,,"4.967,38",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.535,44",,,,,,,,,
APORA-BA,,,,,BA,,,,"915,85",,,,,,,-,,,,,,,,"915,85",,,,,,"5.183,34",,,,,,,,,
APUAREMA-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
ARACAS-BA,,,,,BA,,,,"251.678,94",,,,,,,"126.696,30",,,,,,,,"378.375,24",,,,,,"3.424.099,21",,,,,,,,,
ARACI-BA,,,,,BA,,,,"1.182,98",,,,,,,-,,,,,,,,"1.182,98",,,,,,"6.695,18",,,,,,,,,
ARAMARI-BA,,,,,BA,,,,"2.604,57",,,,,,,"773,37",,,,,,,,"3.377,94",,,,,,"6.934,17",,,,,,,,,
ARATACA-BA,,,,,BA,,,,"801,37",,,,,,,-,,,,,,,,"801,37",,,,,,"4.419,23",,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"763,21",,,,,,,-,,,,,,,,"763,21",,,,,,"4.319,44",,,,,,,,,
AURELINO LEAL-BA,,,,,BA,,,,"915,85",,,,,,,-,,,,,,,,"915,85",,,,,,"5.050,54",,,,,,,,,
