SANTANA DO MUNDAU-AL,,,AL,,,,"375,99",,,,,,,,-,,,,,,"375,99",,,,,"750,15",,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,,"465,52",,,,,,,,-,,,,,,"465,52",,,,,"928,76",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,,"501,33",,,,,,,,-,,,,,,"501,33",,,,,"1.000,21",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,,"57.561,33",,,,,,,,"21.111,27",,,,,,"78.672,60",,,,,"162.651,84",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,,"358,09",,,,,,,,-,,,,,,"358,09",,,,,"714,43",,,,,,,,
SATUBA-AL,,,AL,,,,"12.433,28",,,,,,,,"7.765,41",,,,,,"20.198,69",,,,,"25.972,63",,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,,"537,13",,,,,,,,-,,,,,,"537,13",,,,,"1.071,64",,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,,"590,85",,,,,,,,-,,,,,,"590,85",,,,,"1.178,82",,,,,,,,
VICOSA-AL,,,AL,,,,"483,42",,,,,,,,-,,,,,,"483,42",,,,,"964,48",,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,,-,,,,,,,,"17.037,44",,,,,,"17.037,44",,,,,"33.038,42",,,,,,,,
COARI-AM,,,AM,,,,"687.190,25",,,,,,,,"628.800,05",,,,,,"1.315.990,30",,,,,"2.739.881,39",,,,,,,,
IRANDUBA-AM,,,AM,,,,-,,,,,,,,"17.037,44",,,,,,"17.037,44",,,,,"33.038,42",,,,,,,,
MANAUS-AM,,,AM,,,,"18.265,01",,,,,,,,"51.112,32",,,,,,"69.377,33",,,,,"136.295,51",,,,,,,,
ACAJUTIBA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
ADUSTINA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
AGUA FRIA-BA,,,BA,,,,"56,95",,,,,,,,-,,,,,,"56,95",,,,,"105,43",,,,,,,,
AIQUARA-BA,,,BA,,,,"49,52",,,,,,,,-,,,,,,"49,52",,,,,"91,68",,,,,,,,
ALAGOINHAS-BA,,,BA,,,,"96.648,44",,,,,,,,"48.506,46",,,,,,"145.154,90",,,,,"291.113,53",,,,,,,,
AMARGOSA-BA,,,BA,,,,"69,33",,,,,,,,-,,,,,,"69,33",,,,,"128,35",,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,,"66,85",,,,,,,,-,,,,,,"66,85",,,,,"123,76",,,,,,,,
ANAGE-BA,,,BA,,,,"76,75",,,,,,,,-,,,,,,"76,75",,,,,"142,10",,,,,,,,
