ANADIA,,AL,,,"532,73",,,,,-,,,,,,"532,73",,,,,"532,73",,,,,,,,,,,,,
ATALAIA,,AL,,,"688,11",,,,,-,,,,,,"688,11",,,,,"688,11",,,,,,,,,,,,,
BARRA DE SANTO ANTONIO,,AL,,,"466,14",,,,,-,,,,,,"466,14",,,,,"466,14",,,,,,,,,,,,,
BARRA DE SAO MIGUEL,,AL,,,"443,94",,,,,-,,,,,,"443,94",,,,,"443,94",,,,,,,,,,,,,
BOCA DA MATA,,AL,,,"599,32",,,,,-,,,,,,"599,32",,,,,"599,32",,,,,,,,,,,,,
BRANQUINHA,,AL,,,"466,14",,,,,-,,,,,,"466,14",,,,,"466,14",,,,,,,,,,,,,
CAJUEIRO,,AL,,,"554,93",,,,,-,,,,,,"554,93",,,,,"554,93",,,,,,,,,,,,,
CAMPESTRE,,AL,,,"443,94",,,,,-,,,,,,"443,94",,,,,"443,94",,,,,,,,,,,,,
CAMPO ALEGRE,,AL,,,"688,11",,,,,-,,,,,,"688,11",,,,,"688,11",,,,,,,,,,,,,
CAPELA,,AL,,,"554,93",,,,,-,,,,,,"554,93",,,,,"554,93",,,,,,,,,,,,,
CHA PRETA,,AL,,,"443,94",,,,,-,,,,,,"443,94",,,,,"443,94",,,,,,,,,,,,,
COLONIA LEOPOLDINA,,AL,,,"532,73",,,,,-,,,,,,"532,73",,,,,"532,73",,,,,,,,,,,,,
COQUEIRO SECO,,AL,,,"443,94",,,,,-,,,,,,"443,94",,,,,"443,94",,,,,,,,,,,,,
CORURIPE,,AL,,,"793.400,71",,,,,"27.342,26",,,,,,"820.742,98",,,,,"820.742,98",,,,,,,,,,,,,
FELIZ DESERTO,,AL,,,"15.815,54",,,,,"22.102,22",,,,,,"37.917,76",,,,,"37.917,76",,,,,,,,,,,,,
FLEXEIRAS,,AL,,,"488,33",,,,,-,,,,,,"488,33",,,,,"488,33",,,,,,,,,,,,,
IBATEGUARA,,AL,,,"510,53",,,,,-,,,,,,"510,53",,,,,"510,53",,,,,,,,,,,,,
IGREJA NOVA,,AL,,,"577,12",,,,,-,,,,,,"577,12",,,,,"577,12",,,,,,,,,,,,,
JACUIPE,,AL,,,"443,94",,,,,-,,,,,,"443,94",,,,,"443,94",,,,,,,,,,,,,
JAPARATINGA,,AL,,,"443,94",,,,,-,,,,,,"443,94",,,,,"443,94",,,,,,,,,,,,,
JEQUIA DA PRAIA,,AL,,,"488,33",,,,,-,,,,,,"488,33",,,,,"488,33",,,,,,,,,,,,,
JOAQUIM GOMES,,AL,,,"577,12",,,,,-,,,,,,"577,12",,,,,"577,12",,,,,,,,,,,,,
JUNDIA,,AL,,,"443,94",,,,,-,,,,,,"443,94",,,,,"443,94",,,,,,,,,,,,,
JUNQUEIRO,,AL,,,"577,12",,,,,-,,,,,,"577,12",,,,,"577,12",,,,,,,,,,,,,
MACEIO,,AL,,,"61.197,68",,,,,"6.365,74",,,,,,"67.563,43",,,,,"67.563,43",,,,,,,,,,,,,
MARAGOGI,,AL,,,"577,12",,,,,-,,,,,,"577,12",,,,,"577,12",,,,,,,,,,,,,
MARECHAL DEODORO,,AL,,,"120.294,08",,,,,"71.584,63",,,,,,"191.878,71",,,,,"191.878,71",,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE,,AL,,,"577,12",,,,,-,,,,,,"577,12",,,,,"577,12",,,,,,,,,,,,,
MESSIAS,,AL,,,"466,14",,,,,-,,,,,,"466,14",,,,,"466,14",,,,,,,,,,,,,
