ANADIA-AL,,,AL,,,"498,58",,,,,,-,,,,,,,"498,58",,,,,,"4.966,51",,,,,,,,,,,
ATALAIA-AL,,,AL,,,"644,00",,,,,,-,,,,,,,"644,00",,,,,,"6.411,56",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,"436,26",,,,,,-,,,,,,,"436,26",,,,,,"4.344,52",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,"415,49",,,,,,-,,,,,,,"415,49",,,,,,"4.139,90",,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,"560,90",,,,,,-,,,,,,,"560,90",,,,,,"5.582,68",,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,"436,26",,,,,,-,,,,,,,"436,26",,,,,,"4.344,52",,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,"519,36",,,,,,-,,,,,,,"519,36",,,,,,"5.173,40",,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,"415,49",,,,,,-,,,,,,,"415,49",,,,,,"4.139,90",,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,"644,00",,,,,,-,,,,,,,"644,00",,,,,,"6.411,56",,,,,,,,,,,
CAPELA-AL,,,AL,,,"519,36",,,,,,-,,,,,,,"519,36",,,,,,"5.173,40",,,,,,,,,,,
CHA PRETA-AL,,,AL,,,"415,49",,,,,,-,,,,,,,"415,49",,,,,,"4.139,90",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,"498,58",,,,,,-,,,,,,,"498,58",,,,,,"4.966,51",,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,"415,49",,,,,,-,,,,,,,"415,49",,,,,,"4.139,90",,,,,,,,,,,
CORURIPE-AL,,,AL,,,"937.616,64",,,,,,"26.347,79",,,,,,,"963.964,43",,,,,,"6.665.217,94",,,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,"14.801,36",,,,,,"20.684,89",,,,,,,"35.486,26",,,,,,"353.434,86",,,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,"457,03",,,,,,-,,,,,,,"457,03",,,,,,"4.549,18",,,,,,,,,,,
IBATEGUARA-AL,,,AL,,,"477,81",,,,,,-,,,,,,,"477,81",,,,,,"4.756,05",,,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,"540,12",,,,,,-,,,,,,,"540,12",,,,,,"5.378,02",,,,,,,,,,,
JACUIPE-AL,,,AL,,,"415,48",,,,,,-,,,,,,,"415,48",,,,,,"4.139,89",,,,,,,,,,,
JAPARATINGA-AL,,,AL,,,"415,48",,,,,,-,,,,,,,"415,48",,,,,,"4.139,89",,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,"457,02",,,,,,-,,,,,,,"457,02",,,,,,"4.549,17",,,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,"540,12",,,,,,-,,,,,,,"540,12",,,,,,"5.378,02",,,,,,,,,,,
JUNDIA-AL,,,AL,,,"415,48",,,,,,-,,,,,,,"415,48",,,,,,"4.139,89",,,,,,,,,,,
JUNQUEIRO-AL,,,AL,,,"540,12",,,,,,-,,,,,,,"540,12",,,,,,"5.378,02",,,,,,,,,,,
MACEIO-AL,,,AL,,,"64.618,14",,,,,,-,,,,,,,"64.618,14",,,,,,"594.251,04",,,,,,,,,,,
MARAGOGI-AL,,,AL,,,"540,12",,,,,,-,,,,,,,"540,12",,,,,,"5.378,02",,,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,"129.276,56",,,,,,"69.323,68",,,,,,,"198.600,24",,,,,,"1.498.034,68",,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,"540,12",,,,,,-,,,,,,,"540,12",,,,,,"5.378,02",,,,,,,,,,,
MESSIAS-AL,,,AL,,,"436,25",,,,,,-,,,,,,,"436,25",,,,,,"4.344,51",,,,,,,,,,,
MURICI-AL,,,AL,,,"560,89",,,,,,-,,,,,,,"560,89",,,,,,"5.582,67",,,,,,,,,,,
NOVO LINO-AL,,,AL,,,"436,25",,,,,,-,,,,,,,"436,25",,,,,,"4.344,51",,,,,,,,,,,
PARIPUEIRA-AL,,,AL,,,"415,48",,,,,,-,,,,,,,"415,48",,,,,,"77.647,12",,,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,AL,,,"457,02",,,,,,-,,,,,,,"457,02",,,,,,"4.549,17",,,,,,,,,,,
PENEDO-AL,,,AL,,,"685,54",,,,,,-,,,,,,,"685,54",,,,,,"6.828,90",,,,,,,,,,,
PIACABUCU-AL,,,AL,,,"498,57",,,,,,-,,,,,,,"498,57",,,,,,"4.966,50",,,,,,,,,,,
PILAR-AL,,,AL,,,"120.474,18",,,,,,"77.330,67",,,,,,,"197.804,86",,,,,,"1.435.976,60",,,,,,,,,,,
PINDOBA-AL,,,AL,,,"415,48",,,,,,-,,,,,,,"415,48",,,,,,"4.139,89",,,,,,,,,,,
PORTO CALVO-AL,,,AL,,,"540,12",,,,,,-,,,,,,,"540,12",,,,,,"5.378,02",,,,,,,,,,,
PORTO DE PEDRAS-AL,,,AL,,,"436,25",,,,,,-,,,,,,,"436,25",,,,,,"4.344,51",,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,AL,,,"519,35",,,,,,-,,,,,,,"519,35",,,,,,"5.173,39",,,,,,,,,,,
RIO LARGO-AL,,,AL,,,"685,54",,,,,,-,,,,,,,"685,54",,,,,,"32.242,46",,,,,,,,,,,
ROTEIRO-AL,,,AL,,,"840,88",,,,,,"273,86",,,,,,,"1.114,74",,,,,,"9.442,54",,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,AL,,,"415,48",,,,,,-,,,,,,,"415,48",,,,,,"41.320,13",,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,"436,25",,,,,,-,,,,,,,"436,25",,,,,,"4.344,51",,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,"540,12",,,,,,-,,,,,,,"540,12",,,,,,"5.378,02",,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,"581,67",,,,,,-,,,,,,,"581,67",,,,,,"5.795,39",,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,"108.698,47",,,,,,"28.843,52",,,,,,,"137.541,99",,,,,,"1.171.836,37",,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,"415,48",,,,,,-,,,,,,,"415,48",,,,,,"4.139,89",,,,,,,,,,,
SATUBA-AL,,,AL,,,"22.581,17",,,,,,"14.270,08",,,,,,,"36.851,25",,,,,,"237.560,79",,,,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,"623,21",,,,,,-,,,,,,,"623,21",,,,,,"6.206,91",,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,"685,54",,,,,,-,,,,,,,"685,54",,,,,,"6.828,90",,,,,,,,,,,
VICOSA-AL,,,AL,,,"560,89",,,,,,-,,,,,,,"560,89",,,,,,"5.583,78",,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,-,,,,,,"5.162,19",,,,,,,"5.162,19",,,,,,"65.531,85",,,,,,,,,,,
COARI-AM,,,AM,,,"1.401.584,84",,,,,,"1.179.957,50",,,,,,,"2.581.542,35",,,,,,"19.530.499,37",,,,,,,,,,,
IRANDUBA-AM,,,AM,,,-,,,,,,"5.162,19",,,,,,,"5.162,19",,,,,,"65.531,85",,,,,,,,,,,
MANAUS-AM,,,AM,,,"974.590,57",,,,,,"59.277,51",,,,,,,"1.033.868,08",,,,,,"1.773.065,07",,,,,,,,,,,
ACAJUTIBA-BA,,,BA,,,"46,75",,,,,,-,,,,,,,"46,75",,,,,,"596,84",,,,,,,,,,,
ADUSTINA-BA,,,BA,,,"46,75",,,,,,-,,,,,,,"46,75",,,,,,"596,84",,,,,,,,,,,
AGUA FRIA-BA,,,BA,,,"46,75",,,,,,-,,,,,,,"46,75",,,,,,"596,84",,,,,,,,,,,
AIQUARA-BA,,,BA,,,"40,66",,,,,,-,,,,,,,"40,66",,,,,,"518,38",,,,,,,,,,,
ALAGOINHAS-BA,,,BA,,,"207.658,39",,,,,,"108.386,68",,,,,,,"316.045,08",,,,,,"2.343.007,58",,,,,,,,,,,
AMARGOSA-BA,,,BA,,,"56,92",,,,,,-,,,,,,,"56,92",,,,,,"726,86",,,,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,"54,88",,,,,,-,,,,,,,"54,88",,,,,,"700,49",,,,,,,,,,,
ANAGE-BA,,,BA,,,"63,02",,,,,,-,,,,,,,"63,02",,,,,,"804,20",,,,,,,,,,,
ANGUERA-BA,,,BA,,,"40,66",,,,,,-,,,,,,,"40,66",,,,,,"518,38",,,,,,,,,,,
ANTAS-BA,,,BA,,,"46,75",,,,,,-,,,,,,,"46,75",,,,,,"596,84",,,,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,"42,69",,,,,,-,,,,,,,"42,69",,,,,,"544,98",,,,,,,,,,,
APORA-BA,,,BA,,,"48,79",,,,,,-,,,,,,,"48,79",,,,,,"623,19",,,,,,,,,,,
APUAREMA-BA,,,BA,,,"40,66",,,,,,-,,,,,,,"40,66",,,,,,"518,38",,,,,,,,,,,
ARACAS-BA,,,BA,,,"173.878,42",,,,,,"75.486,55",,,,,,,"249.364,97",,,,,,"1.989.417,83",,,,,,,,,,,
ARACI-BA,,,BA,,,"63,02",,,,,,-,,,,,,,"63,02",,,,,,"804,20",,,,,,,,,,,
ARAMARI -BA,,,BA,,,"40,66",,,,,,-,,,,,,,"40,66",,,,,,"518,38",,,,,,,,,,,
