ANADIA-AL,,,,,,AL,,,"739,15",,,,,,-,,,,,"739,15",,,,,,"739,15",,,,,,,,
ATALAIA-AL,,,,,,AL,,,"954,74",,,,,,-,,,,,"954,74",,,,,,"954,74",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,,"708,35",,,,,,-,,,,,"708,35",,,,,,"708,35",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,,"831,55",,,,,,-,,,,,"831,55",,,,,,"831,55",,,,,,,,
BRANQUINHA-AL,,,,,,AL,,,"646,76",,,,,,-,,,,,"646,76",,,,,,"646,76",,,,,,,,
CAJUEIRO-AL,,,,,,AL,,,"800,75",,,,,,-,,,,,"800,75",,,,,,"800,75",,,,,,,,
CAMPESTRE-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,,"985,54",,,,,,-,,,,,"985,54",,,,,,"985,54",,,,,,,,
CAPELA-AL,,,,,,AL,,,"739,15",,,,,,-,,,,,"739,15",,,,,,"739,15",,,,,,,,
CHA PRETA-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,,"800,75",,,,,,-,,,,,"800,75",,,,,,"800,75",,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,,"99.661,90",,,,,,"365,97",,,,,"100.027,87",,,,,,"100.027,87",,,,,,,,
CORURIPE-AL,,,,,,AL,,,"1.927.681,43",,,,,,"70.326,84",,,,,"1.998.008,27",,,,,,"1.998.008,27",,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,,"22.281,31",,,,,,"31.138,13",,,,,"53.419,44",,,,,,"53.419,44",,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,,"677,56",,,,,,-,,,,,"677,56",,,,,,"677,56",,,,,,,,
IBATEGUARA-AL,,,,,,AL,,,"708,35",,,,,,-,,,,,"708,35",,,,,,"708,35",,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,,"800,75",,,,,,-,,,,,"800,75",,,,,,"800,75",,,,,,,,
JACUIPE-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
JAPARATINGA-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,AL,,,"2.757,53",,,,,,"873,58",,,,,"3.631,11",,,,,,"3.631,11",,,,,,,,
JOAQUIM GOMES-AL,,,,,,AL,,,"800,75",,,,,,-,,,,,"800,75",,,,,,"800,75",,,,,,,,
JUNDIA-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
JUNQUEIRO-AL,,,,,,AL,,,"800,75",,,,,,-,,,,,"800,75",,,,,,"800,75",,,,,,,,
MACEIO-AL,,,,,,AL,,,"77.128,06",,,,,,"25.612,82",,,,,"102.740,88",,,,,,"102.740,88",,,,,,,,
MARAGOGI-AL,,,,,,AL,,,"862,34",,,,,,-,,,,,"862,34",,,,,,"862,34",,,,,,,,
MARECHAL DEODORO-AL,,,,,,AL,,,"44.717,21",,,,,,"37.648,73",,,,,"82.365,94",,,,,,"82.365,94",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,AL,,,"800,75",,,,,,-,,,,,"800,75",,,,,,"800,75",,,,,,,,
MESSIAS-AL,,,,,,AL,,,"708,35",,,,,,-,,,,,"708,35",,,,,,"708,35",,,,,,,,
MURICI-AL,,,,,,AL,,,"831,55",,,,,,-,,,,,"831,55",,,,,,"831,55",,,,,,,,
NOVO LINO-AL,,,,,,AL,,,"677,56",,,,,,-,,,,,"677,56",,,,,,"677,56",,,,,,,,
PARIPUEIRA-AL,,,,,,AL,,,"646,76",,,,,,"9.905,06",,,,,"10.551,82",,,,,,"10.551,82",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,AL,,,"708,35",,,,,,-,,,,,"708,35",,,,,,"708,35",,,,,,,,
PENEDO-AL,,,,,,AL,,,"411.829,29",,,,,,"81,80",,,,,"411.911,09",,,,,,"411.911,09",,,,,,,,
PIACABUCU-AL,,,,,,AL,,,"739,15",,,,,,-,,,,,"739,15",,,,,,"739,15",,,,,,,,
PILAR-AL,,,,,,AL,,,"203.318,18",,,,,,"113.770,49",,,,,"317.088,67",,,,,,"317.088,67",,,,,,,,
PINDOBA-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
PORTO CALVO-AL,,,,,,AL,,,"831,55",,,,,,-,,,,,"831,55",,,,,,"831,55",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,AL,,,"769,95",,,,,,-,,,,,"769,95",,,,,,"769,95",,,,,,,,
RIO LARGO-AL,,,,,,AL,,,"413.500,46",,,,,,"6.339,34",,,,,"419.839,80",,,,,,"419.839,80",,,,,,,,
ROTEIRO-AL,,,,,,AL,,,"1.893.544,21",,,,,,"995,55",,,,,"1.894.539,76",,,,,,"1.894.539,76",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,AL,,,"60.115,24",,,,,,"318,93",,,,,"60.434,17",,,,,,"60.434,17",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,AL,,,"646,76",,,,,,-,,,,,"646,76",,,,,,"646,76",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,AL,,,"800,75",,,,,,-,,,,,"800,75",,,,,,"800,75",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,AL,,,"893,14",,,,,,-,,,,,"893,14",,,,,,"893,14",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,AL,,,"276.710,94",,,,,,"172.316,45",,,,,"449.027,39",,,,,,"449.027,39",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,AL,,,"615,96",,,,,,-,,,,,"615,96",,,,,,"615,96",,,,,,,,
SATUBA-AL,,,,,,AL,,,"9.151,06",,,,,,"5.902,43",,,,,"15.053,49",,,,,,"15.053,49",,,,,,,,
TEOTONIO VILELA-AL,,,,,,AL,,,"954,74",,,,,,-,,,,,"954,74",,,,,,"954,74",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,AL,,,"1.016,34",,,,,,-,,,,,"1.016,34",,,,,,"1.016,34",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICOSA-AL,,,,,,AL,,,"831,55",,,,,,-,,,,,"831,55",,,,,,"831,55",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"5.471.654,95",,,,,,"475.596,12",,,,,"5.947.251,07",,,,,,"5.947.251,07",,,,,,,,
ANAMA-AM,,,,,,AM,,,-,,,,,,"2.950,55",,,,,"2.950,55",,,,,,"2.950,55",,,,,,,,
ANORI-AM,,,,,,AM,,,-,,,,,,"2.950,55",,,,,"2.950,55",,,,,,"2.950,55",,,,,,,,
AUTAZES-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
BERURI-AM,,,,,,AM,,,-,,,,,,"2.950,55",,,,,"2.950,55",,,,,,"2.950,55",,,,,,,,
CAAPIRANGA-AM,,,,,,AM,,,"59.214,21",,,,,,"21,67",,,,,"59.235,88",,,,,,"59.235,88",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
CAREIRO-AM,,,,,,AM,,,-,,,,,,"2.950,55",,,,,"2.950,55",,,,,,"2.950,55",,,,,,,,
COARI-AM,,,,,,AM,,,"3.226.273,98",,,,,,"2.999.047,87",,,,,"6.225.321,85",,,,,,"6.225.321,85",,,,,,,,
CODAJAS-AM,,,,,,AM,,,"59.217,56",,,,,,"2.976,66",,,,,"62.194,22",,,,,,"62.194,22",,,,,,,,
IRANDUBA-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
ITACOATIARA-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
ITAPIRANGA-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
MANACAPURU-AM,,,,,,AM,,,-,,,,,,"2.950,55",,,,,"2.950,55",,,,,,"2.950,55",,,,,,,,
MANAQUIRI-AM,,,,,,AM,,,-,,,,,,"2.950,55",,,,,"2.950,55",,,,,,"2.950,55",,,,,,,,
MANAUS-AM,,,,,,AM,,,"407.609,85",,,,,,"283.774,91",,,,,"691.384,76",,,,,,"691.384,76",,,,,,,,
PARINTINS-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
SILVES-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
TEFE-AM,,,,,,AM,,,"59.063,75",,,,,,"14.198,06",,,,,"73.261,81",,,,,,"73.261,81",,,,,,,,
URUCARA-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
URUCURITUBA-AM,,,,,,AM,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,"3.811.379,35",,,,,,"3.405.700,62",,,,,"7.217.079,97",,,,,,"7.217.079,97",,,,,,,,
LARANJAL DO JARI-AP,,,,,,AP,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
MACAPA-AP,,,,,,AP,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
MAZAGAO-AP,,,,,,AP,,,-,,,,,,"9.775,35",,,,,"9.775,35",,,,,,"9.775,35",,,,,,,,
AMAPA  TOTAL,,,,,,,,,-,,,,,,"29.326,05",,,,,"29.326,05",,,,,,"29.326,05",,,,,,,,
ACAJUTIBA-BA,,,,,,BA,,,"1.452,46",,,,,,-,,,,,"1.452,46",,,,,,"1.452,46",,,,,,,,
ADUSTINA-BA,,,,,,BA,,,"1.452,46",,,,,,-,,,,,"1.452,46",,,,,,"1.452,46",,,,,,,,
AGUA FRIA-BA,,,,,,BA,,,"1.452,46",,,,,,-,,,,,"1.452,46",,,,,,"1.452,46",,,,,,,,
AIQUARA-BA,,,,,,BA,,,"1.263,01",,,,,,-,,,,,"1.263,01",,,,,,"1.263,01",,,,,,,,
ALAGOINHAS-BA,,,,,,BA,,,"435.569,97",,,,,,"289.750,50",,,,,"725.320,47",,,,,,"725.320,47",,,,,,,,
ALCOBACA-BA,,,,,,BA,,,"1.641,92",,,,,,-,,,,,"1.641,92",,,,,,"1.641,92",,,,,,,,
ALMADINA-BA,,,,,,BA,,,"1.263,01",,,,,,-,,,,,"1.263,01",,,,,,"1.263,01",,,,,,,,
AMARGOSA-BA,,,,,,BA,,,"1.831,37",,,,,,-,,,,,"1.831,37",,,,,,"1.831,37",,,,,,,,
AMELIA RODRIGUES-BA,,,,,,BA,,,"1.705,07",,,,,,-,,,,,"1.705,07",,,,,,"1.705,07",,,,,,,,
ANAGE-BA,,,,,,BA,,,"1.705,07",,,,,,-,,,,,"1.705,07",,,,,,"1.705,07",,,,,,,,
ANGUERA-BA,,,,,,BA,,,"1.326,16",,,,,,-,,,,,"1.326,16",,,,,,"1.326,16",,,,,,,,
ANTAS-BA,,,,,,BA,,,"1.515,61",,,,,,-,,,,,"1.515,61",,,,,,"1.515,61",,,,,,,,
ANTONIO CARDOSO-BA,,,,,,BA,,,"1.326,16",,,,,,-,,,,,"1.326,16",,,,,,"1.326,16",,,,,,,,
APORA-BA,,,,,,BA,,,"1.515,61",,,,,,-,,,,,"1.515,61",,,,,,"1.515,61",,,,,,,,
APUAREMA-BA,,,,,,BA,,,"1.263,01",,,,,,-,,,,,"1.263,01",,,,,,"1.263,01",,,,,,,,
ARACAS-BA,,,,,,BA,,,"454.018,71",,,,,,"267.812,02",,,,,"721.830,73",,,,,,"721.830,73",,,,,,,,
ARACI-BA,,,,,,BA,,,"2.020,82",,,,,,-,,,,,"2.020,82",,,,,,"2.020,82",,,,,,,,
ARAMARI-BA,,,,,,BA,,,"2.718,70",,,,,,"584,86",,,,,"3.303,56",,,,,,"3.303,56",,,,,,,,
ARATACA-BA,,,,,,BA,,,"1.326,16",,,,,,-,,,,,"1.326,16",,,,,,"1.326,16",,,,,,,,
ARATUIPE-BA,,,,,,BA,,,"1.263,01",,,,,,-,,,,,"1.263,01",,,,,,"1.263,01",,,,,,,,
AURELINO LEAL-BA,,,,,,BA,,,"1.389,31",,,,,,-,,,,,"1.389,31",,,,,,"1.389,31",,,,,,,,
BAIXA GRANDE-BA,,,,,,BA,,,"1.641,92",,,,,,-,,,,,"1.641,92",,,,,,"1.641,92",,,,,,,,
BANZAE-BA,,,,,,BA,,,"1.326,16",,,,,,-,,,,,"1.326,16",,,,,,"1.326,16",,,,,,,,
BARRA DO CHOCA-BA,,,,,,BA,,,"1.831,37",,,,,,-,,,,,"1.831,37",,,,,,"1.831,37",,,,,,,,
BARRA DO ROCHA-BA,,,,,,BA,,,"1.263,01",,,,,,-,,,,,"1.263,01",,,,,,"1.263,01",,,,,,,,
BARRO PRETO-BA,,,,,,BA,,,"1.263,01",,,,,,-,,,,,"1.263,01",,,,,,"1.263,01",,,,,,,,
BARROCAS-BA,,,,,,BA,,,"1.452,46",,,,,,-,,,,,"1.452,46",,,,,,"1.452,46",,,,,,,,
BELMONTE-BA,,,,,,BA,,,"1.641,92",,,,,,-,,,,,"1.641,92",,,,,,"1.641,92",,,,,,,,
BELO CAMPO-BA,,,,,,BA,,,"1.515,61",,,,,,-,,,,,"1.515,61",,,,,,"1.515,61",,,,,,,,
BIRITINGA-BA,,,,,,BA,,,"1.452,46",,,,,,-,,,,,"1.452,46",,,,,,"1.452,46",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOA NOVA-BA,,,,,,BA,,,"1.452,46",,,,,,-,,,,,"1.452,46",,,,,,"1.452,46",,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,BA,,,"1.515,61",,,,,,-,,,,,"1.515,61",,,,,,"1.515,61",,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,BA,,,"1.326,16",,,,,,-,,,,,"1.326,16",,,,,,"1.326,16",,,,,,,,
BREJOES-BA,,,,,,BA,,,"1.452,46",,,,,,-,,,,,"1.452,46",,,,,,"1.452,46",,,,,,,,
BUERAREMA-BA,,,,,,BA,,,"1.578,76",,,,,,-,,,,,"1.578,76",,,,,,"1.578,76",,,,,,,,
