ANADIA-AL,,,,,,,,,AL,,,"721,17",,,,,-,,,,,,,"721,17",,,,,,"6.157,48",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"931,51",,,,,-,,,,,,,"931,51",,,,,,"7.953,43",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"691,12",,,,,-,,,,,,,"691,12",,,,,,"5.900,92",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"811,32",,,,,-,,,,,,,"811,32",,,,,,"6.927,16",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"631,02",,,,,-,,,,,,,"631,02",,,,,,"5.387,80",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"781,27",,,,,-,,,,,,,"781,27",,,,,,"6.670,61",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"961,56",,,,,-,,,,,,,"961,56",,,,,,"8.209,98",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"721,17",,,,,-,,,,,,,"721,17",,,,,,"6.157,48",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"781,27",,,,,-,,,,,,,"781,27",,,,,,"6.670,61",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"109.198,40",,,,,"399,18",,,,,,,"109.597,58",,,,,,"778.380,63",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"2.386.463,55",,,,,"70.803,75",,,,,,,"2.457.267,30",,,,,,"17.675.385,09",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"21.739,29",,,,,"30.380,66",,,,,,,"52.119,95",,,,,,"445.008,92",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"661,07",,,,,-,,,,,,,"661,07",,,,,,"5.644,36",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"691,12",,,,,-,,,,,,,"691,12",,,,,,"5.900,92",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"781,27",,,,,-,,,,,,,"781,27",,,,,,"6.670,61",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,"2.777,53",,,,,"888,91",,,,,,,"3.666,44",,,,,,"23.531,49",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,"781,27",,,,,-,,,,,,,"781,27",,,,,,"6.670,61",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,"781,27",,,,,-,,,,,,,"781,27",,,,,,"6.670,61",,,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,,"74.195,28",,,,,"23.438,26",,,,,,,"97.633,54",,,,,,"834.325,12",,,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,,"841,37",,,,,-,,,,,,,"841,37",,,,,,"7.183,74",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,,"78.640,38",,,,,"57.081,33",,,,,,,"135.721,71",,,,,,"703.417,53",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,,"781,27",,,,,-,,,,,,,"781,27",,,,,,"6.670,61",,,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,,"691,12",,,,,-,,,,,,,"691,12",,,,,,"5.900,92",,,,,,,,,,
MURICI-AL,,,,,,,,,AL,,,"811,32",,,,,-,,,,,,,"811,32",,,,,,"6.927,16",,,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,,"661,07",,,,,-,,,,,,,"661,07",,,,,,"5.644,36",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,,"631,02",,,,,"7.618,42",,,,,,,"8.249,44",,,,,,"65.910,01",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,,"691,12",,,,,-,,,,,,,"691,12",,,,,,"5.900,92",,,,,,,,,,
PENEDO-AL,,,,,,,,,AL,,,"411.133,53",,,,,"61,83",,,,,,,"411.195,36",,,,,,"3.290.405,31",,,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,,"721,17",,,,,-,,,,,,,"721,17",,,,,,"6.157,48",,,,,,,,,,
PILAR-AL,,,,,,,,,AL,,,"213.965,89",,,,,"123.878,96",,,,,,,"337.844,85",,,,,,"2.833.599,21",,,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,,"811,32",,,,,-,,,,,,,"811,32",,,,,,"6.927,16",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,,"751,22",,,,,-,,,,,,,"751,22",,,,,,"6.414,05",,,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,,"412.550,07",,,,,"5.916,78",,,,,,,"418.466,85",,,,,,"3.346.522,94",,,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,,"2.349.419,38",,,,,"496,59",,,,,,,"2.349.915,97",,,,,,"16.795.897,06",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"205.752,70",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,AL,,,"631,02",,,,,-,,,,,,,"631,02",,,,,,"5.387,80",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,AL,,,"781,27",,,,,-,,,,,,,"781,27",,,,,,"6.670,61",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,AL,,,"871,42",,,,,-,,,,,,,"871,42",,,,,,"7.440,30",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,AL,,,"344.932,70",,,,,"230.111,56",,,,,,,"575.044,26",,,,,,"4.551.849,37",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,AL,,,"600,98",,,,,-,,,,,,,"600,98",,,,,,"5.131,24",,,,,,,,,,
SATUBA-AL,,,,,,,,,AL,,,"9.604,84",,,,,"5.749,35",,,,,,,"15.354,19",,,,,,"122.935,49",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,AL,,,"931,51",,,,,-,,,,,,,"931,51",,,,,,"7.953,43",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,AL,,,"991,61",,,,,-,,,,,,,"991,61",,,,,,"8.466,55",,,,,,,,,,
VICOSA-AL,,,,,,,,,AL,,,"811,32",,,,,-,,,,,,,"811,32",,,,,,"6.927,16",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,"6.443.768,20",,,,,"556.825,58",,,,,,,"7.000.593,78",,,,,,"51.911.266,86",,,,,,,,,,
ANAMA-AM,,,,,,,,,AM,,,"55.050,33",,,,,"2.987,89",,,,,,,"58.038,22",,,,,,"463.170,74",,,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORI-AM,,,,,,,,,AM,,,"55.050,33",,,,,"3.176,99",,,,,,,"58.227,32",,,,,,"464.134,07",,,,,,,,,,
AUTAZES-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
BERURI-AM,,,,,,,,,AM,,,-,,,,,"2.724,43",,,,,,,"2.724,43",,,,,,"23.382,48",,,,,,,,,,
CAAPIRANGA-AM,,,,,,,,,AM,,,"55.050,33",,,,,"220,50",,,,,,,"55.270,83",,,,,,"498.997,22",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
CAREIRO-AM,,,,,,,,,AM,,,-,,,,,"2.724,43",,,,,,,"2.724,43",,,,,,"23.382,48",,,,,,,,,,
COARI-AM,,,,,,,,,AM,,,"3.075.071,82",,,,,"2.854.287,68",,,,,,,"5.929.359,50",,,,,,"50.565.855,06",,,,,,,,,,
CODAJAS-AM,,,,,,,,,AM,,,"55.050,33",,,,,"3.383,83",,,,,,,"58.434,16",,,,,,"523.954,91",,,,,,,,,,
IRANDUBA-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
ITACOATIARA-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
ITAPIRANGA-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
MANACAPURU-AM,,,,,,,,,AM,,,-,,,,,"2.724,43",,,,,,,"2.724,43",,,,,,"23.382,48",,,,,,,,,,
MANAQUIRI-AM,,,,,,,,,AM,,,-,,,,,"2.724,43",,,,,,,"2.724,43",,,,,,"23.382,48",,,,,,,,,,
MANAUS-AM,,,,,,,,,AM,,,"410.141,92",,,,,"305.071,24",,,,,,,"715.213,16",,,,,,"5.589.703,30",,,,,,,,,,
PARINTINS-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
SILVES-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
TEFE-AM,,,,,,,,,AM,,,"148.786,14",,,,,"53.563,01",,,,,,,"202.349,15",,,,,,"581.447,75",,,,,,,,,,
URUCARA-AM,,,,,,,,,AM,,,-,,,,,"10.447,95",,,,,,,"10.447,95",,,,,,"80.927,02",,,,,,,,,,
