ANADIA-AL,,,,AL,,,,"153,97",,,,,,,,-,,,,,,,"153,97",,,,,,,,"614,72",,,,,,,,,,,
ATALAIA-AL,,,,AL,,,,"192,46",,,,,,,,-,,,,,,,"192,46",,,,,,,,"768,40",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"128,31",,,,,,,,-,,,,,,,"128,31",,,,,,,,"512,28",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"128,31",,,,,,,,-,,,,,,,"128,31",,,,,,,,"512,28",,,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"166,80",,,,,,,,-,,,,,,,"166,80",,,,,,,,"665,96",,,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"128,31",,,,,,,,-,,,,,,,"128,31",,,,,,,,"512,28",,,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"153,97",,,,,,,,-,,,,,,,"153,97",,,,,,,,"614,72",,,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"128,31",,,,,,,,-,,,,,,,"128,31",,,,,,,,"512,28",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"192,46",,,,,,,,-,,,,,,,"192,46",,,,,,,,"768,40",,,,,,,,,,,
CAPELA-AL,,,,AL,,,,"166,80",,,,,,,,-,,,,,,,"166,80",,,,,,,,"665,96",,,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,"128,31",,,,,,,,-,,,,,,,"128,31",,,,,,,,"512,28",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"153,97",,,,,,,,-,,,,,,,"153,97",,,,,,,,"614,72",,,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"6.614,53",,,,,,,,"809,71",,,,,,,"7.424,24",,,,,,,,"26.966,32",,,,,,,,,,,
CORURIPE-AL,,,,AL,,,,"13.830,80",,,,,,,,"6.410,10",,,,,,,"20.240,90",,,,,,,,"77.575,59",,,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"4.521,10",,,,,,,,"6.175,03",,,,,,,"10.696,13",,,,,,,,"42.769,44",,,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"141,14",,,,,,,,-,,,,,,,"141,14",,,,,,,,"563,49",,,,,,,,,,,
