ANADIA-AL,,,,AL,,,,"866,75",,,,,,-,,,,,,,"866,75",,,,,,,"4.275,58",,,,,,,,,,
ATALAIA-AL,,,,AL,,,,"1.119,55",,,,,,-,,,,,,,"1.119,55",,,,,,,"5.522,65",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"758,41",,,,,,-,,,,,,,"758,41",,,,,,,"3.741,14",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"975,10",,,,,,-,,,,,,,"975,10",,,,,,,"4.810,05",,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"758,41",,,,,,-,,,,,,,"758,41",,,,,,,"3.741,14",,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"902,87",,,,,,-,,,,,,,"902,87",,,,,,,"4.453,75",,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"1.119,55",,,,,,-,,,,,,,"1.119,55",,,,,,,"5.522,65",,,,,,,,,,
CAPELA-AL,,,,AL,,,,"902,87",,,,,,-,,,,,,,"902,87",,,,,,,"4.453,75",,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"866,75",,,,,,-,,,,,,,"866,75",,,,,,,"4.275,58",,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"871,34",,,,,,"96,14",,,,,,,"967,48",,,,,,,"6.716,60",,,,,,,,,,
CORURIPE-AL,,,,AL,,,,"1.239.236,95",,,,,,"73.109,03",,,,,,,"1.312.345,98",,,,,,,"6.399.146,79",,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"26.215,12",,,,,,"35.931,09",,,,,,,"62.146,21",,,,,,,"306.561,13",,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"758,41",,,,,,-,,,,,,,"758,41",,,,,,,"3.741,14",,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"830,64",,,,,,-,,,,,,,"830,64",,,,,,,"4.097,44",,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"938,98",,,,,,-,,,,,,,"938,98",,,,,,,"4.631,89",,,,,,,,,,
JACUIPE-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,"1.601,46",,,,,,"338,91",,,,,,,"1.940,37",,,,,,,"23.390,57",,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"938,98",,,,,,-,,,,,,,"938,98",,,,,,,"4.631,89",,,,,,,,,,
JUNDIA-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,"938,98",,,,,,-,,,,,,,"938,98",,,,,,,"4.631,89",,,,,,,,,,
MACEIO-AL,,,,AL,,,,"92.352,65",,,,,,"18.198,67",,,,,,,"110.551,32",,,,,,,"629.793,83",,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,"938,98",,,,,,-,,,,,,,"938,98",,,,,,,"4.631,89",,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"148.972,95",,,,,,"120.215,79",,,,,,,"269.188,74",,,,,,,"1.548.886,44",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"975,10",,,,,,-,,,,,,,"975,10",,,,,,,"4.810,05",,,,,,,,,,
MESSIAS-AL,,,,AL,,,,"758,41",,,,,,-,,,,,,,"758,41",,,,,,,"3.741,14",,,,,,,,,,
MURICI-AL,,,,AL,,,,"975,10",,,,,,-,,,,,,,"975,10",,,,,,,"4.810,05",,,,,,,,,,
NOVO LINO-AL,,,,AL,,,,"758,41",,,,,,-,,,,,,,"758,41",,,,,,,"3.741,14",,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,"722,29",,,,,,"8.689,89",,,,,,,"9.412,18",,,,,,,"58.698,06",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,"794,52",,,,,,-,,,,,,,"794,52",,,,,,,"3.919,28",,,,,,,,,,
PENEDO-AL,,,,AL,,,,"1.191,78",,,,,,-,,,,,,,"1.191,78",,,,,,,"5.878,95",,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,"866,75",,,,,,-,,,,,,,"866,75",,,,,,,"4.275,58",,,,,,,,,,
PILAR-AL,,,,AL,,,,"267.479,04",,,,,,"171.871,75",,,,,,,"439.350,79",,,,,,,"2.273.060,75",,,,,,,,,,
PINDOBA-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,"938,98",,,,,,-,,,,,,,"938,98",,,,,,,"4.631,89",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,"758,41",,,,,,-,,,,,,,"758,41",,,,,,,"3.741,14",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,"902,87",,,,,,-,,,,,,,"902,87",,,,,,,"4.453,75",,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,"16.558,10",,,,,,"9.911,27",,,,,,,"26.469,37",,,,,,,"103.104,32",,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,"1.288,29",,,,,,"365,07",,,,,,,"1.653,36",,,,,,,"9.194,39",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,"758,41",,,,,,-,,,,,,,"758,41",,,,,,,"3.741,14",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,"938,98",,,,,,-,,,,,,,"938,98",,,,,,,"4.631,89",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,"1.011,21",,,,,,-,,,,,,,"1.011,21",,,,,,,"4.988,19",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,"345.187,35",,,,,,"212.941,11",,,,,,,"558.128,46",,,,,,,"3.021.652,06",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,"722,29",,,,,,-,,,,,,,"722,29",,,,,,,"3.562,98",,,,,,,,,,
SATUBA-AL,,,,AL,,,,"31.597,88",,,,,,"19.868,16",,,,,,,"51.466,04",,,,,,,"253.959,49",,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,"1.083,44",,,,,,-,,,,,,,"1.083,44",,,,,,,"5.344,50",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,"1.191,78",,,,,,-,,,,,,,"1.191,78",,,,,,,"5.878,95",,,,,,,,,,
VICOSA-AL,,,,AL,,,,"975,10",,,,,,-,,,,,,,"975,10",,,,,,,"4.810,05",,,,,,,,,,
ALAGOAS TOTAL,,,,,,,,"2.207.078,51",,,,,,"671.536,88",,,,,,,"2.878.615,39",,,,,,,"14.806.791,37",,,,,,,,,,
ANAMA-AM,,,,AM,,,,-,,,,,,"2.418,42",,,,,,,"2.418,42",,,,,,,"13.124,14",,,,,,,,,,
ANORI-AM,,,,AM,,,,-,,,,,,"2.418,42",,,,,,,"2.418,42",,,,,,,"13.124,14",,,,,,,,,,
AUTAZES-AM,,,,AM,,,,-,,,,,,"5.758,81",,,,,,,"5.758,81",,,,,,,"36.014,51",,,,,,,,,,
BERURI-AM,,,,AM,,,,-,,,,,,"2.418,42",,,,,,,"2.418,42",,,,,,,"13.124,14",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,-,,,,,,"5.758,81",,,,,,,"5.758,81",,,,,,,"36.014,51",,,,,,,,,,
CAREIRO-AM,,,,AM,,,,-,,,,,,"2.418,42",,,,,,,"2.418,42",,,,,,,"13.124,14",,,,,,,,,,
COARI-AM,,,,AM,,,,"2.023.475,87",,,,,,"1.891.486,97",,,,,,,"3.914.962,84",,,,,,,"20.605.769,34",,,,,,,,,,
CODAJAS-AM,,,,AM,,,,-,,,,,,"2.418,42",,,,,,,"2.418,42",,,,,,,"13.124,14",,,,,,,,,,
IRANDUBA-AM,,,,AM,,,,-,,,,,,"5.758,81",,,,,,,"5.758,81",,,,,,,"36.014,51",,,,,,,,,,
ITACOATIARA-AM,,,,AM,,,,-,,,,,,"5.758,81",,,,,,,"5.758,81",,,,,,,"36.014,51",,,,,,,,,,
ITAPIRANGA-AM,,,,AM,,,,-,,,,,,"5.758,81",,,,,,,"5.758,81",,,,,,,"36.014,51",,,,,,,,,,
