ANADIA-AL,,,,AL,,,"726,45",,,,,,,-,,,,,,"726,45",,,,,"726,45",,,,,,,,,
ATALAIA-AL,,,,AL,,,"968,61",,,,,,,-,,,,,,"968,61",,,,,"968,61",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,"665,92",,,,,,,-,,,,,,"665,92",,,,,"665,92",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,"605,38",,,,,,,-,,,,,,"605,38",,,,,"605,38",,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,"817,26",,,,,,,-,,,,,,"817,26",,,,,"817,26",,,,,,,,,
BRANQUINHA-AL,,,,AL,,,"635,65",,,,,,,-,,,,,,"635,65",,,,,"635,65",,,,,,,,,
CAJUEIRO-AL,,,,AL,,,"786,99",,,,,,,-,,,,,,"786,99",,,,,"786,99",,,,,,,,,
CAMPESTRE-AL,,,,AL,,,"605,38",,,,,,,-,,,,,,"605,38",,,,,"605,38",,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,"938,34",,,,,,,-,,,,,,"938,34",,,,,"938,34",,,,,,,,,
CAPELA-AL,,,,AL,,,"726,45",,,,,,,-,,,,,,"726,45",,,,,"726,45",,,,,,,,,
CHA PRETA-AL,,,,AL,,,"605,38",,,,,,,-,,,,,,"605,38",,,,,"605,38",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,"756,72",,,,,,,-,,,,,,"756,72",,,,,"756,72",,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,"2.500,81",,,,,,,"1.222,55",,,,,,"3.723,36",,,,,"3.723,36",,,,,,,,,
CORURIPE-AL,,,,AL,,,"929.104,07",,,,,,,"67.010,03",,,,,,"996.114,10",,,,,"996.114,10",,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,"21.758,84",,,,,,,"30.407,99",,,,,,"52.166,83",,,,,"52.166,83",,,,,,,,,
