ANADIA-AL,,,AL,,,"516,22",,,,,,,-,,,,,,,"516,22",,,,,,"3.867,82",,,,,,,,,,,,,,
ATALAIA-AL,,,AL,,,"666,78",,,,,,,-,,,,,,,"666,78",,,,,,"4.995,95",,,,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,AL,,,"494,71",,,,,,,-,,,,,,,"494,71",,,,,,"3.706,65",,,,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
BOCA DA MATA-AL,,,AL,,,"580,74",,,,,,,-,,,,,,,"580,74",,,,,,"4.351,29",,,,,,,,,,,,,,
BRANQUINHA-AL,,,AL,,,"451,69",,,,,,,-,,,,,,,"451,69",,,,,,"3.384,31",,,,,,,,,,,,,,
CAJUEIRO-AL,,,AL,,,"559,24",,,,,,,-,,,,,,,"559,24",,,,,,"4.190,14",,,,,,,,,,,,,,
CAMPESTRE-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
CAMPO ALEGRE-AL,,,AL,,,"688,29",,,,,,,-,,,,,,,"688,29",,,,,,"5.157,11",,,,,,,,,,,,,,
CAPELA-AL,,,AL,,,"516,22",,,,,,,-,,,,,,,"516,22",,,,,,"3.867,82",,,,,,,,,,,,,,
CHA PRETA-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,AL,,,"559,24",,,,,,,-,,,,,,,"559,24",,,,,,"4.190,14",,,,,,,,,,,,,,
COQUEIRO SECO-AL,,,AL,,,"65.798,33",,,,,,,"243,17",,,,,,,"66.041,50",,,,,,"546.340,81",,,,,,,,,,,,,,
CORURIPE-AL,,,AL,,,"987.785,03",,,,,,,"48.414,38",,,,,,,"1.036.199,41",,,,,,"10.650.355,72",,,,,,,,,,,,,,
FELIZ DESERTO-AL,,,AL,,,"15.561,10",,,,,,,"21.746,63",,,,,,,"37.307,73",,,,,,"279.532,95",,,,,,,,,,,,,,
FLEXEIRAS-AL,,,AL,,,"473,20",,,,,,,-,,,,,,,"473,20",,,,,,"3.545,50",,,,,,,,,,,,,,
IBATEGUARA-AL,,,AL,,,"494,71",,,,,,,-,,,,,,,"494,71",,,,,,"3.706,65",,,,,,,,,,,,,,
IGREJA NOVA-AL,,,AL,,,"559,24",,,,,,,-,,,,,,,"559,24",,,,,,"4.190,14",,,,,,,,,,,,,,
JACUIPE-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
JAPARATINGA-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
JEQUIA DA PRAIA-AL,,,AL,,,"473,20",,,,,,,-,,,,,,,"473,20",,,,,,"7.110,38",,,,,,,,,,,,,,
JOAQUIM GOMES-AL,,,AL,,,"559,24",,,,,,,-,,,,,,,"559,24",,,,,,"4.190,14",,,,,,,,,,,,,,
JUNDIA-AL,,,AL,,,"430,18",,,,,,,-,,,,,,,"430,18",,,,,,"3.223,17",,,,,,,,,,,,,,
JUNQUEIRO-AL,,,AL,,,"559,24",,,,,,,-,,,,,,,"559,24",,,,,,"4.190,14",,,,,,,,,,,,,,
MACEIO-AL,,,AL,,,"50.244,88",,,,,,,"15.203,46",,,,,,,"65.448,34",,,,,,"556.110,98",,,,,,,,,,,,,,
MARAGOGI-AL,,,AL,,,"602,25",,,,,,,-,,,,,,,"602,25",,,,,,"4.512,46",,,,,,,,,,,,,,
MARECHAL DEODORO-AL,,,AL,,,"785.229,35",,,,,,,"22.060,80",,,,,,,"807.290,15",,,,,,"7.504.031,40",,,,,,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,AL,,,"559,24",,,,,,,-,,,,,,,"559,24",,,,,,"4.190,14",,,,,,,,,,,,,,
MESSIAS-AL,,,AL,,,"494,71",,,,,,,-,,,,,,,"494,71",,,,,,"3.706,65",,,,,,,,,,,,,,
MURICI-AL,,,AL,,,"580,74",,,,,,,-,,,,,,,"580,74",,,,,,"4.351,29",,,,,,,,,,,,,,
