PORTO DE PEDRAS-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.283,18",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"740,03",,,,,,,,,-,,,,,,,"740,03",,,,,,"1.466,48",,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"14.244,31",,,,,,,,,"8.511,37",,,,,,,"22.755,68",,,,,,"43.885,08",,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"3.678,38",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"48.734,29",,,,,,,,,"799,65",,,,,,,"49.533,94",,,,,,"52.196,54",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"647,53",,,,,,,,,-,,,,,,,"647,53",,,,,,"1.283,18",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"801,70",,,,,,,,,-,,,,,,,"801,70",,,,,,"1.588,69",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"863,37",,,,,,,,,-,,,,,,,"863,37",,,,,,"1.710,90",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"339.187,27",,,,,,,,,"240.747,60",,,,,,,"579.934,87",,,,,,"1.157.206,99",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"616,69",,,,,,,,,-,,,,,,,"616,69",,,,,,"1.222,07",,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"601.826,45",,,,,,,,,"19.773,37",,,,,,,"621.599,82",,,,,,"1.191.425,71",,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"955,88",,,,,,,,,-,,,,,,,"955,88",,,,,,"1.894,22",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"1.017,55",,,,,,,,,-,,,,,,,"1.017,55",,,,,,"2.016,43",,,,,,,,,,
VICOSA-AL,,,,,AL,,,,"832,54",,,,,,,,,-,,,,,,,"832,54",,,,,,"1.649,80",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,"2.464.836,57",,,,,,,,,"630.124,06",,,,,,,"3.094.960,63",,,,,,"6.023.609,76",,,,,,,,,,
ANAMA-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
ANORI-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
AUTAZES-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
BERURI-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
CAREIRO-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
COARI-AM,,,,,AM,,,,"1.836.242,60",,,,,,,,,"1.869.049,22",,,,,,,"3.705.291,82",,,,,,"7.498.205,60",,,,,,,,,,
CODAJAS-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
IRANDUBA-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
ITACOATIARA-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
MANACAPURU-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
MANAQUIRI-AM,,,,,AM,,,,-,,,,,,,,,"2.559,66",,,,,,,"2.559,66",,,,,,"5.207,71",,,,,,,,,,
MANAUS-AM,,,,,AM,,,,"1.062.376,69",,,,,,,,,"93.426,56",,,,,,,"1.155.803,25",,,,,,"2.194.492,88",,,,,,,,,,
PARINTINS-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
SILVES-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
URUCARA-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
URUCURITUBA-AM,,,,,AM,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,"2.898.619,29",,,,,,,,,"2.045.730,43",,,,,,,"4.944.349,72",,,,,,"9.853.505,63",,,,,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
MACAPA-AP,,,,,AP,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
MAZAGAO-AP,,,,,AP,,,,-,,,,,,,,,"7.259,67",,,,,,,"7.259,67",,,,,,"13.817,02",,,,,,,,,,
AMAPA  TOTAL,,,,,,,,,-,,,,,,,,,"21.779,01",,,,,,,"21.779,01",,,,,,"41.451,06",,,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"804,22",,,,,,,,,-,,,,,,,"804,22",,,,,,"1.512,10",,,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"804,22",,,,,,,,,-,,,,,,,"804,22",,,,,,"1.512,10",,,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"804,22",,,,,,,,,-,,,,,,,"804,22",,,,,,"1.512,10",,,,,,,,,,
AIQUARA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"329.639,55",,,,,,,,,"180.575,23",,,,,,,"510.214,78",,,,,,"1.017.980,62",,,,,,,,,,
ALCOBACA-BA,,,,,BA,,,,"867,84",,,,,,,,,-,,,,,,,"867,84",,,,,,"1.630,97",,,,,,,,,,
ALMADINA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"1.020,32",,,,,,,,,-,,,,,,,"1.020,32",,,,,,"1.919,18",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"902,81",,,,,,,,,-,,,,,,,"902,81",,,,,,"1.696,72",,,,,,,,,,
ANAGE-BA,,,,,BA,,,,"937,78",,,,,,,,,-,,,,,,,"937,78",,,,,,"1.762,47",,,,,,,,,,
ANGUERA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
ANTAS-BA,,,,,BA,,,,"845,49",,,,,,,,,-,,,,,,,"845,49",,,,,,"1.590,45",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"775,56",,,,,,,,,-,,,,,,,"775,56",,,,,,"1.458,98",,,,,,,,,,
APORA-BA,,,,,BA,,,,"839,19",,,,,,,,,-,,,,,,,"839,19",,,,,,"1.577,85",,,,,,,,,,
APUAREMA-BA,,,,,BA,,,,"699,32",,,,,,,,,-,,,,,,,"699,32",,,,,,"1.314,87",,,,,,,,,,
ARACAS-BA,,,,,BA,,,,"300.172,72",,,,,,,,,"154.440,80",,,,,,,"454.613,52",,,,,,"890.899,96",,,,,,,,,,
ARACI-BA,,,,,BA,,,,"1.125,22",,,,,,,,,-,,,,,,,"1.125,22",,,,,,"2.116,41",,,,,,,,,,
ARAMARI-BA,,,,,BA,,,,"2.901,31",,,,,,,,,"924,83",,,,,,,"3.826,14",,,,,,"7.497,11",,,,,,,,,,
ARATACA-BA,,,,,BA,,,,"734,29",,,,,,,,,-,,,,,,,"734,29",,,,,,"1.380,62",,,,,,,,,,
