ANADIA,,,AL,,,,,"684,59",,,,,,-,,,,,,"684,59",,,,,,"4.889,55",,,,,,,,,,
ATALAIA,,,AL,,,,,"884,27",,,,,,-,,,,,,"884,27",,,,,,"6.315,69",,,,,,,,,,
BARRA DE SANTO ANTONIO,,,AL,,,,,"599,02",,,,,,-,,,,,,"599,02",,,,,,"4.278,36",,,,,,,,,,
BARRA DE SAO MIGUEL,,,AL,,,,,"570,49",,,,,,-,,,,,,"570,49",,,,,,"4.074,62",,,,,,,,,,
BOCA DA MATA,,,AL,,,,,"770,17",,,,,,-,,,,,,"770,17",,,,,,"5.500,76",,,,,,,,,,
BRANQUINHA,,,AL,,,,,"599,02",,,,,,-,,,,,,"599,02",,,,,,"4.278,36",,,,,,,,,,
CAJUEIRO,,,AL,,,,,"713,11",,,,,,-,,,,,,"713,11",,,,,,"5.093,29",,,,,,,,,,
CAMPESTRE,,,AL,,,,,"570,49",,,,,,-,,,,,,"570,49",,,,,,"4.074,62",,,,,,,,,,
CAMPO ALEGRE,,,AL,,,,,"884,27",,,,,,-,,,,,,"884,27",,,,,,"6.315,69",,,,,,,,,,
CAPELA,,,AL,,,,,"713,11",,,,,,-,,,,,,"713,11",,,,,,"5.093,29",,,,,,,,,,
CHA PRETA,,,AL,,,,,"570,49",,,,,,-,,,,,,"570,49",,,,,,"4.074,62",,,,,,,,,,
COLONIA LEOPOLDINA,,,AL,,,,,"684,59",,,,,,-,,,,,,"684,59",,,,,,"4.889,55",,,,,,,,,,
COQUEIRO SECO,,,AL,,,,,"741,50",,,,,,"110,30",,,,,,"851,80",,,,,,"5.896,44",,,,,,,,,,
CORURIPE,,,AL,,,,,"702.819,41",,,,,,"32.397,93",,,,,,"735.217,34",,,,,,"7.132.911,49",,,,,,,,,,
FELIZ DESERTO,,,AL,,,,,"20.324,13",,,,,,"28.402,97",,,,,,"48.727,10",,,,,,"348.021,20",,,,,,,,,,
FLEXEIRAS,,,AL,,,,,"627,55",,,,,,-,,,,,,"627,55",,,,,,"4.482,09",,,,,,,,,,
IBATEGUARA,,,AL,,,,,"656,06",,,,,,-,,,,,,"656,06",,,,,,"4.685,82",,,,,,,,,,
IGREJA NOVA,,,AL,,,,,"741,64",,,,,,-,,,,,,"741,64",,,,,,"5.297,03",,,,,,,,,,
JACUIPE,,,AL,,,,,"570,49",,,,,,-,,,,,,"570,49",,,,,,"4.074,62",,,,,,,,,,
JAPARATINGA,,,AL,,,,,"570,49",,,,,,-,,,,,,"570,49",,,,,,"4.074,62",,,,,,,,,,
JEQUIA DA PRAIA,,,AL,,,,,"627,55",,,,,,-,,,,,,"627,55",,,,,,"4.482,09",,,,,,,,,,
JOAQUIM GOMES,,,AL,,,,,"741,64",,,,,,-,,,,,,"741,64",,,,,,"5.297,03",,,,,,,,,,
JUNDIA,,,AL,,,,,"570,49",,,,,,-,,,,,,"570,49",,,,,,"4.074,62",,,,,,,,,,
JUNQUEIRO,,,AL,,,,,"741,64",,,,,,-,,,,,,"741,64",,,,,,"5.297,03",,,,,,,,,,
