ANADIA-AL,,,,,,,AL,,"544,87",,,,,,-,,,,,"544,87",,,,,,"544,87",,,,,,,,
ATALAIA-AL,,,,,,,AL,,"703,80",,,,,,-,,,,,"703,80",,,,,,"703,80",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,"522,17",,,,,,-,,,,,"522,17",,,,,,"522,17",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
BOCA DA MATA-AL,,,,,,,AL,,"612,98",,,,,,-,,,,,"612,98",,,,,,"612,98",,,,,,,,
BRANQUINHA-AL,,,,,,,AL,,"476,76",,,,,,-,,,,,"476,76",,,,,,"476,76",,,,,,,,
CAJUEIRO-AL,,,,,,,AL,,"590,28",,,,,,-,,,,,"590,28",,,,,,"590,28",,,,,,,,
CAMPESTRE-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,"726,50",,,,,,-,,,,,"726,50",,,,,,"726,50",,,,,,,,
CAPELA-AL,,,,,,,AL,,"544,87",,,,,,-,,,,,"544,87",,,,,,"544,87",,,,,,,,
CHA PRETA-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,"590,28",,,,,,-,,,,,"590,28",,,,,,"590,28",,,,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,"80.005,01",,,,,,"364,77",,,,,"80.369,78",,,,,,"80.369,78",,,,,,,,
CORURIPE-AL,,,,,,,AL,,"1.628.884,27",,,,,,"49.937,88",,,,,"1.678.822,15",,,,,,"1.678.822,15",,,,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,"16.424,95",,,,,,"22.953,88",,,,,"39.378,83",,,,,,"39.378,83",,,,,,,,
FLEXEIRAS-AL,,,,,,,AL,,"499,47",,,,,,-,,,,,"499,47",,,,,,"499,47",,,,,,,,
IBATEGUARA-AL,,,,,,,AL,,"522,17",,,,,,-,,,,,"522,17",,,,,,"522,17",,,,,,,,
IGREJA NOVA-AL,,,,,,,AL,,"590,28",,,,,,-,,,,,"590,28",,,,,,"590,28",,,,,,,,
JACUIPE-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
JAPARATINGA-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,AL,,"1.118,28",,,,,,"259,90",,,,,"1.378,18",,,,,,"1.378,18",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,AL,,"590,28",,,,,,-,,,,,"590,28",,,,,,"590,28",,,,,,,,
JUNDIA-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
JUNQUEIRO-AL,,,,,,,AL,,"590,28",,,,,,-,,,,,"590,28",,,,,,"590,28",,,,,,,,
MACEIO-AL,,,,,,,AL,,"63.602,19",,,,,,"18.803,55",,,,,"82.405,74",,,,,,"82.405,74",,,,,,,,
MARAGOGI-AL,,,,,,,AL,,"635,69",,,,,,-,,,,,"635,69",,,,,,"635,69",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,AL,,"1.097.188,59",,,,,,"35.303,88",,,,,"1.132.492,47",,,,,,"1.132.492,47",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,AL,,"590,28",,,,,,-,,,,,"590,28",,,,,,"590,28",,,,,,,,
MESSIAS-AL,,,,,,,AL,,"522,17",,,,,,-,,,,,"522,17",,,,,,"522,17",,,,,,,,
MURICI-AL,,,,,,,AL,,"612,98",,,,,,-,,,,,"612,98",,,,,,"612,98",,,,,,,,
NOVO LINO-AL,,,,,,,AL,,"499,47",,,,,,-,,,,,"499,47",,,,,,"499,47",,,,,,,,
PARIPUEIRA-AL,,,,,,,AL,,"476,76",,,,,,"5.756,23",,,,,"6.232,99",,,,,,"6.232,99",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,AL,,"522,17",,,,,,-,,,,,"522,17",,,,,,"522,17",,,,,,,,
PENEDO-AL,,,,,,,AL,,"336.125,57",,,,,,"6,31",,,,,"336.131,88",,,,,,"336.131,88",,,,,,,,
PIACABUCU-AL,,,,,,,AL,,"544,87",,,,,,-,,,,,"544,87",,,,,,"544,87",,,,,,,,
PILAR-AL,,,,,,,AL,,"173.607,80",,,,,,"98.672,68",,,,,"272.280,48",,,,,,"272.280,48",,,,,,,,
PINDOBA-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
PORTO CALVO-AL,,,,,,,AL,,"612,98",,,,,,-,,,,,"612,98",,,,,,"612,98",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,AL,,"567,58",,,,,,-,,,,,"567,58",,,,,,"567,58",,,,,,,,
RIO LARGO-AL,,,,,,,AL,,"336.946,30",,,,,,"1.068,44",,,,,"338.014,74",,,,,,"338.014,74",,,,,,,,
ROTEIRO-AL,,,,,,,AL,,"1.607.038,05",,,,,,"522,41",,,,,"1.607.560,46",,,,,,"1.607.560,46",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,AL,,"48.157,21",,,,,,"268,31",,,,,"48.425,52",,,,,,"48.425,52",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,AL,,"476,76",,,,,,-,,,,,"476,76",,,,,,"476,76",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,AL,,"590,28",,,,,,-,,,,,"590,28",,,,,,"590,28",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,AL,,"658,39",,,,,,-,,,,,"658,39",,,,,,"658,39",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,AL,,"525.167,96",,,,,,"145.595,29",,,,,"670.763,25",,,,,,"670.763,25",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,AL,,"454,06",,,,,,-,,,,,"454,06",,,,,,"454,06",,,,,,,,
SATUBA-AL,,,,,,,AL,,"12.195,08",,,,,,"7.529,03",,,,,"19.724,11",,,,,,"19.724,11",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,AL,,"703,80",,,,,,-,,,,,"703,80",,,,,,"703,80",,,,,,,,
