PORTO CALVO-AL,,,,,,,,AL,,,"479,39",,,,,,,-,,,,,,,,"479,39",,,,,,,"2.042,20",,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"355,10",,,,,,,-,,,,,,,,"355,10",,,,,,,"1.512,74",,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"443,88",,,,,,,-,,,,,,,,"443,88",,,,,,,"1.890,94",,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"233.097,28",,,,,,,"1.279,27",,,,,,,,"234.376,55",,,,,,,"925.355,22",,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"1.186.108,77",,,,,,,"308,34",,,,,,,,"1.186.417,11",,,,,,,"4.986.231,53",,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"36.121,43",,,,,,,"112,46",,,,,,,,"36.233,89",,,,,,,"159.250,85",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"372,85",,,,,,,-,,,,,,,,"372,85",,,,,,,"1.588,36",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"461,63",,,,,,,-,,,,,,,,"461,63",,,,,,,"1.966,56",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"514,90",,,,,,,-,,,,,,,,"514,90",,,,,,,"2.193,48",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,,"408.493,49",,,,,,,"125.980,06",,,,,,,,"534.473,55",,,,,,,"2.317.388,48",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,,"355,10",,,,,,,-,,,,,,,,"355,10",,,,,,,"1.512,74",,,,,,,,,
SATUBA-AL,,,,,,,,AL,,,"17.506,66",,,,,,,"11.028,40",,,,,,,,"28.535,06",,,,,,,"77.994,32",,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,,"550,41",,,,,,,-,,,,,,,,"550,41",,,,,,,"2.344,76",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,,"585,92",,,,,,,-,,,,,,,,"585,92",,,,,,,"2.496,03",,,,,,,,,
VICOSA-AL,,,,,,,,AL,,,"479,39",,,,,,,-,,,,,,,,"479,39",,,,,,,"2.042,20",,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"4.399.400,99",,,,,,,"321.638,81",,,,,,,,"4.721.039,80",,,,,,,"19.983.562,92",,,,,,,,,
ANAMA-AM,,,,,,,,AM,,,"36.119,54",,,,,,,"1.849,19",,,,,,,,"37.968,73",,,,,,,"165.201,93",,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANORI-AM,,,,,,,,AM,,,"36.393,26",,,,,,,"1.961,63",,,,,,,,"38.354,89",,,,,,,"165.957,31",,,,,,,,,
AUTAZES-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
BERURI-AM,,,,,,,,AM,,,-,,,,,,,"1.666,62",,,,,,,,"1.666,62",,,,,,,"7.078,67",,,,,,,,,
CAAPIRANGA-AM,,,,,,,,AM,,,"35.819,11",,,,,,,"166,89",,,,,,,,"35.986,00",,,,,,,"157.796,16",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
CAREIRO-AM,,,,,,,,AM,,,-,,,,,,,"1.666,62",,,,,,,,"1.666,62",,,,,,,"7.078,67",,,,,,,,,
COARI-AM,,,,,,,,AM,,,"1.914.503,33",,,,,,,"1.731.942,27",,,,,,,,"3.646.445,60",,,,,,,"15.669.421,52",,,,,,,,,
CODAJAS-AM,,,,,,,,AM,,,"35.091,20",,,,,,,"2.079,11",,,,,,,,"37.170,31",,,,,,,"164.577,83",,,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,,-,,,,,,,"1.666,62",,,,,,,,"1.666,62",,,,,,,"7.078,67",,,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,,-,,,,,,,"1.666,62",,,,,,,,"1.666,62",,,,,,,"7.078,67",,,,,,,,,
MANAUS-AM,,,,,,,,AM,,,"224.510,08",,,,,,,"162.919,09",,,,,,,,"387.429,17",,,,,,,"1.872.303,78",,,,,,,,,
PARINTINS-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
SILVES-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
TEFE-AM,,,,,,,,AM,,,"131.019,05",,,,,,,"61.430,02",,,,,,,,"192.449,07",,,,,,,"856.665,49",,,,,,,,,
URUCARA-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
URUCURITUBA-AM,,,,,,,,AM,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,,"2.413.455,57",,,,,,,"2.014.142,75",,,,,,,,"4.427.598,32",,,,,,,"19.297.867,07",,,,,,,,,
LARANJAL DO JARI-AP,,,,,,,,AP,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
MACAPA-AP,,,,,,,,AP,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
MAZAGAO-AP,,,,,,,,AP,,,-,,,,,,,"5.014,23",,,,,,,,"5.014,23",,,,,,,"24.180,93",,,,,,,,,
AMAPA  TOTAL,,,,,,,,,,,-,,,,,,,"15.042,69",,,,,,,,"15.042,69",,,,,,,"72.542,79",,,,,,,,,
ACAJUTIBA-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
ADUSTINA-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
AGUA FRIA-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
AIQUARA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
ALAGOINHAS-BA,,,,,,,,BA,,,"249.679,77",,,,,,,"164.407,28",,,,,,,,"414.087,05",,,,,,,"1.833.926,57",,,,,,,,,
ALCOBACA-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
ALMADINA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
AMARGOSA-BA,,,,,,,,BA,,,"1.551,56",,,,,,,-,,,,,,,,"1.551,56",,,,,,,"6.743,43",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,,,,BA,,,"1.444,55",,,,,,,-,,,,,,,,"1.444,55",,,,,,,"6.278,36",,,,,,,,,
ANAGE-BA,,,,,,,,BA,,,"1.444,55",,,,,,,-,,,,,,,,"1.444,55",,,,,,,"6.278,36",,,,,,,,,
ANGUERA-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
ANTAS-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
APORA-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
APUAREMA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
ARACAS-BA,,,,,,,,BA,,,"312.317,82",,,,,,,"185.355,22",,,,,,,,"497.673,04",,,,,,,"2.233.558,18",,,,,,,,,
ARACI-BA,,,,,,,,BA,,,"1.712,06",,,,,,,-,,,,,,,,"1.712,06",,,,,,,"7.441,01",,,,,,,,,
ARAMARI-BA,,,,,,,,BA,,,"2.022,84",,,,,,,"377,70",,,,,,,,"2.400,54",,,,,,,"12.071,45",,,,,,,,,
ARATACA-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
ARATUIPE-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
AURELINO LEAL-BA,,,,,,,,BA,,,"1.177,04",,,,,,,-,,,,,,,,"1.177,04",,,,,,,"5.115,69",,,,,,,,,
BAIXA GRANDE-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
BANZAE-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
BARRA DO CHOCA-BA,,,,,,,,BA,,,"1.551,56",,,,,,,-,,,,,,,,"1.551,56",,,,,,,"6.743,43",,,,,,,,,
BARRA DO ROCHA-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
BARRO PRETO-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
BARROCAS-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
BELMONTE-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
BELO CAMPO-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
BIRITINGA-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
BOA NOVA-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREJOES-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
BUERAREMA-BA,,,,,,,,BA,,,"1.337,55",,,,,,,-,,,,,,,,"1.337,55",,,,,,,"5.813,29",,,,,,,,,
CAATIBA-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,,,,BA,,,"1.284,05",,,,,,,-,,,,,,,,"1.284,05",,,,,,,"5.580,76",,,,,,,,,
CACHOEIRA-BA,,,,,,,,BA,,,"1.551,56",,,,,,,-,,,,,,,,"1.551,56",,,,,,,"6.743,43",,,,,,,,,
CAEM-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
CAETANOS-BA,,,,,,,,BA,,,"1.177,04",,,,,,,-,,,,,,,,"1.177,04",,,,,,,"5.115,69",,,,,,,,,
CAIRU-BA,,,,,,,,BA,,,"36.965,05",,,,,,,"426.461,01",,,,,,,,"463.426,06",,,,,,,"2.013.731,63",,,,,,,,,
CAMACAN-BA,,,,,,,,BA,,,"1.498,05",,,,,,,-,,,,,,,,"1.498,05",,,,,,,"6.510,89",,,,,,,,,
CAMACARI-BA,,,,,,,,BA,,,"229.109,36",,,,,,,"150.942,45",,,,,,,,"380.051,81",,,,,,,"1.765.402,34",,,,,,,,,
CAMAMU-BA,,,,,,,,BA,,,"1.551,56",,,,,,,-,,,,,,,,"1.551,56",,,,,,,"6.743,43",,,,,,,,,
CANAVIEIRAS-BA,,,,,,,,BA,,,"1.551,56",,,,,,,-,,,,,,,,"1.551,56",,,,,,,"6.743,43",,,,,,,,,
CANDEAL-BA,,,,,,,,BA,,,"1.070,04",,,,,,,-,,,,,,,,"1.070,04",,,,,,,"4.650,63",,,,,,,,,
CANDEIAS-BA,,,,,,,,BA,,,"355.644,10",,,,,,,"112.539,92",,,,,,,,"468.184,02",,,,,,,"2.784.316,29",,,,,,,,,
CANDIDO SALES-BA,,,,,,,,BA,,,"1.444,55",,,,,,,-,,,,,,,,"1.444,55",,,,,,,"6.278,36",,,,,,,,,
CANSANCAO-BA,,,,,,,,BA,,,"1.551,56",,,,,,,-,,,,,,,,"1.551,56",,,,,,,"6.743,43",,,,,,,,,
CANUDOS-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,,,,BA,,,"1.123,54",,,,,,,-,,,,,,,,"1.123,54",,,,,,,"4.883,16",,,,,,,,,
CAPIM GROSSO-BA,,,,,,,,BA,,,"1.444,55",,,,,,,-,,,,,,,,"1.444,55",,,,,,,"6.278,36",,,,,,,,,
CARAVELAS-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
CARDEAL DA SILVA-BA,,,,,,,,BA,,,"71.746,96",,,,,,,"23.618,95",,,,,,,,"95.365,91",,,,,,,"424.395,51",,,,,,,,,
CASTRO ALVES-BA,,,,,,,,BA,,,"1.444,55",,,,,,,-,,,,,,,,"1.444,55",,,,,,,"6.278,36",,,,,,,,,
CATU-BA,,,,,,,,BA,,,"198.170,90",,,,,,,"94.939,60",,,,,,,,"293.110,50",,,,,,,"1.244.115,06",,,,,,,,,
CICERO DANTAS-BA,,,,,,,,BA,,,"1.551,56",,,,,,,-,,,,,,,,"1.551,56",,,,,,,"6.743,43",,,,,,,,,
CIPO-BA,,,,,,,,BA,,,"1.230,54",,,,,,,-,,,,,,,,"1.230,54",,,,,,,"5.348,22",,,,,,,,,
COARACI-BA,,,,,,,,BA,,,"1.391,05",,,,,,,-,,,,,,,,"1.391,05",,,,,,,"6.045,83",,,,,,,,,
