ANADIA,,,,,AL,,,"628,53",,,,,-,,,,,,,"628,53",,,,,,,"6.094,70",,,,,,,,
ATALAIA,,,,,AL,,,"811,86",,,,,-,,,,,,,"811,86",,,,,,,"7.872,35",,,,,,,,
BARRA DE SANTO ANTONIO,,,,,AL,,,"549,97",,,,,-,,,,,,,"549,97",,,,,,,"5.332,87",,,,,,,,
BARRA DE SAO MIGUEL,,,,,AL,,,"523,78",,,,,-,,,,,,,"523,78",,,,,,,"5.078,91",,,,,,,,
BOCA DA MATA,,,,,AL,,,"707,10",,,,,-,,,,,,,"707,10",,,,,,,"6.856,56",,,,,,,,
BRANQUINHA,,,,,AL,,,"549,97",,,,,-,,,,,,,"549,97",,,,,,,"5.332,87",,,,,,,,
CAJUEIRO,,,,,AL,,,"654,72",,,,,-,,,,,,,"654,72",,,,,,,"6.348,65",,,,,,,,
CAMPESTRE,,,,,AL,,,"523,78",,,,,-,,,,,,,"523,78",,,,,,,"5.078,91",,,,,,,,
CAMPO ALEGRE,,,,,AL,,,"811,86",,,,,-,,,,,,,"811,86",,,,,,,"7.872,35",,,,,,,,
CAPELA,,,,,AL,,,"654,72",,,,,-,,,,,,,"654,72",,,,,,,"6.348,65",,,,,,,,
CHA PRETA,,,,,AL,,,"523,78",,,,,-,,,,,,,"523,78",,,,,,,"5.078,91",,,,,,,,
COLONIA LEOPOLDINA,,,,,AL,,,"628,53",,,,,-,,,,,,,"628,53",,,,,,,"6.094,70",,,,,,,,
COQUEIRO SECO,,,,,AL,,,"774,89",,,,,"161,97",,,,,,,"936,86",,,,,,,"7.598,15",,,,,,,,
CORURIPE,,,,,AL,,,"872.275,99",,,,,"31.169,13",,,,,,,"903.445,12",,,,,,,"8.882.231,52",,,,,,,,
FELIZ DESERTO,,,,,AL,,,"18.659,70",,,,,"26.076,93",,,,,,,"44.736,63",,,,,,,"433.799,44",,,,,,,,
FLEXEIRAS,,,,,AL,,,"576,15",,,,,-,,,,,,,"576,15",,,,,,,"5.586,81",,,,,,,,
IBATEGUARA,,,,,AL,,,"602,34",,,,,-,,,,,,,"602,34",,,,,,,"5.840,75",,,,,,,,
IGREJA NOVA,,,,,AL,,,"680,91",,,,,-,,,,,,,"680,91",,,,,,,"6.602,61",,,,,,,,
JACUIPE,,,,,AL,,,"523,78",,,,,-,,,,,,,"523,78",,,,,,,"5.078,91",,,,,,,,
JAPARATINGA,,,,,AL,,,"523,78",,,,,-,,,,,,,"523,78",,,,,,,"5.078,91",,,,,,,,
JEQUIA DA PRAIA,,,,,AL,,,"576,15",,,,,-,,,,,,,"576,15",,,,,,,"5.586,81",,,,,,,,
JOAQUIM GOMES,,,,,AL,,,"680,91",,,,,-,,,,,,,"680,91",,,,,,,"6.602,61",,,,,,,,
JUNDIA,,,,,AL,,,"523,78",,,,,-,,,,,,,"523,78",,,,,,,"5.078,91",,,,,,,,
JUNQUEIRO,,,,,AL,,,"680,91",,,,,-,,,,,,,"680,91",,,,,,,"6.602,61",,,,,,,,
MACEIO,,,,,AL,,,"66.643,44",,,,,"13.704,64",,,,,,,"80.348,08",,,,,,,"769.502,76",,,,,,,,
MARAGOGI,,,,,AL,,,"680,91",,,,,-,,,,,,,"680,91",,,,,,,"6.602,61",,,,,,,,
