ANADIA-AL,,,,,,,,,,AL,,"645,10",,,,,,,-,,,,,,,,"645,10",,,,,,,"8.872,09",,,,,,,,
ATALAIA-AL,,,,,,,,,,AL,,"833,26",,,,,,,-,,,,,,,,"833,26",,,,,,,"11.459,81",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,,AL,,"618,22",,,,,,,-,,,,,,,,"618,22",,,,,,,"8.502,42",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
BOCA DA MATA-AL,,,,,,,,,,AL,,"725,74",,,,,,,-,,,,,,,,"725,74",,,,,,,"9.981,10",,,,,,,,
BRANQUINHA-AL,,,,,,,,,,AL,,"564,46",,,,,,,-,,,,,,,,"564,46",,,,,,,"7.763,08",,,,,,,,
CAJUEIRO-AL,,,,,,,,,,AL,,"698,86",,,,,,,-,,,,,,,,"698,86",,,,,,,"9.611,44",,,,,,,,
CAMPESTRE-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,,AL,,"860,14",,,,,,,-,,,,,,,,"860,14",,,,,,,"11.829,47",,,,,,,,
CAPELA-AL,,,,,,,,,,AL,,"645,10",,,,,,,-,,,,,,,,"645,10",,,,,,,"8.872,09",,,,,,,,
CHA PRETA-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,,AL,,"698,86",,,,,,,-,,,,,,,,"698,86",,,,,,,"9.611,44",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,,AL,,"89.237,64",,,,,,,"384,78",,,,,,,,"89.622,42",,,,,,,"1.164.200,08",,,,,,,,
CORURIPE-AL,,,,,,,,,,AL,,"2.051.249,89",,,,,,,"61.281,56",,,,,,,,"2.112.531,45",,,,,,,"26.605.425,82",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,,AL,,"19.446,28",,,,,,,"27.176,18",,,,,,,,"46.622,46",,,,,,,"641.197,62",,,,,,,,
FLEXEIRAS-AL,,,,,,,,,,AL,,"591,34",,,,,,,-,,,,,,,,"591,34",,,,,,,"8.132,76",,,,,,,,
IBATEGUARA-AL,,,,,,,,,,AL,,"618,22",,,,,,,-,,,,,,,,"618,22",,,,,,,"8.502,42",,,,,,,,
IGREJA NOVA-AL,,,,,,,,,,AL,,"698,86",,,,,,,-,,,,,,,,"698,86",,,,,,,"9.611,44",,,,,,,,
JACUIPE-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
JAPARATINGA-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,,AL,,"1.315,31",,,,,,,"304,07",,,,,,,,"1.619,38",,,,,,,"30.566,71",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,,AL,,"698,86",,,,,,,-,,,,,,,,"698,86",,,,,,,"9.611,44",,,,,,,,
JUNDIA-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
JUNQUEIRO-AL,,,,,,,,,,AL,,"698,86",,,,,,,-,,,,,,,,"698,86",,,,,,,"9.611,44",,,,,,,,
MACEIO-AL,,,,,,,,,,AL,,"73.493,40",,,,,,,"18.097,14",,,,,,,,"91.590,54",,,,,,,"1.208.408,36",,,,,,,,
MARAGOGI-AL,,,,,,,,,,AL,,"752,62",,,,,,,-,,,,,,,,"752,62",,,,,,,"10.350,79",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,,AL,,"1.270.650,39",,,,,,,"33.326,39",,,,,,,,"1.303.976,78",,,,,,,"4.992.002,68",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,,AL,,"698,86",,,,,,,-,,,,,,,,"698,86",,,,,,,"9.611,44",,,,,,,,
MESSIAS-AL,,,,,,,,,,AL,,"618,22",,,,,,,-,,,,,,,,"618,22",,,,,,,"8.502,42",,,,,,,,
MURICI-AL,,,,,,,,,,AL,,"725,74",,,,,,,-,,,,,,,,"725,74",,,,,,,"9.981,10",,,,,,,,
NOVO LINO-AL,,,,,,,,,,AL,,"591,34",,,,,,,-,,,,,,,,"591,34",,,,,,,"8.132,76",,,,,,,,
PARIPUEIRA-AL,,,,,,,,,,AL,,"564,46",,,,,,,"4.861,47",,,,,,,,"5.425,93",,,,,,,"100.009,31",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,,AL,,"618,22",,,,,,,-,,,,,,,,"618,22",,,,,,,"8.502,42",,,,,,,,
PENEDO-AL,,,,,,,,,,AL,,"415.498,92",,,,,,,"1,98",,,,,,,,"415.500,90",,,,,,,"4.853.031,29",,,,,,,,
PIACABUCU-AL,,,,,,,,,,AL,,"645,10",,,,,,,-,,,,,,,,"645,10",,,,,,,"8.872,09",,,,,,,,
PILAR-AL,,,,,,,,,,AL,,"200.815,31",,,,,,,"110.127,18",,,,,,,,"310.942,49",,,,,,,"4.099.894,39",,,,,,,,
PINDOBA-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
PORTO CALVO-AL,,,,,,,,,,AL,,"725,74",,,,,,,-,,,,,,,,"725,74",,,,,,,"9.981,10",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,,AL,,"671,98",,,,,,,-,,,,,,,,"671,98",,,,,,,"9.241,77",,,,,,,,
RIO LARGO-AL,,,,,,,,,,AL,,"416.430,10",,,,,,,"846,54",,,,,,,,"417.276,64",,,,,,,"4.927.971,51",,,,,,,,
ROTEIRO-AL,,,,,,,,,,AL,,"1.992.863,89",,,,,,,"563,18",,,,,,,,"1.993.427,07",,,,,,,"25.304.614,50",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,,AL,,"57.463,38",,,,,,,"317,68",,,,,,,,"57.781,06",,,,,,,"418.895,58",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,,AL,,"564,46",,,,,,,-,,,,,,,,"564,46",,,,,,,"7.763,08",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,,AL,,"698,86",,,,,,,-,,,,,,,,"698,86",,,,,,,"9.611,44",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,,AL,,"779,50",,,,,,,-,,,,,,,,"779,50",,,,,,,"10.720,46",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,,AL,,"263.234,74",,,,,,,"159.729,83",,,,,,,,"422.964,57",,,,,,,"6.439.193,87",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,,AL,,"537,59",,,,,,,-,,,,,,,,"537,59",,,,,,,"7.393,42",,,,,,,,
SATUBA-AL,,,,,,,,,,AL,,"12.436,78",,,,,,,"7.622,97",,,,,,,,"20.059,75",,,,,,,"180.218,66",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,,AL,,"833,26",,,,,,,-,,,,,,,,"833,26",,,,,,,"11.459,81",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,,AL,,"887,02",,,,,,,-,,,,,,,,"887,02",,,,,,,"12.199,16",,,,,,,,
