ANADIA-AL,,,,,,,,AL,,"713,88",,,,,,-,,,,,,,,"713,88",,,,,,,,"4.869,59",,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"951,84",,,,,,-,,,,,,,,"951,84",,,,,,,,"6.492,79",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"654,39",,,,,,-,,,,,,,,"654,39",,,,,,,,"4.463,79",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"594,90",,,,,,-,,,,,,,,"594,90",,,,,,,,"4.058,00",,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"803,12",,,,,,-,,,,,,,,"803,12",,,,,,,,"5.478,29",,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"624,65",,,,,,-,,,,,,,,"624,65",,,,,,,,"4.260,89",,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"773,37",,,,,,-,,,,,,,,"773,37",,,,,,,,"5.275,38",,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"594,90",,,,,,-,,,,,,,,"594,90",,,,,,,,"4.058,00",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"922,10",,,,,,-,,,,,,,,"922,10",,,,,,,,"6.289,90",,,,,,,,
CAPELA-AL,,,,,,,,AL,,"713,88",,,,,,-,,,,,,,,"713,88",,,,,,,,"4.869,59",,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"594,90",,,,,,-,,,,,,,,"594,90",,,,,,,,"4.058,00",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"743,63",,,,,,-,,,,,,,,"743,63",,,,,,,,"5.072,50",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"693,77",,,,,,"63,77",,,,,,,,"757,54",,,,,,,,"5.637,49",,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"770.982,44",,,,,,"49.062,10",,,,,,,,"820.044,54",,,,,,,,"4.572.317,99",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"21.382,27",,,,,,"29.881,73",,,,,,,,"51.264,00",,,,,,,,"349.686,11",,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"624,65",,,,,,-,,,,,,,,"624,65",,,,,,,,"4.260,89",,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"684,14",,,,,,-,,,,,,,,"684,14",,,,,,,,"4.666,70",,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"773,37",,,,,,-,,,,,,,,"773,37",,,,,,,,"5.275,38",,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"594,90",,,,,,-,,,,,,,,"594,90",,,,,,,,"4.058,00",,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"594,90",,,,,,-,,,,,,,,"594,90",,,,,,,,"4.058,00",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"624,65",,,,,,-,,,,,,,,"624,65",,,,,,,,"54.215,60",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"773,37",,,,,,-,,,,,,,,"773,37",,,,,,,,"5.275,38",,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"595,60",,,,,,-,,,,,,,,"595,60",,,,,,,,"4.080,48",,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"803,12",,,,,,-,,,,,,,,"803,12",,,,,,,,"5.478,29",,,,,,,,
MACEIO-AL,,,,,,,,AL,,"56.699,44",,,,,,"14.632,43",,,,,,,,"71.331,87",,,,,,,,"418.375,36",,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"803,12",,,,,,-,,,,,,,,"803,12",,,,,,,,"5.478,29",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"68.698,33",,,,,,"64.711,32",,,,,,,,"133.409,65",,,,,,,,"756.949,73",,,,,,,,
