ANADIA-AL,,,,,,,,AL,,,"631,53",,,,,,-,,,,,,,"631,53",,,,,,"5.206,50",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"842,04",,,,,,-,,,,,,,"842,04",,,,,,"6.942,01",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"578,90",,,,,,-,,,,,,,"578,90",,,,,,"4.772,62",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"526,27",,,,,,-,,,,,,,"526,27",,,,,,"4.338,75",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"710,47",,,,,,-,,,,,,,"710,47",,,,,,"5.857,33",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"552,59",,,,,,-,,,,,,,"552,59",,,,,,"4.555,68",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"684,16",,,,,,-,,,,,,,"684,16",,,,,,"5.640,39",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"526,27",,,,,,-,,,,,,,"526,27",,,,,,"4.338,75",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"815,73",,,,,,-,,,,,,,"815,73",,,,,,"6.725,09",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"631,53",,,,,,-,,,,,,,"631,53",,,,,,"5.206,50",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"526,27",,,,,,-,,,,,,,"526,27",,,,,,"4.338,75",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"657,84",,,,,,-,,,,,,,"657,84",,,,,,"5.423,45",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"58.282,50",,,,,,"193,90",,,,,,,"58.476,40",,,,,,"362.815,62",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"1.214.182,19",,,,,,"52.013,58",,,,,,,"1.266.195,77",,,,,,"10.777.198,64",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"18.915,62",,,,,,"26.434,59",,,,,,,"45.350,21",,,,,,"373.880,30",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"552,59",,,,,,-,,,,,,,"552,59",,,,,,"4.555,68",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"605,21",,,,,,-,,,,,,,"605,21",,,,,,"4.989,56",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"684,16",,,,,,-,,,,,,,"684,16",,,,,,"5.640,39",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"526,27",,,,,,-,,,,,,,"526,27",,,,,,"4.338,75",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"526,27",,,,,,-,,,,,,,"526,27",,,,,,"4.338,75",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"552,59",,,,,,-,,,,,,,"552,59",,,,,,"10.744,03",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"684,16",,,,,,-,,,,,,,"684,16",,,,,,"5.640,39",,,,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"534,57",,,,,,-,,,,,,,"534,57",,,,,,"4.347,19",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"710,47",,,,,,-,,,,,,,"710,47",,,,,,"5.857,33",,,,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"69.144,56",,,,,,"17.115,87",,,,,,,"86.260,43",,,,,,"715.648,03",,,,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"710,47",,,,,,-,,,,,,,"710,47",,,,,,"5.857,33",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"88.207,26",,,,,,"81.158,40",,,,,,,"169.365,66",,,,,,"1.410.354,60",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"710,47",,,,,,-,,,,,,,"710,47",,,,,,"5.857,33",,,,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"605,21",,,,,,-,,,,,,,"605,21",,,,,,"4.989,56",,,,,,,,,,
MURICI-AL,,,,,,,,AL,,,"710,47",,,,,,-,,,,,,,"710,47",,,,,,"5.857,33",,,,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"552,59",,,,,,-,,,,,,,"552,59",,,,,,"4.555,68",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"526,27",,,,,,"6.818,30",,,,,,,"7.344,57",,,,,,"71.186,55",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"578,90",,,,,,-,,,,,,,"578,90",,,,,,"4.772,62",,,,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"891,84",,,,,,-,,,,,,,"891,84",,,,,,"1.322.307,29",,,,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"631,53",,,,,,-,,,,,,,"631,53",,,,,,"5.206,50",,,,,,,,,,
PILAR-AL,,,,,,,,AL,,,"127.779,06",,,,,,"81.942,27",,,,,,,"209.721,33",,,,,,"1.574.958,36",,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"526,27",,,,,,-,,,,,,,"526,27",,,,,,"4.338,75",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"710,47",,,,,,-,,,,,,,"710,47",,,,,,"5.857,33",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"552,59",,,,,,-,,,,,,,"552,59",,,,,,"4.555,68",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"631,53",,,,,,-,,,,,,,"631,53",,,,,,"5.206,50",,,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"11.420,41",,,,,,"6.784,11",,,,,,,"18.204,52",,,,,,"159.944,04",,,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"58.773,94",,,,,,"563,46",,,,,,,"59.337,40",,,,,,"375.238,72",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"534,57",,,,,,-,,,,,,,"534,57",,,,,,"5.530,20",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"552,59",,,,,,-,,,,,,,"552,59",,,,,,"4.555,68",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"684,16",,,,,,-,,,,,,,"684,16",,,,,,"5.640,39",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"736,78",,,,,,-,,,,,,,"736,78",,,,,,"6.074,26",,,,,,,,,,
