ANADIA-AL,,,,,,,,AL,,"868,40",,,,,,,,-,,,,,,"868,40",,,,,,,"9.061,41",,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"1.157,87",,,,,,,,-,,,,,,"1.157,87",,,,,,,"12.081,88",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"796,03",,,,,,,,-,,,,,,"796,03",,,,,,,"8.306,26",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"723,66",,,,,,,,-,,,,,,"723,66",,,,,,,"7.551,15",,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"976,95",,,,,,,,-,,,,,,"976,95",,,,,,,"10.194,10",,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"759,85",,,,,,,,-,,,,,,"759,85",,,,,,,"7.928,72",,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"940,76",,,,,,,,-,,,,,,"940,76",,,,,,,"9.816,51",,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"723,66",,,,,,,,-,,,,,,"723,66",,,,,,,"7.551,15",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"1.121,68",,,,,,,,-,,,,,,"1.121,68",,,,,,,"11.704,33",,,,,,,,
CAPELA-AL,,,,,,,,AL,,"868,40",,,,,,,,-,,,,,,"868,40",,,,,,,"9.061,41",,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"723,66",,,,,,,,-,,,,,,"723,66",,,,,,,"7.551,15",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"904,58",,,,,,,,-,,,,,,"904,58",,,,,,,"9.438,97",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"1.066,18",,,,,,,,"220,92",,,,,,"1.287,10",,,,,,,"20.814,07",,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"1.239.275,53",,,,,,,,"70.701,42",,,,,,"1.309.976,95",,,,,,,"12.122.130,41",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"26.010,33",,,,,,,,"36.349,44",,,,,,"62.359,77",,,,,,,"650.673,05",,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"759,85",,,,,,,,-,,,,,,"759,85",,,,,,,"7.928,72",,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"832,21",,,,,,,,-,,,,,,"832,21",,,,,,,"8.683,84",,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"940,76",,,,,,,,-,,,,,,"940,76",,,,,,,"9.816,51",,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"723,66",,,,,,,,-,,,,,,"723,66",,,,,,,"7.551,15",,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"723,66",,,,,,,,-,,,,,,"723,66",,,,,,,"7.551,15",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,"10.551,56",,,,,,,,"4.112,52",,,,,,"14.664,08",,,,,,,"148.971,09",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,"940,76",,,,,,,,-,,,,,,"940,76",,,,,,,"9.816,51",,,,,,,,
JUNDIA-AL,,,,,,,,AL,,"724,25",,,,,,,,-,,,,,,"724,25",,,,,,,"293.624,64",,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,"976,95",,,,,,,,-,,,,,,"976,95",,,,,,,"10.194,10",,,,,,,,
MACEIO-AL,,,,,,,,AL,,"93.862,70",,,,,,,,"24.034,35",,,,,,"117.897,05",,,,,,,"1.390.640,98",,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,"976,95",,,,,,,,-,,,,,,"976,95",,,,,,,"10.194,10",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,"110.650,12",,,,,,,,"102.113,64",,,,,,"212.763,76",,,,,,,"2.461.132,60",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,"976,95",,,,,,,,-,,,,,,"976,95",,,,,,,"10.194,10",,,,,,,,
MESSIAS-AL,,,,,,,,AL,,"832,21",,,,,,,,-,,,,,,"832,21",,,,,,,"8.683,84",,,,,,,,
MURICI-AL,,,,,,,,AL,,"976,95",,,,,,,,-,,,,,,"976,95",,,,,,,"10.194,10",,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,"759,85",,,,,,,,-,,,,,,"759,85",,,,,,,"7.928,72",,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,"723,66",,,,,,,,"9.446,44",,,,,,"10.170,10",,,,,,,"123.863,87",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,"796,03",,,,,,,,-,,,,,,"796,03",,,,,,,"8.306,26",,,,,,,,
PENEDO-AL,,,,,,,,AL,,"719.013,87",,,,,,,,-,,,,,,"719.013,87",,,,,,,"3.572.013,41",,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,"868,40",,,,,,,,-,,,,,,"868,40",,,,,,,"9.061,41",,,,,,,,
PILAR-AL,,,,,,,,AL,,"176.923,09",,,,,,,,"113.461,92",,,,,,"290.385,01",,,,,,,"3.439.196,09",,,,,,,,
PINDOBA-AL,,,,,,,,AL,,"723,66",,,,,,,,-,,,,,,"723,66",,,,,,,"7.551,15",,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,"976,95",,,,,,,,-,,,,,,"976,95",,,,,,,"10.194,10",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,"759,85",,,,,,,,-,,,,,,"759,85",,,,,,,"7.928,72",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,"868,40",,,,,,,,-,,,,,,"868,40",,,,,,,"9.061,41",,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,"17.258,37",,,,,,,,"10.338,15",,,,,,"27.596,52",,,,,,,"400.818,09",,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,"760,28",,,,,,,,"23,62",,,,,,"783,90",,,,,,,"18.463,86",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,"51.523,34",,,,,,,,"653,30",,,,,,"52.176,64",,,,,,,"515.458,19",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,"759,85",,,,,,,,-,,,,,,"759,85",,,,,,,"7.928,72",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,"940,76",,,,,,,,-,,,,,,"940,76",,,,,,,"9.816,51",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,"1.013,13",,,,,,,,-,,,,,,"1.013,13",,,,,,,"10.571,64",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,"279.465,13",,,,,,,,"185.440,62",,,,,,"464.905,75",,,,,,,"6.603.009,02",,,,,,,,
