ANADIA-AL,,,,,,,,AL,,,"535,39",,,,,,,,-,,,,,,,,"535,39",,,,,,,"9.596,80",,,,,,,,
ATALAIA-AL,,,,,,,,AL,,,"713,85",,,,,,,,-,,,,,,,,"713,85",,,,,,,"12.795,73",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,,"490,77",,,,,,,,-,,,,,,,,"490,77",,,,,,,"8.797,03",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"7.997,31",,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,,"602,31",,,,,,,,-,,,,,,,,"602,31",,,,,,,"10.796,41",,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,,"468,46",,,,,,,,-,,,,,,,,"468,46",,,,,,,"8.397,18",,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,,"580,00",,,,,,,,-,,,,,,,,"580,00",,,,,,,"10.396,51",,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"7.997,31",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,,"691,54",,,,,,,,-,,,,,,,,"691,54",,,,,,,"12.395,87",,,,,,,,
CAPELA-AL,,,,,,,,AL,,,"535,39",,,,,,,,-,,,,,,,,"535,39",,,,,,,"9.596,80",,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"7.997,31",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,,"557,70",,,,,,,,-,,,,,,,,"557,70",,,,,,,"9.996,67",,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,,"611,27",,,,,,,,"106,49",,,,,,,,"717,76",,,,,,,"21.531,83",,,,,,,,
CORURIPE-AL,,,,,,,,AL,,,"1.069.987,48",,,,,,,,"40.460,78",,,,,,,,"1.110.448,26",,,,,,,"13.232.578,67",,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,,"16.036,02",,,,,,,,"22.410,34",,,,,,,,"38.446,36",,,,,,,"689.119,41",,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,,"468,46",,,,,,,,-,,,,,,,,"468,46",,,,,,,"8.397,18",,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,,"513,08",,,,,,,,-,,,,,,,,"513,08",,,,,,,"9.196,92",,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,,"580,00",,,,,,,,-,,,,,,,,"580,00",,,,,,,"10.396,51",,,,,,,,
JACUIPE-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"7.997,31",,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"7.997,31",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,AL,,,"11.774,66",,,,,,,,"4.748,60",,,,,,,,"16.523,26",,,,,,,"165.494,35",,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,AL,,,"580,00",,,,,,,,-,,,,,,,,"580,00",,,,,,,"10.396,51",,,,,,,,
JUNDIA-AL,,,,,,,,AL,,,"448,50",,,,,,,,-,,,,,,,,"448,50",,,,,,,"294.073,14",,,,,,,,
JUNQUEIRO-AL,,,,,,,,AL,,,"602,31",,,,,,,,-,,,,,,,,"602,31",,,,,,,"10.796,41",,,,,,,,
MACEIO-AL,,,,,,,,AL,,,"83.462,70",,,,,,,,"14.457,23",,,,,,,,"97.919,93",,,,,,,"1.488.560,91",,,,,,,,
MARAGOGI-AL,,,,,,,,AL,,,"602,31",,,,,,,,-,,,,,,,,"602,31",,,,,,,"10.796,41",,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,AL,,,"99.408,27",,,,,,,,"78.152,32",,,,,,,,"177.560,59",,,,,,,"2.638.693,19",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,AL,,,"602,31",,,,,,,,-,,,,,,,,"602,31",,,,,,,"10.796,41",,,,,,,,
MESSIAS-AL,,,,,,,,AL,,,"513,08",,,,,,,,-,,,,,,,,"513,08",,,,,,,"9.196,92",,,,,,,,
MURICI-AL,,,,,,,,AL,,,"602,31",,,,,,,,-,,,,,,,,"602,31",,,,,,,"10.796,41",,,,,,,,
NOVO LINO-AL,,,,,,,,AL,,,"468,46",,,,,,,,-,,,,,,,,"468,46",,,,,,,"8.397,18",,,,,,,,
PARIPUEIRA-AL,,,,,,,,AL,,,"446,16",,,,,,,,"3.860,04",,,,,,,,"4.306,20",,,,,,,"128.170,07",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,AL,,,"490,77",,,,,,,,-,,,,,,,,"490,77",,,,,,,"8.797,03",,,,,,,,
PENEDO-AL,,,,,,,,AL,,,"628.209,51",,,,,,,,-,,,,,,,,"628.209,51",,,,,,,"4.200.222,92",,,,,,,,
PIACABUCU-AL,,,,,,,,AL,,,"535,39",,,,,,,,-,,,,,,,,"535,39",,,,,,,"9.596,80",,,,,,,,
PILAR-AL,,,,,,,,AL,,,"187.389,22",,,,,,,,"120.463,17",,,,,,,,"307.852,39",,,,,,,"3.747.048,48",,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"7.997,31",,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"602,31",,,,,,,,-,,,,,,,,"602,31",,,,,,,"10.796,41",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"468,46",,,,,,,,-,,,,,,,,"468,46",,,,,,,"8.397,18",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"535,39",,,,,,,,-,,,,,,,,"535,39",,,,,,,"9.596,80",,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"20.846,99",,,,,,,,"12.955,58",,,,,,,,"33.802,57",,,,,,,"434.620,66",,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"18.910,02",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"46.184,33",,,,,,,,"577,62",,,,,,,,"46.761,95",,,,,,,"562.220,14",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"468,46",,,,,,,,-,,,,,,,,"468,46",,,,,,,"8.397,18",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"580,00",,,,,,,,-,,,,,,,,"580,00",,,,,,,"10.396,51",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"624,62",,,,,,,,-,,,,,,,,"624,62",,,,,,,"11.196,26",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,,"161.630,21",,,,,,,,"80.687,62",,,,,,,,"242.317,83",,,,,,,"6.845.326,85",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,,"446,16",,,,,,,,-,,,,,,,,"446,16",,,,,,,"7.997,31",,,,,,,,
SATUBA-AL,,,,,,,,AL,,,"671.525,83",,,,,,,,"28.081,10",,,,,,,,"699.606,93",,,,,,,"8.122.226,24",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,,"691,54",,,,,,,,-,,,,,,,,"691,54",,,,,,,"12.395,87",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,,"736,16",,,,,,,,-,,,,,,,,"736,16",,,,,,,"13.195,60",,,,,,,,
VICOSA-AL,,,,,,,,AL,,,"602,31",,,,,,,,-,,,,,,,,"602,31",,,,,,,"10.796,41",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"3.018.573,57",,,,,,,,"406.960,89",,,,,,,,"3.425.534,46",,,,,,,"42.950.275,96",,,,,,,,
ANAMA-AM,,,,,,,,AM,,,-,,,,,,,,"2.477,13",,,,,,,,"2.477,13",,,,,,,"34.080,91",,,,,,,,
ANORI-AM,,,,,,,,AM,,,-,,,,,,,,"2.477,13",,,,,,,,"2.477,13",,,,,,,"34.080,91",,,,,,,,
AUTAZES-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
BERURI-AM,,,,,,,,AM,,,-,,,,,,,,"2.477,13",,,,,,,,"2.477,13",,,,,,,"34.080,91",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
CAREIRO-AM,,,,,,,,AM,,,-,,,,,,,,"2.477,13",,,,,,,,"2.477,13",,,,,,,"34.080,91",,,,,,,,
COARI-AM,,,,,,,,AM,,,"1.958.442,10",,,,,,,,"1.876.198,97",,,,,,,,"3.834.641,07",,,,,,,"51.445.180,39",,,,,,,,
CODAJAS-AM,,,,,,,,AM,,,-,,,,,,,,"2.477,13",,,,,,,,"2.477,13",,,,,,,"34.080,91",,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,,-,,,,,,,,"2.477,13",,,,,,,,"2.477,13",,,,,,,"34.080,91",,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,,-,,,,,,,,"2.477,13",,,,,,,,"2.477,13",,,,,,,"34.080,91",,,,,,,,
MANAUS-AM,,,,,,,,AM,,,"1.110.743,17",,,,,,,,"90.809,24",,,,,,,,"1.201.552,41",,,,,,,"13.008.363,01",,,,,,,,
PARINTINS-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
SILVES-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
URUCARA-AM,,,,,,,,AM,,,-,,,,,,,,"7.046,03",,,,,,,,"7.046,03",,,,,,,"95.180,07",,,,,,,,
