PINDOBA-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
PORTO CALVO-AL,,,,,,,,,,AL,,"826,71",,,,,,,"0,01",,,,,,,,"826,72",,,,,,,"9.884,00",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,,AL,,"765,47",,,,,,,"0,01",,,,,,,,"765,48",,,,,,,"9.151,84",,,,,,,,
RIO LARGO-AL,,,,,,,,,,AL,,"361.057,16",,,,,,,"6.861,87",,,,,,,,"367.919,03",,,,,,,"3.542.583,60",,,,,,,,
ROTEIRO-AL,,,,,,,,,,AL,,"1.921.814,47",,,,,,,"1.041,12",,,,,,,,"1.922.855,59",,,,,,,"19.103.714,74",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"633.497,75",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,,,AL,,"642,99",,,,,,,"0,01",,,,,,,,"643,00",,,,,,,"7.687,55",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,,,AL,,"796,09",,,,,,,"0,01",,,,,,,,"796,10",,,,,,,"9.517,92",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,,,AL,,"887,94",,,,,,,"0,01",,,,,,,,"887,95",,,,,,,"10.616,15",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,,,AL,,"262.340,86",,,,,,,"161.355,97",,,,,,,,"423.696,83",,,,,,,"5.012.331,54",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,,,AL,,"612,37",,,,,,,"0,01",,,,,,,,"612,38",,,,,,,"7.321,46",,,,,,,,
SATUBA-AL,,,,,,,,,,AL,,"6.533,39",,,,,,,"4.214,05",,,,,,,,"10.747,44",,,,,,,"346.696,43",,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,,,AL,,"949,18",,,,,,,"0,01",,,,,,,,"949,19",,,,,,,"11.348,29",,,,,,,,
Superintendência de Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,,,AL,,"1.010,42",,,,,,,"0,01",,,,,,,,"1.010,43",,,,,,,"12.080,45",,,,,,,,
VICOSA-AL,,,,,,,,,,AL,,"826,71",,,,,,,"0,01",,,,,,,,"826,72",,,,,,,"9.884,00",,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,,"5.703.759,72",,,,,,,"455.503,90",,,,,,,,"6.159.263,62",,,,,,,"62.229.743,55",,,,,,,,
ANAMA-AM,,,,,,,,,,AM,,"58.302,50",,,,,,,"2.855,93",,,,,,,,"61.158,43",,,,,,,"97.072,55",,,,,,,,
ANORI-AM,,,,,,,,,,AM,,-,,,,,,,"2.850,44",,,,,,,,"2.850,44",,,,,,,"38.764,56",,,,,,,,
AUTAZES-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
BERURI-AM,,,,,,,,,,AM,,-,,,,,,,"2.850,44",,,,,,,,"2.850,44",,,,,,,"38.764,56",,,,,,,,
CAAPIRANGA-AM,,,,,,,,,,AM,,"58.302,50",,,,,,,"23,41",,,,,,,,"58.325,91",,,,,,,"122.327,62",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
CAREIRO-AM,,,,,,,,,,AM,,-,,,,,,,"2.850,44",,,,,,,,"2.850,44",,,,,,,"38.764,56",,,,,,,,
COARI-AM,,,,,,,,,,AM,,"3.149.876,21",,,,,,,"2.917.977,91",,,,,,,,"6.067.854,12",,,,,,,"71.346.644,74",,,,,,,,
CODAJAS-AM,,,,,,,,,,AM,,"57.935,23",,,,,,,"2.851,31",,,,,,,,"60.786,54",,,,,,,"303.468,98",,,,,,,,
IRANDUBA-AM,,,,,,,,,,AM,,-,,,,,,,"9.177,13",,,,,,,,"9.177,13",,,,,,,"106.583,13",,,,,,,,
