ANADIA-AL,,,,,,,,,AL,,,"651,25",,,,,,-,,,,,,,"651,25",,,,,,,"5.086,51",,,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"841,21",,,,,,-,,,,,,,"841,21",,,,,,,"6.570,08",,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"624,12",,,,,,-,,,,,,,"624,12",,,,,,,"4.874,56",,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"542,71",,,,,,-,,,,,,,"542,71",,,,,,,"4.238,75",,,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"732,66",,,,,,-,,,,,,,"732,66",,,,,,,"5.722,33",,,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"569,85",,,,,,-,,,,,,,"569,85",,,,,,,"4.450,71",,,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"705,53",,,,,,-,,,,,,,"705,53",,,,,,,"5.510,38",,,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"542,71",,,,,,-,,,,,,,"542,71",,,,,,,"4.238,75",,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"868,34",,,,,,-,,,,,,,"868,34",,,,,,,"6.782,03",,,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"651,25",,,,,,-,,,,,,,"651,25",,,,,,,"5.086,51",,,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"542,71",,,,,,-,,,,,,,"542,71",,,,,,,"4.238,75",,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"705,53",,,,,,-,,,,,,,"705,53",,,,,,,"5.510,38",,,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"69.510,99",,,,,,"325,23",,,,,,,"69.836,22",,,,,,,"624.196,75",,,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"644.974,96",,,,,,"58.251,22",,,,,,,"703.226,18",,,,,,,"11.294.828,96",,,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"19.631,73",,,,,,"27.435,34",,,,,,,"47.067,07",,,,,,,"367.608,58",,,,,,,,,,,
