PORTO DE PEDRAS-AL,,,,,AL,,,,"331,00",,,,,,,,"241,10",,,,,,"572,10",,,,,"889,85",,,,,,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,"378,29",,,,,,,,"275,54",,,,,,"653,83",,,,,"1.016,98",,,,,,,,,,,,,,
RIO LARGO-AL,,,,,AL,,,,"520,15",,,,,,,,"378,87",,,,,,"899,02",,,,,"1.398,35",,,,,,,,,,,,,,
ROTEIRO-AL,,,,,AL,,,,"571,72",,,,,,,,"394,94",,,,,,"966,66",,,,,"1.700,68",,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"16.828,49",,,,,,,,"229,62",,,,,,"17.058,11",,,,,"33.544,57",,,,,,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"346,77",,,,,,,,"252,58",,,,,,"599,35",,,,,"932,23",,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"409,82",,,,,,,,"298,50",,,,,,"708,32",,,,,"1.101,73",,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"441,34",,,,,,,,"321,46",,,,,,"762,80",,,,,"1.186,47",,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"51.397,62",,,,,,,,"19.154,72",,,,,,"70.552,34",,,,,"132.676,86",,,,,,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"315,24",,,,,,,,"229,62",,,,,,"544,86",,,,,"847,48",,,,,,,,,,,,,,
SATUBA-AL,,,,,AL,,,,"5.547,13",,,,,,,,"3.599,98",,,,,,"9.147,11",,,,,"18.889,23",,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"457,10",,,,,,,,"332,95",,,,,,"790,05",,,,,"1.228,85",,,,,,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"504,39",,,,,,,,"367,39",,,,,,"871,78",,,,,"1.355,98",,,,,,,,,,,,,,
VICOSA-AL,,,,,AL,,,,"425,58",,,,,,,,"309,98",,,,,,"735,56",,,,,"1.144,10",,,,,,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,-,,,,,,,,"4.522,41",,,,,,"4.522,41",,,,,"27.923,89",,,,,,,,,,,,,,
COARI-AM,,,,,AM,,,,"527.813,83",,,,,,,,"399.060,19",,,,,,"926.874,02",,,,,"1.865.859,26",,,,,,,,,,,,,,
IRANDUBA-AM,,,,,AM,,,,-,,,,,,,,"4.522,41",,,,,,"4.522,41",,,,,"27.923,89",,,,,,,,,,,,,,
MANAUS-AM,,,,,AM,,,,"16.513,25",,,,,,,,"13.578,54",,,,,,"30.091,79",,,,,"116.986,69",,,,,,,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
AIQUARA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"105.588,63",,,,,,,,"55.931,78",,,,,,"161.520,41",,,,,"314.250,94",,,,,,,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"36,66",,,,,,,,"26,70",,,,,,"63,36",,,,,"91,68",,,,,,,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"34,04",,,,,,,,"24,79",,,,,,"58,83",,,,,"85,13",,,,,,,,,,,,,,
ANAGE-BA,,,,,BA,,,,"40,58",,,,,,,,"29,56",,,,,,"70,14",,,,,"101,50",,,,,,,,,,,,,,
ANGUERA-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
ANTAS-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
APORA-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
APUAREMA-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
ARACAS-BA,,,,,BA,,,,"36.205,99",,,,,,,,"12.540,16",,,,,,"48.746,15",,,,,"96.728,21",,,,,,,,,,,,,,
ARACI-BA,,,,,BA,,,,"41,89",,,,,,,,"30,51",,,,,,"72,40",,,,,"104,77",,,,,,,,,,,,,,
ARAMARI-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"26,18",,,,,,,,"19,07",,,,,,"45,25",,,,,"65,48",,,,,,,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"34,04",,,,,,,,"24,79",,,,,,"58,83",,,,,"85,13",,,,,,,,,,,,,,
BANZAE-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"39,28",,,,,,,,"28,61",,,,,,"67,89",,,,,"98,24",,,,,,,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"28,80",,,,,,,,"20,98",,,,,,"49,78",,,,,"72,03",,,,,,,,,,,,,,
BOA NOVA-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,,BA,,,,"32,73",,,,,,,,"23,84",,,,,,"56,57",,,,,"81,86",,,,,,,,,,,,,,
BOM JESUS DA SERRA-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
BREJOES-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
CAATIBA-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,,BA,,,,"30,11",,,,,,,,"21,93",,,,,,"52,04",,,,,"75,30",,,,,,,,,,,,,,
CACHOEIRA-BA,,,,,BA,,,,"36,66",,,,,,,,"26,70",,,,,,"63,36",,,,,"91,68",,,,,,,,,,,,,,
CAEM-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
CAETANOS-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
CAMACARI-BA,,,,,BA,,,,"16.783,60",,,,,,,,"129,10",,,,,,"16.912,70",,,,,"33.485,27",,,,,,,,,,,,,,
CANDEAL-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
CANDEIAS-BA,,,,,BA,,,,"218.920,36",,,,,,,,"149.123,65",,,,,,"368.044,01",,,,,"672.154,82",,,,,,,,,,,,,,
CANDIDO SALES-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
CANSANCAO-BA,,,,,BA,,,,"36,66",,,,,,,,"26,70",,,,,,"63,36",,,,,"91,68",,,,,,,,,,,,,,
CANUDOS-BA,,,,,BA,,,,"31,42",,,,,,,,"22,88",,,,,,"54,30",,,,,"78,58",,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,,BA,,,,"27,49",,,,,,,,"20,02",,,,,,"47,51",,,,,"68,75",,,,,,,,,,,,,,
CAPIM GROSSO-BA,,,,,BA,,,,"35,35",,,,,,,,"25,75",,,,,,"61,10",,,,,"88,41",,,,,,,,,,,,,,
CARAVELAS-BA,,,,,BA,,,,"18.443,69",,,,,,,,"1.448,36",,,,,,"19.892,05",,,,,"39.301,74",,,,,,,,,,,,,,
