SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"20.139,10",,,,,,-,,,,,"20.139,09",,,,,,,"160.143,54",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"372,30",,,,,,-,,,,,"372,30",,,,,,,"3.025,21",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"440,00",,,,,,-,,,,,"439,99",,,,,,,"3.575,26",,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"473,84",,,,,,-,,,,,"473,84",,,,,,,"3.850,27",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"57.707,96",,,,,,"20.197,36",,,,,"77.905,30",,,,,,,"594.864,92",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"338,46",,,,,,-,,,,,"338,45",,,,,,,"2.750,18",,,,,,,,,
SATUBA-AL,,,,AL,,,,,"5.077,62",,,,,,"3.043,32",,,,,"8.120,92",,,,,,,"81.310,73",,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"490,77",,,,,,-,,,,,"490,76",,,,,,,"3.987,79",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"541,53",,,,,,-,,,,,"541,53",,,,,,,"4.400,33",,,,,,,,,
VICOSA-AL,,,,AL,,,,,"456,92",,,,,,-,,,,,"456,91",,,,,,,"3.712,77",,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,,-,,,,,,"27.682,75",,,,,"27.682,74",,,,,,,"242.548,83",,,,,,,,,
COARI-AM,,,,AM,,,,,"786.911,05",,,,,,"708.429,04",,,,,"1.495.340,08",,,,,,,"11.084.683,46",,,,,,,,,
IRANDUBA-AM,,,,AM,,,,,-,,,,,,"27.682,75",,,,,"27.682,74",,,,,,,"242.548,83",,,,,,,,,
MANAUS-AM,,,,AM,,,,,"19.800,64",,,,,,"3.730,89",,,,,"23.531,53",,,,,,,"410.053,38",,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
ADUSTINA-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
AGUA FRIA-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
AIQUARA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,,"121.127,99",,,,,,"64.018,11",,,,,"185.146,10",,,,,,,"1.516.377,17",,,,,,,,,
AMARGOSA-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
ANAGE-BA,,,,BA,,,,,"47,32",,,,,,-,,,,,"47,31",,,,,,,"362,05",,,,,,,,,
ANGUERA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
ANTAS-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
APORA-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
APUAREMA-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
ARACAS-BA,,,,BA,,,,,"50.239,99",,,,,,"18.110,36",,,,,"68.350,35",,,,,,,"498.495,16",,,,,,,,,
ARACI-BA,,,,BA,,,,,"48,84",,,,,,-,,,,,"48,84",,,,,,,"373,74",,,,,,,,,
ARAMARI-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
ARATUIPE-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
BAIXA GRANDE-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
BANZAE-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
BARRA DO CHOCA-BA,,,,BA,,,,,"45,79",,,,,,-,,,,,"45,79",,,,,,,"350,40",,,,,,,,,
BELO CAMPO-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
BIRITINGA-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
BOA NOVA-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
BOA VISTA DO TUPIM-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
BOM JESUS DA SERRA-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
BREJOES-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
CAATIBA-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,,BA,,,,,"35,11",,,,,,-,,,,,"35,10",,,,,,,"268,60",,,,,,,,,
CACHOEIRA-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
CAEM-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
CAETANOS-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
CAMACARI-BA,,,,BA,,,,,"19.860,17",,,,,,-,,,,,"19.860,16",,,,,,,"159.722,78",,,,,,,,,
CANDEAL-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
CANDEIAS-BA,,,,BA,,,,,"243.044,24",,,,,,"106.701,96",,,,,"349.746,18",,,,,,,"2.838.816,07",,,,,,,,,
CANDIDO SALES-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
CANSANCAO-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
CANUDOS-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,,BA,,,,,"32,05",,,,,,-,,,,,"32,05",,,,,,,"245,26",,,,,,,,,
CAPIM GROSSO-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
CARAVELAS-BA,,,,BA,,,,,"21.352,08",,,,,,"1.160,95",,,,,"22.513,01",,,,,,,"183.940,82",,,,,,,,,
CARDEAL DA SILVA-BA,,,,BA,,,,,"48.604,04",,,,,,"18.545,38",,,,,"67.149,40",,,,,,,"536.330,28",,,,,,,,,
CASTRO ALVES-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATU-BA,,,,BA,,,,,"70.626,51",,,,,,"127.312,03",,,,,"197.938,52",,,,,,,"1.291.242,88",,,,,,,,,
CICERO DANTAS-BA,,,,BA,,,,,"42,74",,,,,,-,,,,,"42,73",,,,,,,"327,03",,,,,,,,,
CIPO-BA,,,,BA,,,,,"33,58",,,,,,-,,,,,"33,57",,,,,,,"256,92",,,,,,,,,
CONCEICAO DA FEIRA-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
CONCEICAO DO COITE-BA,,,,BA,,,,,"48,84",,,,,,-,,,,,"48,84",,,,,,,"373,74",,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,,BA,,,,,"41,21",,,,,,-,,,,,"41,21",,,,,,,"315,34",,,,,,,,,
CONDE-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
CORACAO DE MARIA-BA,,,,BA,,,,,"39,68",,,,,,-,,,,,"39,68",,,,,,,"303,67",,,,,,,,,
CORONEL JOAO SA-BA,,,,BA,,,,,"38,16",,,,,,-,,,,,"38,15",,,,,,,"291,97",,,,,,,,,
CRAVOLANDIA-BA,,,,BA,,,,,"30,53",,,,,,-,,,,,"30,52",,,,,,,"233,57",,,,,,,,,
CRISOPOLIS-BA,,,,BA,,,,,"36,63",,,,,,-,,,,,"36,63",,,,,,,"280,31",,,,,,,,,
CRUZ DAS ALMAS-BA,,,,BA,,,,,"48,84",,,,,,-,,,,,"48,84",,,,,,,"373,74",,,,,,,,,
