ANADIA-AL,,,,AL,,,,"836,40",,,,,,-,,,,,,,"836,40",,,,,,,,"4.623,75",,,,,,,,
ATALAIA-AL,,,,AL,,,,"1.115,21",,,,,,-,,,,,,,"1.115,21",,,,,,,,"6.165,01",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"766,70",,,,,,-,,,,,,,"766,70",,,,,,,,"4.238,43",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"697,00",,,,,,-,,,,,,,"697,00",,,,,,,,"3.853,12",,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"940,96",,,,,,-,,,,,,,"940,96",,,,,,,,"5.201,74",,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"731,85",,,,,,-,,,,,,,"731,85",,,,,,,,"4.045,78",,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"906,11",,,,,,-,,,,,,,"906,11",,,,,,,,"5.009,07",,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"697,00",,,,,,-,,,,,,,"697,00",,,,,,,,"3.853,12",,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"1.080,36",,,,,,-,,,,,,,"1.080,36",,,,,,,,"5.972,36",,,,,,,,
CAPELA-AL,,,,AL,,,,"836,40",,,,,,-,,,,,,,"836,40",,,,,,,,"4.623,75",,,,,,,,
CHA PRETA-AL,,,,AL,,,,"697,00",,,,,,-,,,,,,,"697,00",,,,,,,,"3.853,12",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"871,26",,,,,,-,,,,,,,"871,26",,,,,,,,"4.816,42",,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"697,00",,,,,,-,,,,,,,"697,00",,,,,,,,"9.955,52",,,,,,,,
CORURIPE-AL,,,,AL,,,,"857.952,30",,,,,,"69.560,87",,,,,,,"927.513,17",,,,,,,,"6.065.934,17",,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"25.052,08",,,,,,"35.010,29",,,,,,,"60.062,37",,,,,,,,"332.032,76",,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"731,85",,,,,,-,,,,,,,"731,85",,,,,,,,"4.045,78",,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"801,55",,,,,,-,,,,,,,"801,55",,,,,,,,"4.431,10",,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"906,11",,,,,,-,,,,,,,"906,11",,,,,,,,"5.009,07",,,,,,,,
JACUIPE-AL,,,,AL,,,,"697,00",,,,,,-,,,,,,,"697,00",,,,,,,,"3.853,12",,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"697,00",,,,,,-,,,,,,,"697,00",,,,,,,,"3.853,12",,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,"17.103,83",,,,,,"6.876,23",,,,,,,"23.980,06",,,,,,,,"27.790,15",,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,"906,11",,,,,,-,,,,,,,"906,11",,,,,,,,"5.009,07",,,,,,,,
JUNDIA-AL,,,,AL,,,,"45.560,03",,,,,,-,,,,,,,"45.560,03",,,,,,,,"135.984,47",,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,"940,96",,,,,,-,,,,,,,"940,96",,,,,,,,"5.201,74",,,,,,,,
MACEIO-AL,,,,AL,,,,"66.572,38",,,,,,"13.328,84",,,,,,,"79.901,22",,,,,,,,"613.166,27",,,,,,,,
MARAGOGI-AL,,,,AL,,,,"940,96",,,,,,-,,,,,,,"940,96",,,,,,,,"5.201,74",,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,"110.024,47",,,,,,"114.447,18",,,,,,,"224.471,65",,,,,,,,"1.312.424,92",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,"940,96",,,,,,-,,,,,,,"940,96",,,,,,,,"5.201,74",,,,,,,,
MESSIAS-AL,,,,AL,,,,"801,55",,,,,,-,,,,,,,"801,55",,,,,,,,"4.431,10",,,,,,,,
MURICI-AL,,,,AL,,,,"940,96",,,,,,-,,,,,,,"940,96",,,,,,,,"5.201,74",,,,,,,,
NOVO LINO-AL,,,,AL,,,,"731,85",,,,,,-,,,,,,,"731,85",,,,,,,,"4.045,78",,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,"697,00",,,,,,"9.996,63",,,,,,,"10.693,63",,,,,,,,"65.695,90",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,"766,70",,,,,,-,,,,,,,"766,70",,,,,,,,"4.238,43",,,,,,,,
PENEDO-AL,,,,AL,,,,"1.150,06",,,,,,-,,,,,,,"1.150,06",,,,,,,,"6.357,67",,,,,,,,
PIACABUCU-AL,,,,AL,,,,"836,40",,,,,,-,,,,,,,"836,40",,,,,,,,"4.623,75",,,,,,,,
PILAR-AL,,,,AL,,,,"178.953,51",,,,,,"114.795,61",,,,,,,"293.749,12",,,,,,,,"1.992.713,01",,,,,,,,
PINDOBA-AL,,,,AL,,,,"697,00",,,,,,-,,,,,,,"697,00",,,,,,,,"3.853,12",,,,,,,,
PORTO CALVO-AL,,,,AL,,,,"940,96",,,,,,-,,,,,,,"940,96",,,,,,,,"5.201,74",,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,"731,85",,,,,,-,,,,,,,"731,85",,,,,,,,"4.045,78",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,"836,40",,,,,,-,,,,,,,"836,40",,,,,,,,"4.623,75",,,,,,,,
RIO LARGO-AL,,,,AL,,,,"18.877,29",,,,,,"11.411,58",,,,,,,"30.288,87",,,,,,,,"148.975,89",,,,,,,,
