ANADIA-AL,,,,,,,AL,,,,"804,22",,,,,,,,,,,-,,,,,,,"804,22",,,,,,,,,,"3.787,35",,,,,,
ATALAIA-AL,,,,,,,AL,,,,"1.072,29",,,,,,,,,,,-,,,,,,,"1.072,29",,,,,,,,,,"5.049,80",,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,,,"737,20",,,,,,,,,,,-,,,,,,,"737,20",,,,,,,,,,"3.471,73",,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"3.156,12",,,,,,
BOCA DA MATA-AL,,,,,,,AL,,,,"904,75",,,,,,,,,,,-,,,,,,,"904,75",,,,,,,,,,"4.260,78",,,,,,
BRANQUINHA-AL,,,,,,,AL,,,,"703,69",,,,,,,,,,,-,,,,,,,"703,69",,,,,,,,,,"3.313,93",,,,,,
CAJUEIRO-AL,,,,,,,AL,,,,"871,24",,,,,,,,,,,-,,,,,,,"871,24",,,,,,,,,,"4.102,96",,,,,,
CAMPESTRE-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"3.156,12",,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,,,"1.038,78",,,,,,,,,,,-,,,,,,,"1.038,78",,,,,,,,,,"4.892,00",,,,,,
CAPELA-AL,,,,,,,AL,,,,"804,22",,,,,,,,,,,-,,,,,,,"804,22",,,,,,,,,,"3.787,35",,,,,,
CHA PRETA-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"3.156,12",,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,,,"837,73",,,,,,,,,,,-,,,,,,,"837,73",,,,,,,,,,"3.945,16",,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"9.258,52",,,,,,
CORURIPE-AL,,,,,,,AL,,,,"1.094.123,57",,,,,,,,,,,"70.075,29",,,,,,,"1.164.198,86",,,,,,,,,,"5.138.421,00",,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,,,"24.088,05",,,,,,,,,,,"33.663,05",,,,,,,"57.751,10",,,,,,,,,,"271.970,39",,,,,,
FLEXEIRAS-AL,,,,,,,AL,,,,"703,69",,,,,,,,,,,-,,,,,,,"703,69",,,,,,,,,,"3.313,93",,,,,,
IBATEGUARA-AL,,,,,,,AL,,,,"770,71",,,,,,,,,,,-,,,,,,,"770,71",,,,,,,,,,"3.629,55",,,,,,
IGREJA NOVA-AL,,,,,,,AL,,,,"871,24",,,,,,,,,,,-,,,,,,,"871,24",,,,,,,,,,"4.102,96",,,,,,
JACUIPE-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"3.156,12",,,,,,
JAPARATINGA-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"3.156,12",,,,,,
JEQUIA DA PRAIA-AL,,,,,,,AL,,,,"703,69",,,,,,,,,,,-,,,,,,,"703,69",,,,,,,,,,"3.810,09",,,,,,
JOAQUIM GOMES-AL,,,,,,,AL,,,,"871,24",,,,,,,,,,,-,,,,,,,"871,24",,,,,,,,,,"4.102,96",,,,,,
JUNDIA-AL,,,,,,,AL,,,,"46.369,25",,,,,,,,,,,-,,,,,,,"46.369,25",,,,,,,,,,"90.424,44",,,,,,
JUNQUEIRO-AL,,,,,,,AL,,,,"904,75",,,,,,,,,,,-,,,,,,,"904,75",,,,,,,,,,"4.260,78",,,,,,
MACEIO-AL,,,,,,,AL,,,,"69.010,15",,,,,,,,,,,"13.643,70",,,,,,,"82.653,85",,,,,,,,,,"533.265,05",,,,,,
MARAGOGI-AL,,,,,,,AL,,,,"904,75",,,,,,,,,,,-,,,,,,,"904,75",,,,,,,,,,"4.260,78",,,,,,
MARECHAL DEODORO-AL,,,,,,,AL,,,,"106.345,02",,,,,,,,,,,"107.412,07",,,,,,,"213.757,09",,,,,,,,,,"1.087.953,27",,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,AL,,,,"904,75",,,,,,,,,,,-,,,,,,,"904,75",,,,,,,,,,"4.260,78",,,,,,
MESSIAS-AL,,,,,,,AL,,,,"770,71",,,,,,,,,,,-,,,,,,,"770,71",,,,,,,,,,"3.629,55",,,,,,
MURICI-AL,,,,,,,AL,,,,"904,75",,,,,,,,,,,-,,,,,,,"904,75",,,,,,,,,,"4.260,78",,,,,,
NOVO LINO-AL,,,,,,,AL,,,,"703,69",,,,,,,,,,,-,,,,,,,"703,69",,,,,,,,,,"3.313,93",,,,,,
PARIPUEIRA-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,"10.232,77",,,,,,,"10.902,95",,,,,,,,,,"55.002,27",,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,AL,,,,"737,20",,,,,,,,,,,-,,,,,,,"737,20",,,,,,,,,,"3.471,73",,,,,,
PENEDO-AL,,,,,,,AL,,,,"1.105,80",,,,,,,,,,,-,,,,,,,"1.105,80",,,,,,,,,,"5.207,61",,,,,,
PIACABUCU-AL,,,,,,,AL,,,,"804,22",,,,,,,,,,,-,,,,,,,"804,22",,,,,,,,,,"3.787,35",,,,,,
PILAR-AL,,,,,,,AL,,,,"213.074,80",,,,,,,,,,,"136.828,07",,,,,,,"349.902,87",,,,,,,,,,"1.698.963,89",,,,,,
PINDOBA-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"3.156,12",,,,,,
PORTO CALVO-AL,,,,,,,AL,,,,"904,75",,,,,,,,,,,-,,,,,,,"904,75",,,,,,,,,,"4.260,78",,,,,,
PORTO DE PEDRAS-AL,,,,,,,AL,,,,"703,69",,,,,,,,,,,-,,,,,,,"703,69",,,,,,,,,,"3.313,93",,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,AL,,,,"804,22",,,,,,,,,,,-,,,,,,,"804,22",,,,,,,,,,"3.787,35",,,,,,
RIO LARGO-AL,,,,,,,AL,,,,"16.195,64",,,,,,,,,,,"9.711,33",,,,,,,"25.906,97",,,,,,,,,,"118.687,02",,,,,,
ROTEIRO-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"8.083,45",,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,AL,,,,"48.598,69",,,,,,,,,,,"1.437,99",,,,,,,"50.036,68",,,,,,,,,,"194.330,47",,,,,,
SANTANA DO MUNDAU-AL,,,,,,,AL,,,,"703,69",,,,,,,,,,,-,,,,,,,"703,69",,,,,,,,,,"3.313,93",,,,,,
SAO JOSE DA LAJE-AL,,,,,,,AL,,,,"871,24",,,,,,,,,,,-,,,,,,,"871,24",,,,,,,,,,"4.102,96",,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,AL,,,,"938,26",,,,,,,,,,,-,,,,,,,"938,26",,,,,,,,,,"4.418,58",,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,AL,,,,"332.149,05",,,,,,,,,,,"235.610,85",,,,,,,"567.759,90",,,,,,,,,,"2.864.326,01",,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,AL,,,,"670,18",,,,,,,,,,,-,,,,,,,"670,18",,,,,,,,,,"3.156,12",,,,,,
SATUBA-AL,,,,,,,AL,,,,"611.044,92",,,,,,,,,,,"23.725,55",,,,,,,"634.770,47",,,,,,,,,,"2.996.617,89",,,,,,
