ANADIA-AL,,,,,AL,,,,"431,03",,,,,,-,,,,,,"431,02",,,,,,,"3.731,26",,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"538,78",,,,,,-,,,,,,"538,78",,,,,,,"4.664,08",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"466,95",,,,,,-,,,,,,"466,94",,,,,,,"4.042,20",,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"431,03",,,,,,-,,,,,,"431,02",,,,,,,"3.731,26",,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"538,78",,,,,,-,,,,,,"538,78",,,,,,,"4.664,08",,,,,,,,,
CAPELA-AL,,,,,AL,,,,"466,95",,,,,,-,,,,,,"466,94",,,,,,,"4.042,20",,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"431,03",,,,,,-,,,,,,"431,02",,,,,,,"3.731,26",,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"36.409,73",,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"40.699,38",,,,,,"18.149,78",,,,,,"58.849,14",,,,,,,"514.917,52",,,,,,,,,
FELIZ DE SERTO-AL,,,,,AL,,,,"12.656,12",,,,,,"17.344,32",,,,,,"30.000,42",,,,,,,"259.729,16",,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"395,11",,,,,,-,,,,,,"395,10",,,,,,,"3.420,31",,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"413,07",,,,,,-,,,,,,"413,06",,,,,,,"3.575,77",,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"448,99",,,,,,-,,,,,,"448,98",,,,,,,"3.886,72",,,,,,,,,
JACUIPE-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
JAPARATINGA-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
JOAQUIM GOMES-AL,,,,,AL,,,,"448,99",,,,,,-,,,,,,"448,98",,,,,,,"3.886,72",,,,,,,,,
JUNDIA-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
JUNQUEIRO-AL,,,,,AL,,,,"466,95",,,,,,-,,,,,,"466,94",,,,,,,"4.042,20",,,,,,,,,
MACEIO-AL,,,,,AL,,,,"24.099,29",,,,,,"15.869,01",,,,,,"39.968,28",,,,,,,"386.542,94",,,,,,,,,
MARAGOGI-AL,,,,,AL,,,,"431,03",,,,,,-,,,,,,"431,02",,,,,,,"3.731,26",,,,,,,,,
MARECHAL DEODORO-AL,,,,,AL,,,,"45.543,93",,,,,,"25.316,92",,,,,,"70.860,83",,,,,,,"621.728,34",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,AL,,,,"466,95",,,,,,-,,,,,,"466,94",,,,,,,"4.042,20",,,,,,,,,
MESSIAS-AL,,,,,AL,,,,"377,15",,,,,,-,,,,,,"377,14",,,,,,,"3.264,84",,,,,,,,,
MURICI-AL,,,,,AL,,,,"466,95",,,,,,-,,,,,,"466,94",,,,,,,"4.042,20",,,,,,,,,
NOVO LINO-AL,,,,,AL,,,,"377,15",,,,,,-,,,,,,"377,14",,,,,,,"3.264,84",,,,,,,,,
PARIPUEIRA-AL,,,,,AL,,,,"359,19",,,,,,-,,,,,,"359,18",,,,,,,"3.109,36",,,,,,,,,
