SANTA LUZIA DO NORTE-AL,,,,,AL,,,,"13.985,70",,,,,,"41,03",,,,,,"14.026,73",,,,,,,"95.088,92",,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,"313,58",,,,,,-,,,,,,"313,58",,,,,,,"1.923,43",,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,"370,59",,,,,,-,,,,,,"370,59",,,,,,,"2.273,15",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,"399,10",,,,,,-,,,,,,"399,10",,,,,,,"2.448,01",,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,"46.724,47",,,,,,"17.701,07",,,,,,"64.425,54",,,,,,,"412.237,55",,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,"285,07",,,,,,-,,,,,,"285,07",,,,,,,"1.748,59",,,,,,,,,
SATUBA-AL,,,,,AL,,,,"5.453,48",,,,,,"3.322,21",,,,,,"8.775,69",,,,,,,"63.539,58",,,,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,"413,35",,,,,,-,,,,,,"413,35",,,,,,,"2.535,44",,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,"456,11",,,,,,-,,,,,,"456,11",,,,,,,"2.797,73",,,,,,,,,
VICOSA-AL,,,,,AL,,,,"384,85",,,,,,-,,,,,,"384,85",,,,,,,"2.360,60",,,,,,,,,
COARI-AM,,,,,AM,,,,"408.402,44",,,,,,"388.599,37",,,,,,"797.001,81",,,,,,,"4.709.792,06",,,,,,,,,
CODAJAS-AM,,,,,AM,,,,-,,,,,,-,,,,,,-,,,,,,,"37.053,96",,,,,,,,,
MANAUS-AM,,,,,AM,,,,"13.700,63",,,,,,"114.544,71",,,,,,"128.245,34",,,,,,,"749.057,01",,,,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
ADUSTINA-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
AGUA FRIA-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
AIQUARA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,"86.766,61",,,,,,"45.398,96",,,,,,"132.165,57",,,,,,,"819.419,59",,,,,,,,,
AMARGOSA-BA,,,,,BA,,,,"27,70",,,,,,-,,,,,,"27,70",,,,,,,"180,78",,,,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
ANAGE-BA,,,,,BA,,,,"30,67",,,,,,-,,,,,,"30,67",,,,,,,"200,44",,,,,,,,,
ANGUERA-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
ANTAS-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
APORA-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
APUAREMA-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
ARACAS-BA,,,,,BA,,,,"32.591,92",,,,,,"12.072,95",,,,,,"44.664,87",,,,,,,"268.942,64",,,,,,,,,
ARACI-BA,,,,,BA,,,,"31,66",,,,,,-,,,,,,"31,66",,,,,,,"206,73",,,,,,,,,
ARAMARI-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,"19,79",,,,,,-,,,,,,"19,79",,,,,,,"129,13",,,,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,"25,73",,,,,,-,,,,,,"25,73",,,,,,,"167,79",,,,,,,,,
BANZAE-BA,,,,,BA,,,,"20,78",,,,,,-,,,,,,"20,78",,,,,,,"135,49",,,,,,,,,
BARRA DO CHOCA-BA,,,,,BA,,,,"29,68",,,,,,-,,,,,,"29,68",,,,,,,"193,76",,,,,,,,,
BELO CAMPO-BA,,,,,BA,,,,"22,76",,,,,,-,,,,,,"22,76",,,,,,,"148,47",,,,,,,,,
BIRITINGA-BA,,,,,BA,,,,"21,77",,,,,,-,,,,,,"21,77",,,,,,,"142,13",,,,,,,,,
