ANADIA-AL,,,,,,,,,AL,,,,"815,20",,,,,,,,,-,,,,,,"815,20",,,,,,,,,"4.155,71",,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,,"1.086,94",,,,,,,,,-,,,,,,"1.086,94",,,,,,,,,"5.540,95",,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,,"747,27",,,,,,,,,-,,,,,,"747,27",,,,,,,,,"3.809,40",,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,,"679,34",,,,,,,,,-,,,,,,"679,34",,,,,,,,,"3.463,10",,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,,"917,10",,,,,,,,,-,,,,,,"917,10",,,,,,,,,"4.675,17",,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,,"713,30",,,,,,,,,-,,,,,,"713,30",,,,,,,,,"3.636,24",,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,,"883,14",,,,,,,,,-,,,,,,"883,14",,,,,,,,,"4.502,01",,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,,"679,34",,,,,,,,,-,,,,,,"679,34",,,,,,,,,"3.463,10",,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,,"1.052,97",,,,,,,,,-,,,,,,"1.052,97",,,,,,,,,"5.367,80",,,,,,,
CAPELA-AL,,,,,,,,,AL,,,,"815,20",,,,,,,,,-,,,,,,"815,20",,,,,,,,,"4.155,71",,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,,"679,34",,,,,,,,,-,,,,,,"679,34",,,,,,,,,"3.463,10",,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,,"849,17",,,,,,,,,-,,,,,,"849,17",,,,,,,,,"4.328,87",,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,,"781,00",,,,,,,,,"65,57",,,,,,"846,57",,,,,,,,,"4.879,95",,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,,"797.538,85",,,,,,,,,"55.636,40",,,,,,"853.175,25",,,,,,,,,"3.752.273,45",,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,,"24.417,06",,,,,,,,,"34.122,85",,,,,,"58.539,91",,,,,,,,,"298.422,11",,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,,"713,30",,,,,,,,,-,,,,,,"713,30",,,,,,,,,"3.636,24",,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,,"781,24",,,,,,,,,-,,,,,,"781,24",,,,,,,,,"3.982,56",,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,,"883,14",,,,,,,,,-,,,,,,"883,14",,,,,,,,,"4.502,01",,,,,,,
