SANTA LUZIA DO NORTE-AL,,,,AL,,,,"20.575,43",,,,,,-,,,,,,"20.575,43",,,,,,,"122.714,14",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,"406,09",,,,,,-,,,,,,"406,09",,,,,,,"2.306,85",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,"479,92",,,,,,-,,,,,,"479,92",,,,,,,"2.726,27",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,"516,84",,,,,,-,,,,,,"516,84",,,,,,,"2.935,98",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,"61.326,26",,,,,,"22.212,37",,,,,,"83.538,63",,,,,,,"514.610,47",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,"369,17",,,,,,-,,,,,,"369,17",,,,,,,"2.097,12",,,,,,,,,,
SATUBA-AL,,,,AL,,,,"4.655,57",,,,,,"2.752,82",,,,,,"7.408,39",,,,,,,"36.142,85",,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,"535,30",,,,,,-,,,,,,"535,30",,,,,,,"3.040,84",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,"590,67",,,,,,-,,,,,,"590,67",,,,,,,"3.355,40",,,,,,,,,,
VICOSA-AL,,,,AL,,,,"498,38",,,,,,-,,,,,,"498,38",,,,,,,"2.831,14",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,-,,,,,,"13.469,90",,,,,,"13.469,90",,,,,,,"125.270,57",,,,,,,,,,
COARI-AM,,,,AM,,,,"806.681,99",,,,,,"717.728,62",,,,,,"1.524.410,61",,,,,,,"8.780.815,02",,,,,,,,,,
IRANDUBA-AM,,,,AM,,,,-,,,,,,"13.469,90",,,,,,"13.469,90",,,,,,,"125.270,57",,,,,,,,,,
MANAUS-AM,,,,AM,,,,"20.206,26",,,,,,"40.409,70",,,,,,"60.615,96",,,,,,,"258.240,10",,,,,,,,,,
ACAJUTIBA-BA,,,,BA,,,,"31,38",,,,,,-,,,,,,"31,38",,,,,,,"189,78",,,,,,,,,,
ADUSTINA-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
AGUAFRIA-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
AIQUARA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
ALAGOINHAS-BA,,,,BA,,,,"115.122,23",,,,,,"59.138,51",,,,,,"174.260,74",,,,,,,"1.153.343,48",,,,,,,,,,
AMARGOSA-BA,,,,BA,,,,"39,93",,,,,,-,,,,,,"39,93",,,,,,,"241,53",,,,,,,,,,
AMELIA RODRIGUES-BA,,,,BA,,,,"37,08",,,,,,-,,,,,,"37,08",,,,,,,"224,28",,,,,,,,,,
ANAGE-BA,,,,BA,,,,"44,21",,,,,,-,,,,,,"44,21",,,,,,,"267,41",,,,,,,,,,
ANGUERA-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
ANTAS-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
ANTONIO CARDOSO-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
APORA-BA,,,,BA,,,,"32,80",,,,,,-,,,,,,"32,80",,,,,,,"198,40",,,,,,,,,,
APUAREMA-BA,,,,BA,,,,"29,95",,,,,,-,,,,,,"29,95",,,,,,,"181,16",,,,,,,,,,
ARACAS-BA,,,,BA,,,,"49.145,59",,,,,,"17.161,30",,,,,,"66.306,89",,,,,,,"391.422,40",,,,,,,,,,
ARACI-BA,,,,BA,,,,"45,64",,,,,,-,,,,,,"45,64",,,,,,,"276,05",,,,,,,,,,
ARAMARI-BA,,,,BA,,,,"28,52",,,,,,-,,,,,,"28,52",,,,,,,"172,50",,,,,,,,,,
