ANADIA-AL,,,,,,,,,AL,,,"766,73",,,,,,,-,,,,,,,"766,73",,,,,,,,,,"2.349,36",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,,"990,36",,,,,,,-,,,,,,,"990,36",,,,,,,,,,"3.034,59",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,,"734,78",,,,,,,-,,,,,,,"734,78",,,,,,,,,,"2.251,47",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,,"862,57",,,,,,,-,,,,,,,"862,57",,,,,,,,,,"2.643,03",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,,"670,89",,,,,,,-,,,,,,,"670,89",,,,,,,,,,"2.055,70",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,,"830,62",,,,,,,-,,,,,,,"830,62",,,,,,,,,,"2.545,13",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,,"1.022,31",,,,,,,-,,,,,,,"1.022,31",,,,,,,,,,"3.132,49",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,,"766,73",,,,,,,-,,,,,,,"766,73",,,,,,,,,,"2.349,36",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,,"830,62",,,,,,,-,,,,,,,"830,62",,,,,,,,,,"2.545,13",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,,"100.502,05",,,,,,,"299,82",,,,,,,"100.801,87",,,,,,,,,,"297.213,79",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,,"1.992.988,63",,,,,,,"75.570,69",,,,,,,"2.068.559,32",,,,,,,,,,"6.131.987,29",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,,"23.112,62",,,,,,,"32.299,89",,,,,,,"55.412,51",,,,,,,,,,"169.791,27",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,,"702,84",,,,,,,-,,,,,,,"702,84",,,,,,,,,,"2.153,59",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,,"734,78",,,,,,,-,,,,,,,"734,78",,,,,,,,,,"2.251,47",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,,"830,62",,,,,,,-,,,,,,,"830,62",,,,,,,,,,"2.545,13",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,,"4.836,53",,,,,,,"1.736,15",,,,,,,"6.572,68",,,,,,,,,,"16.321,39",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,,"830,62",,,,,,,-,,,,,,,"830,62",,,,,,,,,,"2.545,13",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,,"830,62",,,,,,,-,,,,,,,"830,62",,,,,,,,,,"2.545,13",,,,,,,,,,
MACEIO-AL,,,,,,,,,AL,,,"118.492,33",,,,,,,"24.988,95",,,,,,,"143.481,28",,,,,,,,,,"423.939,51",,,,,,,,,,
MARAGOGI-AL,,,,,,,,,AL,,,"894,52",,,,,,,-,,,,,,,"894,52",,,,,,,,,,"2.740,92",,,,,,,,,,
MARECHAL DEODORO-AL,,,,,,,,,AL,,,"36.785,51",,,,,,,"31.734,39",,,,,,,"68.519,90",,,,,,,,,,"245.812,67",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,,,,AL,,,"830,62",,,,,,,-,,,,,,,"830,62",,,,,,,,,,"2.545,13",,,,,,,,,,
MESSIAS-AL,,,,,,,,,AL,,,"734,78",,,,,,,-,,,,,,,"734,78",,,,,,,,,,"2.251,47",,,,,,,,,,
MURICI-AL,,,,,,,,,AL,,,"3.110,89",,,,,,,"1.450,16",,,,,,,"4.561,05",,,,,,,,,,"13.621,38",,,,,,,,,,
NOVO LINO-AL,,,,,,,,,AL,,,"702,84",,,,,,,-,,,,,,,"702,84",,,,,,,,,,"2.153,59",,,,,,,,,,
PARIPUEIRA-AL,,,,,,,,,AL,,,"670,89",,,,,,,"8.646,52",,,,,,,"9.317,41",,,,,,,,,,"29.774,21",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,,,,AL,,,"734,78",,,,,,,-,,,,,,,"734,78",,,,,,,,,,"2.251,47",,,,,,,,,,
PIACABUCU-AL,,,,,,,,,AL,,,"766,73",,,,,,,-,,,,,,,"766,73",,,,,,,,,,"2.349,36",,,,,,,,,,
PILAR-AL,,,,,,,,,AL,,,"158.347,24",,,,,,,"101.536,40",,,,,,,"259.883,64",,,,,,,,,,"891.848,04",,,,,,,,,,
PINDOBA-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,,AL,,,"862,57",,,,,,,-,,,,,,,"862,57",,,,,,,,,,"2.643,03",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,,AL,,,"638,94",,,,,,,-,,,,,,,"638,94",,,,,,,,,,"1.957,80",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,,AL,,,"798,68",,,,,,,-,,,,,,,"798,68",,,,,,,,,,"2.447,25",,,,,,,,,,
RIO LARGO-AL,,,,,,,,,AL,,,"8.797,09",,,,,,,"4.973,52",,,,,,,"13.770,61",,,,,,,,,,"38.724,70",,,,,,,,,,
ROTEIRO-AL,,,,,,,,,AL,,,"1.954.612,30",,,,,,,"1.543,96",,,,,,,"1.956.156,26",,,,,,,,,,"5.790.794,94",,,,,,,,,,
