RIO LARGO,,,,AL,,,,,"3.436,27",,,,,,,,"1.658,19",,,,,,,"5.094,46",,,,,,,,"22.310,93",,,,,,,,,
ROTEIRO,,,,AL,,,,,"1.076,66",,,,,,,,"356,14",,,,,,,"1.432,80",,,,,,,,"6.597,64",,,,,,,,,
SANTA LUZIA DO NORTE,,,,AL,,,,,"524,50",,,,,,,,-,,,,,,,"524,50",,,,,,,,"2.450,98",,,,,,,,,
SANTANA DO MUNDAU,,,,AL,,,,,"550,73",,,,,,,,-,,,,,,,"550,73",,,,,,,,"2.573,53",,,,,,,,,
SAO JOSE DA LAJE,,,,AL,,,,,"681,86",,,,,,,,-,,,,,,,"681,86",,,,,,,,"3.186,28",,,,,,,,,
SAO LUIS DO QUITUNDE,,,,AL,,,,,"734,31",,,,,,,,-,,,,,,,"734,31",,,,,,,,"3.431,39",,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS,,,,AL,,,,,"122.585,20",,,,,,,,"43.028,35",,,,,,,"165.613,55",,,,,,,,"797.642,75",,,,,,,,,
SAO MIGUEL DOS MILAGRES,,,,AL,,,,,"524,50",,,,,,,,-,,,,,,,"524,50",,,,,,,,"2.450,98",,,,,,,,,
SATUBA,,,,AL,,,,,"68.502,36",,,,,,,,"43.811,88",,,,,,,"112.314,24",,,,,,,,"429.986,00",,,,,,,,,
TEOTONIO VILELA,,,,AL,,,,,"786,76",,,,,,,,-,,,,,,,"786,76",,,,,,,,"3.676,47",,,,,,,,,
UNIAO DOS PALMARES,,,,AL,,,,,"865,44",,,,,,,,-,,,,,,,"865,44",,,,,,,,"4.044,13",,,,,,,,,
VICOSA,,,,AL,,,,,"708,08",,,,,,,,-,,,,,,,"708,08",,,,,,,,"3.308,83",,,,,,,,,
ANAMA,,,,AM,,,,,-,,,,,,,,"2.412,09",,,,,,,"2.412,09",,,,,,,,"12.481,36",,,,,,,,,
ANORI,,,,AM,,,,,-,,,,,,,,"2.412,09",,,,,,,"2.412,09",,,,,,,,"12.481,36",,,,,,,,,
AUTAZES,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
BERURI,,,,AM,,,,,-,,,,,,,,"2.412,09",,,,,,,"2.412,09",,,,,,,,"12.481,36",,,,,,,,,
CAREIRO DA VARZEA,,,,AM,,,,,-,,,,,,,,"5.972,99",,,,,,,"5.972,99",,,,,,,,"29.636,29",,,,,,,,,
