ANADIA-AL,,,,,AL,,,,"89,66",,,,,,,,,-,,,,,,"89,66",,,,,,,,,"1.106,64",,,,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"112,07",,,,,,,,,-,,,,,,"112,07",,,,,,,,,"1.383,30",,,,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"74,71",,,,,,,,,-,,,,,,"74,71",,,,,,,,,"922,19",,,,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"74,71",,,,,,,,,-,,,,,,"74,71",,,,,,,,,"922,19",,,,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"97,13",,,,,,,,,-,,,,,,"97,13",,,,,,,,,"1.198,86",,,,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"74,71",,,,,,,,,-,,,,,,"74,71",,,,,,,,,"922,19",,,,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"89,66",,,,,,,,,-,,,,,,"89,66",,,,,,,,,"1.106,64",,,,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"74,71",,,,,,,,,-,,,,,,"74,71",,,,,,,,,"922,19",,,,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"112,07",,,,,,,,,-,,,,,,"112,07",,,,,,,,,"1.383,30",,,,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"97,13",,,,,,,,,-,,,,,,"97,13",,,,,,,,,"1.198,86",,,,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"74,71",,,,,,,,,-,,,,,,"74,71",,,,,,,,,"922,19",,,,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"89,66",,,,,,,,,-,,,,,,"89,66",,,,,,,,,"1.106,64",,,,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"657,40",,,,,,,,,-,,,,,,"657,40",,,,,,,,,"34.201,97",,,,,,,,,,,,
CORURIPE-AL,,,,,AL,,,,"37.928,34",,,,,,,,,"15.374,48",,,,,,"53.302,82",,,,,,,,,"150.282,40",,,,,,,,,,,,
FELIZ DESERTO-AL,,,,,AL,,,,"17.825,95",,,,,,,,,"14.705,01",,,,,,"32.530,96",,,,,,,,,"77.006,38",,,,,,,,,,,,
FLEXEIRAS-AL,,,,,AL,,,,"82,18",,,,,,,,,-,,,,,,"82,18",,,,,,,,,"1.014,41",,,,,,,,,,,,
IBATEGUARA-AL,,,,,AL,,,,"85,92",,,,,,,,,-,,,,,,"85,92",,,,,,,,,"1.060,52",,,,,,,,,,,,
IGREJA NOVA-AL,,,,,AL,,,,"93,39",,,,,,,,,-,,,,,,"93,39",,,,,,,,,"1.152,74",,,,,,,,,,,,
