ANADIA-AL,,,,,,,AL,,"789,21",,,,,,-,,,,,"789,21",,,,,,"789,21",,,,,,,,
ATALAIA-AL,,,,,,,AL,,"1.019,39",,,,,,-,,,,,"1.019,39",,,,,,"1.019,39",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,AL,,"756,32",,,,,,-,,,,,"756,32",,,,,,"756,32",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,AL,,"657,67",,,,,,-,,,,,"657,67",,,,,,"657,67",,,,,,,,
BOCA DA MATA-AL,,,,,,,AL,,"887,86",,,,,,-,,,,,"887,86",,,,,,"887,86",,,,,,,,
BRANQUINHA-AL,,,,,,,AL,,"690,56",,,,,,-,,,,,"690,56",,,,,,"690,56",,,,,,,,
CAJUEIRO-AL,,,,,,,AL,,"854,97",,,,,,-,,,,,"854,97",,,,,,"854,97",,,,,,,,
CAMPESTRE-AL,,,,,,,AL,,"657,67",,,,,,-,,,,,"657,67",,,,,,"657,67",,,,,,,,
CAMPO ALEGRE-AL,,,,,,,AL,,"1.052,28",,,,,,-,,,,,"1.052,28",,,,,,"1.052,28",,,,,,,,
CAPELA-AL,,,,,,,AL,,"789,21",,,,,,-,,,,,"789,21",,,,,,"789,21",,,,,,,,
CHA PRETA-AL,,,,,,,AL,,"657,67",,,,,,-,,,,,"657,67",,,,,,"657,67",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,AL,,"854,97",,,,,,-,,,,,"854,97",,,,,,"854,97",,,,,,,,
COQUEIRO SECO-AL,,,,,,,AL,,"93.500,86",,,,,,"306,82",,,,,"93.807,68",,,,,,"93.807,68",,,,,,,,
CORURIPE-AL,,,,,,,AL,,"1.897.607,30",,,,,,"77.396,74",,,,,"1.975.004,04",,,,,,"1.975.004,04",,,,,,,,
FELIZ DESERTO-AL,,,,,,,AL,,"23.790,18",,,,,,"33.246,78",,,,,"57.036,96",,,,,,"57.036,96",,,,,,,,
FLEXEIRAS-AL,,,,,,,AL,,"723,44",,,,,,-,,,,,"723,44",,,,,,"723,44",,,,,,,,
IBATEGUARA-AL,,,,,,,AL,,"756,32",,,,,,-,,,,,"756,32",,,,,,"756,32",,,,,,,,
