ANADIA-AL,,,,,,AL,,,"790,10",,,,,,,,,-,,,,,,,,,"790,10",,,,,,,,,,"2.256,58",,,,,,,,,
ATALAIA-AL,,,,,,AL,,,"1.053,46",,,,,,,,,-,,,,,,,,,"1.053,46",,,,,,,,,,"3.008,78",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,,"724,25",,,,,,,,,-,,,,,,,,,"724,25",,,,,,,,,,"2.068,53",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,,"888,86",,,,,,,,,-,,,,,,,,,"888,86",,,,,,,,,,"2.538,66",,,,,,,,,
BRANQUINHA-AL,,,,,,AL,,,"691,33",,,,,,,,,-,,,,,,,,,"691,33",,,,,,,,,,"1.974,51",,,,,,,,,
CAJUEIRO-AL,,,,,,AL,,,"855,94",,,,,,,,,-,,,,,,,,,"855,94",,,,,,,,,,"2.444,63",,,,,,,,,
CAMPESTRE-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,,"1.020,54",,,,,,,,,-,,,,,,,,,"1.020,54",,,,,,,,,,"2.914,76",,,,,,,,,
CAPELA-AL,,,,,,AL,,,"790,10",,,,,,,,,-,,,,,,,,,"790,10",,,,,,,,,,"2.256,58",,,,,,,,,
CHA PRETA-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,,"823,02",,,,,,,,,-,,,,,,,,,"823,02",,,,,,,,,,"2.350,61",,,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,,"2.472,65",,,,,,,,,"1.170,18",,,,,,,,,"3.642,83",,,,,,,,,,"7.982,88",,,,,,,,,
CORURIPE-AL,,,,,,AL,,,"919.204,54",,,,,,,,,"70.576,29",,,,,,,,,"989.780,83",,,,,,,,,,"3.079.356,44",,,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,,"23.665,04",,,,,,,,,"33.071,90",,,,,,,,,"56.736,94",,,,,,,,,,"162.045,75",,,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,,"691,33",,,,,,,,,-,,,,,,,,,"691,33",,,,,,,,,,"1.974,51",,,,,,,,,
IBATEGUARA-AL,,,,,,AL,,,"757,18",,,,,,,,,-,,,,,,,,,"757,18",,,,,,,,,,"2.162,57",,,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,,"855,94",,,,,,,,,-,,,,,,,,,"855,94",,,,,,,,,,"2.444,63",,,,,,,,,
JACUIPE-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
JAPARATINGA-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,AL,,,"691,33",,,,,,,,,-,,,,,,,,,"691,33",,,,,,,,,,"2.470,67",,,,,,,,,
JOAQUIM GOMES-AL,,,,,,AL,,,"855,94",,,,,,,,,-,,,,,,,,,"855,94",,,,,,,,,,"2.444,63",,,,,,,,,
JUNDIA-AL,,,,,,AL,,,"658,41",,,,,,,,,-,,,,,,,,,"658,41",,,,,,,,,,"1.880,48",,,,,,,,,
JUNQUEIRO-AL,,,,,,AL,,,"888,86",,,,,,,,,-,,,,,,,,,"888,86",,,,,,,,,,"2.538,66",,,,,,,,,
MACEIO-AL,,,,,,AL,,,"109.179,13",,,,,,,,,"41.836,33",,,,,,,,,"151.015,46",,,,,,,,,,"374.485,80",,,,,,,,,
MARAGOGI-AL,,,,,,AL,,,"888,86",,,,,,,,,-,,,,,,,,,"888,86",,,,,,,,,,"2.538,66",,,,,,,,,
MARECHAL DEODORO-AL,,,,,,AL,,,"106.580,62",,,,,,,,,"111.234,36",,,,,,,,,"217.814,98",,,,,,,,,,"672.934,09",,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,AL,,,"888,86",,,,,,,,,-,,,,,,,,,"888,86",,,,,,,,,,"2.538,66",,,,,,,,,
MESSIAS-AL,,,,,,AL,,,"757,18",,,,,,,,,-,,,,,,,,,"757,18",,,,,,,,,,"2.162,57",,,,,,,,,
MURICI-AL,,,,,,AL,,,"888,86",,,,,,,,,-,,,,,,,,,"888,86",,,,,,,,,,"2.538,66",,,,,,,,,
NOVO LINO-AL,,,,,,AL,,,"691,33",,,,,,,,,-,,,,,,,,,"691,33",,,,,,,,,,"1.974,51",,,,,,,,,
PARIPUEIRA-AL,,,,,,AL,,,"658,41",,,,,,,,,"10.889,60",,,,,,,,,"11.548,01",,,,,,,,,,"33.510,71",,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,AL,,,"724,25",,,,,,,,,-,,,,,,,,,"724,25",,,,,,,,,,"2.068,53",,,,,,,,,
PENEDO-AL,,,,,,AL,,,"1.086,38",,,,,,,,,-,,,,,,,,,"1.086,38",,,,,,,,,,"3.102,81",,,,,,,,,
PIACABUCU-AL,,,,,,AL,,,"790,10",,,,,,,,,-,,,,,,,,,"790,10",,,,,,,,,,"2.256,58",,,,,,,,,
