ANADIA-AL,,,,AL,,,,"311,47",,,,,,-,,,,,,"311,47",,,,,,,,"2.153,40",,,,,,,,,
ATALAIA-AL,,,,AL,,,,"389,34",,,,,,-,,,,,,"389,34",,,,,,,,"2.691,75",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,"259,56",,,,,,-,,,,,,"259,56",,,,,,,,"1.794,49",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,"259,56",,,,,,-,,,,,,"259,56",,,,,,,,"1.794,49",,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,"337,43",,,,,,-,,,,,,"337,43",,,,,,,,"2.332,85",,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,"259,56",,,,,,-,,,,,,"259,56",,,,,,,,"1.794,49",,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,"311,47",,,,,,-,,,,,,"311,47",,,,,,,,"2.153,40",,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,"259,56",,,,,,-,,,,,,"259,56",,,,,,,,"1.794,49",,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,"389,34",,,,,,-,,,,,,"389,34",,,,,,,,"2.691,75",,,,,,,,,
CAPELA-AL,,,,AL,,,,"337,43",,,,,,-,,,,,,"337,43",,,,,,,,"2.332,85",,,,,,,,,
CHA PRETA-AL,,,,AL,,,,"259,56",,,,,,-,,,,,,"259,56",,,,,,,,"1.794,49",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,"311,47",,,,,,-,,,,,,"311,47",,,,,,,,"2.153,40",,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,"259,58",,,,,,-,,,,,,"259,58",,,,,,,,"35.094,86",,,,,,,,,
CORURIPE-AL,,,,AL,,,,"29.090,01",,,,,,"13.085,22",,,,,,"42.175,23",,,,,,,,"293.977,55",,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,"9.145,79",,,,,,"12.532,00",,,,,,"21.677,79",,,,,,,,"149.901,87",,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,"285,51",,,,,,-,,,,,,"285,51",,,,,,,,"1.973,94",,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,"298,49",,,,,,-,,,,,,"298,49",,,,,,,,"2.063,66",,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,"324,45",,,,,,-,,,,,,"324,45",,,,,,,,"2.243,12",,,,,,,,,
JACUIPE-AL,,,,AL,,,,"259,56",,,,,,-,,,,,,"259,56",,,,,,,,"1.794,49",,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,"259,56",,,,,,-,,,,,,"259,56",,,,,,,,"1.794,49",,,,,,,,,
