ANADIA-AL,,,,AL,,,,,"461,98",,,,,-,,,,,,"461,98",,,,,,"3.920,92",,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"577,90",,,,,-,,,,,,"577,90",,,,,,"4.901,57",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"500,61",,,,,-,,,,,,"500,61",,,,,,"4.247,80",,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"461,98",,,,,-,,,,,,"461,98",,,,,,"3.920,92",,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"577,90",,,,,-,,,,,,"577,90",,,,,,"4.901,57",,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"500,61",,,,,-,,,,,,"500,61",,,,,,"4.247,80",,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"461,98",,,,,-,,,,,,"461,98",,,,,,"3.920,92",,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"45.287,33",,,,,"19.400,67",,,,,,"64.688,00",,,,,,"546.538,57",,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"13.570,87",,,,,"18.600,11",,,,,,"32.170,98",,,,,,"272.940,51",,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"423,33",,,,,-,,,,,,"423,33",,,,,,"3.594,03",,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"442,94",,,,,-,,,,,,"442,94",,,,,,"3.757,76",,,,,,,,,,
IGREJANOVA-AL,,,,AL,,,,,"481,58",,,,,-,,,,,,"481,58",,,,,,"4.084,64",,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"481,58",,,,,-,,,,,,"481,58",,,,,,"4.084,64",,,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"500,61",,,,,-,,,,,,"500,61",,,,,,"4.247,80",,,,,,,,,,
MACEIO-AL,,,,AL,,,,,"26.917,60",,,,,"15.994,45",,,,,,"42.912,05",,,,,,"355.023,56",,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"461,98",,,,,-,,,,,,"461,98",,,,,,"3.920,92",,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"60.700,70",,,,,"33.276,24",,,,,,"93.976,94",,,,,,"730.474,09",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"500,61",,,,,-,,,,,,"500,61",,,,,,"4.247,80",,,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"404,30",,,,,-,,,,,,"404,30",,,,,,"3.430,87",,,,,,,,,,
MURICI-AL,,,,AL,,,,,"500,61",,,,,-,,,,,,"500,61",,,,,,"4.247,80",,,,,,,,,,
NOVOLINO-AL,,,,AL,,,,,"404,30",,,,,-,,,,,,"404,30",,,,,,"3.430,87",,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"423,33",,,,,-,,,,,,"423,33",,,,,,"3.594,03",,,,,,,,,,
PENEDO-AL,,,,AL,,,,,"615,97",,,,,-,,,,,,"615,97",,,,,,"5.227,88",,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,,"442,94",,,,,-,,,,,,"442,94",,,,,,"3.757,76",,,,,,,,,,
PILAR-AL,,,,AL,,,,,"99.129,01",,,,,"48.747,54",,,,,,"147.876,55",,,,,,"1.188.013,78",,,,,,,,,,
PINDOBA-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,,"520,23",,,,,-,,,,,,"520,23",,,,,,"4.411,56",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,,"404,30",,,,,-,,,,,,"404,30",,,,,,"3.430,87",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"461,98",,,,,-,,,,,,"461,98",,,,,,"3.920,92",,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"7.065,87",,,,,"4.147,54",,,,,,"11.213,41",,,,,,"49.065,16",,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"626,61",,,,,"155,66",,,,,,"782,27",,,,,,"7.565,72",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"23.397,43",,,,,-,,,,,,"23.397,43",,,,,,"195.196,13",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,AL,,,,,"423,33",,,,,-,,,,,,"423,33",,,,,,"3.594,03",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,AL,,,,,"500,61",,,,,-,,,,,,"500,61",,,,,,"4.247,80",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,AL,,,,,"539,26",,,,,-,,,,,,"539,26",,,,,,"4.574,69",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,AL,,,,,"66.727,90",,,,,"23.650,35",,,,,,"90.378,25",,,,,,"796.697,74",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,AL,,,,,"385,27",,,,,-,,,,,,"385,27",,,,,,"3.267,71",,,,,,,,,,
SATUBA-AL,,,,AL,,,,,"5.901,97",,,,,"3.546,00",,,,,,"9.447,97",,,,,,"65.189,08",,,,,,,,,,
TEOTONIO VILELA-AL,,,,AL,,,,,"558,29",,,,,-,,,,,,"558,29",,,,,,"4.737,85",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,AL,,,,,"615,97",,,,,-,,,,,,"615,97",,,,,,"5.227,88",,,,,,,,,,
VICOSA-AL,,,,AL,,,,,"520,23",,,,,-,,,,,,"520,23",,,,,,"4.411,56",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,AM,,,,,-,,,,,"12.841,45",,,,,,"12.841,45",,,,,,"171.520,85",,,,,,,,,,
COARI-AM,,,,AM,,,,,"801.137,94",,,,,"721.740,05",,,,,,"1.522.877,99",,,,,,"13.939.233,81",,,,,,,,,,
