ANADIA-AL,,,,,,,,AL,,"883,22",,,,,,,"0,66",,,,,,,"883,88",,,,,,"8.193,01",,,,,,,,,,
ATALAIA-AL,,,,,,,,AL,,"1.177,62",,,,,,,"0,88",,,,,,,"1.178,50",,,,,,"10.924,01",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,AL,,"809,61",,,,,,,"0,60",,,,,,,"810,21",,,,,,"7.510,23",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,AL,,"736,01",,,,,,,"0,55",,,,,,,"736,56",,,,,,"6.827,49",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,AL,,"993,62",,,,,,,"0,74",,,,,,,"994,36",,,,,,"9.217,15",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,AL,,"772,81",,,,,,,"0,58",,,,,,,"773,39",,,,,,"7.168,87",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,AL,,"956,82",,,,,,,"0,71",,,,,,,"957,53",,,,,,"8.875,75",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,AL,,"736,01",,,,,,,"0,55",,,,,,,"736,56",,,,,,"6.827,49",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,AL,,"1.140,82",,,,,,,"0,85",,,,,,,"1.141,67",,,,,,"10.582,65",,,,,,,,,,
CAPELA-AL,,,,,,,,AL,,"883,22",,,,,,,"0,66",,,,,,,"883,88",,,,,,"8.193,01",,,,,,,,,,
CHA PRETA-AL,,,,,,,,AL,,"736,01",,,,,,,"0,55",,,,,,,"736,56",,,,,,"6.827,49",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,AL,,"920,02",,,,,,,"0,69",,,,,,,"920,71",,,,,,"8.534,39",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,AL,,"736,01",,,,,,,"0,55",,,,,,,"736,56",,,,,,"19.526,97",,,,,,,,,,
CORURIPE-AL,,,,,,,,AL,,"1.117.780,48",,,,,,,"74.157,01",,,,,,,"1.191.937,49",,,,,,"10.812.153,46",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,AL,,"26.454,18",,,,,,,"36.989,47",,,,,,,"63.443,65",,,,,,"588.313,28",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,AL,,"772,81",,,,,,,"0,58",,,,,,,"773,39",,,,,,"7.168,87",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,AL,,"846,42",,,,,,,"0,63",,,,,,,"847,05",,,,,,"7.851,63",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,AL,,"956,82",,,,,,,"0,71",,,,,,,"957,53",,,,,,"8.875,75",,,,,,,,,,
JACUIPE-AL,,,,,,,,AL,,"736,01",,,,,,,"0,55",,,,,,,"736,56",,,,,,"6.827,49",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,AL,,"736,01",,,,,,,"0,55",,,,,,,"736,56",,,,,,"6.827,49",,,,,,,,,,
