ANADIA-AL,,,,AL,,,,,"940,85",,,,,-,,,,,,"940,85",,,,,,"6.947,32",,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"1.215,27",,,,,-,,,,,,"1.215,27",,,,,,"8.973,66",,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"823,24",,,,,-,,,,,,"823,24",,,,,,"6.078,91",,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"784,04",,,,,-,,,,,,"784,04",,,,,,"5.789,43",,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"1.058,46",,,,,-,,,,,,"1.058,46",,,,,,"7.815,77",,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"823,24",,,,,-,,,,,,"823,24",,,,,,"6.078,91",,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"980,05",,,,,-,,,,,,"980,05",,,,,,"7.236,81",,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"784,04",,,,,-,,,,,,"784,04",,,,,,"5.789,43",,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"1.215,27",,,,,-,,,,,,"1.215,27",,,,,,"8.973,66",,,,,,,,,
CAPELA-AL,,,,AL,,,,,"980,05",,,,,-,,,,,,"980,05",,,,,,"7.236,81",,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"784,04",,,,,-,,,,,,"784,04",,,,,,"5.789,43",,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"940,85",,,,,-,,,,,,"940,85",,,,,,"6.947,32",,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"1.025,32",,,,,"155,62",,,,,,"1.180,94",,,,,,"9.852,94",,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"1.342.668,90",,,,,"83.323,55",,,,,,"1.425.992,45",,,,,,"10.536.864,56",,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"28.456,26",,,,,"39.002,86",,,,,,"67.459,12",,,,,,"498.125,62",,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"823,24",,,,,-,,,,,,"823,24",,,,,,"6.078,91",,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"901,65",,,,,-,,,,,,"901,65",,,,,,"6.657,86",,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"1.019,25",,,,,-,,,,,,"1.019,25",,,,,,"7.526,28",,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"784,04",,,,,-,,,,,,"784,04",,,,,,"5.789,43",,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"784,04",,,,,-,,,,,,"784,04",,,,,,"5.789,43",,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,,"862,45",,,,,-,,,,,,"862,45",,,,,,"25.839,68",,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"1.019,25",,,,,-,,,,,,"1.019,25",,,,,,"7.526,28",,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"784,04",,,,,-,,,,,,"784,04",,,,,,"5.789,43",,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"1.019,25",,,,,-,,,,,,"1.019,25",,,,,,"7.526,28",,,,,,,,,
MACEIO-AL,,,,AL,,,,,"99.485,27",,,,,"21.037,28",,,,,,"120.522,55",,,,,,"978.056,14",,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"1.019,25",,,,,-,,,,,,"1.019,25",,,,,,"7.526,28",,,,,,,,,
