PORTO DE PEDRAS-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,AL,,,,,"770,90",,,,,,,,,-,,,,,,,,,"770,90",,,,,,"9.066,35",,,,,,,
RIO LARGO-AL,,,,,AL,,,,,"14.217,58",,,,,,,,,"8.513,99",,,,,,,,,"22.731,57",,,,,,"214.195,11",,,,,,,
ROTEIRO-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"14.173,14",,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,AL,,,,,"1.806,31",,,,,,,,,"767,29",,,,,,,,,"2.573,60",,,,,,"30.014,17",,,,,,,
SANTANA DO MUNDAU-AL,,,,,AL,,,,,"647,56",,,,,,,,,-,,,,,,,,,"647,56",,,,,,"7.615,75",,,,,,,
SAO JOSE DA LAJE-AL,,,,,AL,,,,,"801,74",,,,,,,,,-,,,,,,,,,"801,74",,,,,,"9.429,02",,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,AL,,,,,"863,41",,,,,,,,,-,,,,,,,,,"863,41",,,,,,"10.154,33",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,AL,,,,,"329.437,78",,,,,,,,,"229.843,21",,,,,,,,,"559.280,99",,,,,,"6.386.382,06",,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,AL,,,,,"616,72",,,,,,,,,-,,,,,,,,,"616,72",,,,,,"7.253,06",,,,,,,
SATUBA-AL,,,,,AL,,,,,"511.575,26",,,,,,,,,"18.647,46",,,,,,,,,"530.222,72",,,,,,"1.813.342,97",,,,,,,
TEOTONIO VILELA-AL,,,,,AL,,,,,"925,08",,,,,,,,,-,,,,,,,,,"925,08",,,,,,"10.879,64",,,,,,,
UNIAO DOS PALMARES-AL,,,,,AL,,,,,"1.017,59",,,,,,,,,-,,,,,,,,,"1.017,59",,,,,,"11.967,61",,,,,,,
VICOSA-AL,,,,,AL,,,,,"832,57",,,,,,,,,-,,,,,,,,,"832,57",,,,,,"9.791,66",,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,"1.999.186,63",,,,,,,,,"612.373,70",,,,,,,,,"2.611.560,33",,,,,,"28.084.424,95",,,,,,,
ANAMA-AM,,,,,AM,,,,,-,,,,,,,,,"2.417,96",,,,,,,,,"2.417,96",,,,,,"26.251,50",,,,,,,
ANORI-AM,,,,,AM,,,,,-,,,,,,,,,"2.417,96",,,,,,,,,"2.417,96",,,,,,"26.251,50",,,,,,,
AUTAZES-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
BERURI-AM,,,,,AM,,,,,-,,,,,,,,,"2.417,96",,,,,,,,,"2.417,96",,,,,,"26.251,50",,,,,,,
CAREIRO DA VARZEA-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
CAREIRO-AM,,,,,AM,,,,,-,,,,,,,,,"2.417,96",,,,,,,,,"2.417,96",,,,,,"26.251,50",,,,,,,
COARI-AM,,,,,AM,,,,,"1.689.744,01",,,,,,,,,"1.726.841,92",,,,,,,,,"3.416.585,93",,,,,,"38.845.088,10",,,,,,,
CODAJAS-AM,,,,,AM,,,,,-,,,,,,,,,"2.417,96",,,,,,,,,"2.417,96",,,,,,"26.251,50",,,,,,,
IRANDUBA-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
ITACOATIARA-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
ITAPIRANGA-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
MANACAPURU-AM,,,,,AM,,,,,-,,,,,,,,,"2.417,96",,,,,,,,,"2.417,96",,,,,,"26.251,50",,,,,,,
MANAQUIRI-AM,,,,,AM,,,,,-,,,,,,,,,"2.417,96",,,,,,,,,"2.417,96",,,,,,"26.251,50",,,,,,,
MANAUS-AM,,,,,AM,,,,,"762.902,85",,,,,,,,,"88.044,50",,,,,,,,,"850.947,35",,,,,,"9.760.756,45",,,,,,,
PARINTINS-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
SILVES-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
URUCARA-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
URUCURITUBA-AM,,,,,AM,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,81",,,,,,,
AMAZONAS  TOTAL,,,,,,,,,,"2.452.646,86",,,,,,,,,"1.893.434,33",,,,,,,,,"4.346.081,19",,,,,,"49.458.114,10",,,,,,,
LARANJAL DO JARI-AP,,,,,AP,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
MACAPA-AP,,,,,AP,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
MAZAGAO-AP,,,,,AP,,,,,-,,,,,,,,,"6.846,91",,,,,,,,,"6.846,91",,,,,,"74.278,78",,,,,,,
AMAPA  TOTAL,,,,,,,,,,-,,,,,,,,,"20.540,73",,,,,,,,,"20.540,73",,,,,,"222.836,34",,,,,,,
ACAJUTIBA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
ADUSTINA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
AGUA FRIA-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
AIQUARA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
ALAGOINHAS-BA,,,,,BA,,,,,"311.928,47",,,,,,,,,"175.032,92",,,,,,,,,"486.961,39",,,,,,"4.953.736,48",,,,,,,
ALCOBACA-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"6.999,70",,,,,,,
ALMADINA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.384,36",,,,,,,
AMARGOSA-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.693,07",,,,,,,
AMELIA RODRIGUES-BA,,,,,BA,,,,,"793,46",,,,,,,,,-,,,,,,,,,"793,46",,,,,,"7.418,32",,,,,,,
ANAGE-BA,,,,,BA,,,,,"822,84",,,,,,,,,-,,,,,,,,,"822,84",,,,,,"7.693,07",,,,,,,
ANGUERA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
ANTAS-BA,,,,,BA,,,,,"675,90",,,,,,,,,-,,,,,,,,,"675,90",,,,,,"6.319,30",,,,,,,
ANTONIO CARDOSO-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.769,82",,,,,,,
APORA-BA,,,,,BA,,,,,"705,30",,,,,,,,,-,,,,,,,,,"705,30",,,,,,"6.594,05",,,,,,,
APUAREMA-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
ARACAS-BA,,,,,BA,,,,,"285.269,13",,,,,,,,,"148.555,01",,,,,,,,,"433.824,14",,,,,,"4.255.178,48",,,,,,,
ARACI-BA,,,,,BA,,,,,"911,00",,,,,,,,,-,,,,,,,,,"911,00",,,,,,"8.517,34",,,,,,,
ARAMARI-BA,,,,,BA,,,,,"2.983,78",,,,,,,,,"1.006,33",,,,,,,,,"3.990,11",,,,,,"14.232,40",,,,,,,
ARATACA-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.653,61",,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARATUIPE-BA,,,,,BA,,,,,"587,74",,,,,,,,,-,,,,,,,,,"587,74",,,,,,"5.495,02",,,,,,,
AURELINO LEAL-BA,,,,,BA,,,,,"705,30",,,,,,,,,-,,,,,,,,,"705,30",,,,,,"6.461,25",,,,,,,
BAIXA GRANDE-BA,,,,,BA,,,,,"764,06",,,,,,,,,-,,,,,,,,,"764,06",,,,,,"7.143,57",,,,,,,
BANZAE-BA,,,,,BA,,,,,"617,14",,,,,,,,,-,,,,,,,,,"617,14",,,,,,"5.769,82",,,,,,,
