ANADIA-AL,,,,,AL,,,,"534,79",,,,,,,,,-,,,,,,,"534,79",,,,,,,,,"2.350,08",,,,,,,,,,
ATALAIA-AL,,,,,AL,,,,"690,78",,,,,,,,,-,,,,,,,"690,78",,,,,,,,,"3.035,54",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,AL,,,,"512,51",,,,,,,,,-,,,,,,,"512,51",,,,,,,,,"2.252,15",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
BOCA DA MATA-AL,,,,,AL,,,,"601,64",,,,,,,,,-,,,,,,,"601,64",,,,,,,,,"2.643,84",,,,,,,,,,
BRANQUINHA-AL,,,,,AL,,,,"467,94",,,,,,,,,-,,,,,,,"467,94",,,,,,,,,"2.056,30",,,,,,,,,,
CAJUEIRO-AL,,,,,AL,,,,"579,36",,,,,,,,,-,,,,,,,"579,36",,,,,,,,,"2.545,92",,,,,,,,,,
CAMPESTRE-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,AL,,,,"713,06",,,,,,,,,-,,,,,,,"713,06",,,,,,,,,"3.133,45",,,,,,,,,,
CAPELA-AL,,,,,AL,,,,"534,79",,,,,,,,,-,,,,,,,"534,79",,,,,,,,,"2.350,08",,,,,,,,,,
CHA PRETA-AL,,,,,AL,,,,"445,66",,,,,,,,,-,,,,,,,"445,66",,,,,,,,,"1.958,40",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,AL,,,,"579,36",,,,,,,,,-,,,,,,,"579,36",,,,,,,,,"2.545,92",,,,,,,,,,
COQUEIRO SECO-AL,,,,,AL,,,,"70.693,55",,,,,,,,,"250,28",,,,,,,"70.943,83",,,,,,,,,"335.237,87",,,,,,,,,,
