PILAR-AL,,,,,,,,AL,,,"77.012,63",,,,,,,,"49.051,29",,,,,,,"126.063,92",,,,,,,,,,"428.275,00",,,,,,,,,,
PINDOBA-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
PORTO CALVO-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,,,,,AL,,,"723,08",,,,,,,,-,,,,,,,"723,08",,,,,,,,,,"2.271,54",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,,,AL,,,"826,38",,,,,,,,-,,,,,,,"826,38",,,,,,,,,,"2.596,05",,,,,,,,,,
RIO LARGO-AL,,,,,,,,AL,,,"12.733,10",,,,,,,,"7.457,76",,,,,,,"20.190,86",,,,,,,,,,"62.796,56",,,,,,,,,,
ROTEIRO-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.588,15",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,,,AL,,,"32.160,51",,,,,,,,"275,15",,,,,,,"32.435,66",,,,,,,,,,"96.935,37",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,,,AL,,,"723,08",,,,,,,,-,,,,,,,"723,08",,,,,,,,,,"2.271,54",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,,,AL,,,"895,24",,,,,,,,-,,,,,,,"895,24",,,,,,,,,,"2.812,38",,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,,,AL,,,"964,11",,,,,,,,-,,,,,,,"964,11",,,,,,,,,,"3.028,73",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,,,AL,,,"260.303,47",,,,,,,,"172.734,72",,,,,,,"433.038,19",,,,,,,,,,"1.374.698,04",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,,,AL,,,"688,65",,,,,,,,-,,,,,,,"688,65",,,,,,,,,,"2.163,38",,,,,,,,,,
SATUBA-AL,,,,,,,,AL,,,"404.986,86",,,,,,,,"11.062,80",,,,,,,"416.049,66",,,,,,,,,,"1.283.688,47",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEOTONIO VILELA-AL,,,,,,,,AL,,,"1.067,41",,,,,,,,-,,,,,,,"1.067,41",,,,,,,,,,"3.353,24",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,,,AL,,,"1.136,27",,,,,,,,-,,,,,,,"1.136,27",,,,,,,,,,"3.569,58",,,,,,,,,,
VICOSA-AL,,,,,,,,AL,,,"929,68",,,,,,,,-,,,,,,,"929,68",,,,,,,,,,"2.920,56",,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,,,,"2.011.213,30",,,,,,,,"409.345,16",,,,,,,"2.420.558,46",,,,,,,,,,"7.571.758,80",,,,,,,,,,
ANAMA-AM,,,,,,,,AM,,,-,,,,,,,,"1.668,22",,,,,,,"1.668,22",,,,,,,,,,"5.232,31",,,,,,,,,,
ANORI-AM,,,,,,,,AM,,,-,,,,,,,,"1.668,22",,,,,,,"1.668,22",,,,,,,,,,"5.232,31",,,,,,,,,,
AUTAZES-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
BERURI-AM,,,,,,,,AM,,,-,,,,,,,,"1.668,22",,,,,,,"1.668,22",,,,,,,,,,"5.232,31",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.466,07",,,,,,,,,,
CAREIRO-AM,,,,,,,,AM,,,-,,,,,,,,"1.668,22",,,,,,,"1.668,22",,,,,,,,,,"5.232,31",,,,,,,,,,
COARI-AM,,,,,,,,AM,,,"1.542.865,88",,,,,,,,"1.458.889,33",,,,,,,"3.001.755,21",,,,,,,,,,"8.775.801,83",,,,,,,,,,
CODAJAS-AM,,,,,,,,AM,,,-,,,,,,,,"1.668,22",,,,,,,"1.668,22",,,,,,,,,,"5.232,31",,,,,,,,,,
IRANDUBA-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.466,07",,,,,,,,,,
ITACOATIARA-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
ITAPIRANGA-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
MANACAPURU-AM,,,,,,,,AM,,,-,,,,,,,,"1.668,22",,,,,,,"1.668,22",,,,,,,,,,"5.232,31",,,,,,,,,,
MANAQUIRI-AM,,,,,,,,AM,,,-,,,,,,,,"1.668,22",,,,,,,"1.668,22",,,,,,,,,,"5.232,31",,,,,,,,,,
MANAUS-AM,,,,,,,,AM,,,"650.078,72",,,,,,,,"65.962,47",,,,,,,"716.041,19",,,,,,,,,,"2.185.679,15",,,,,,,,,,
PARINTINS-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
SILVES-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
URUCARA-AM,,,,,,,,AM,,,-,,,,,,,,"4.993,78",,,,,,,"4.993,78",,,,,,,,,,"14.465,49",,,,,,,,,,
