SANTA LUZIA DO NORTE-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"39.347,62",,,,,,,,,,
SANTANA DO MUNDAU-AL,,,AL,,,"378,37",,,,,-,,,,,,,"378,37",,,,,,,"2.274,84",,,,,,,,,,
SAO JOSE DA LAJE-AL,,,AL,,,"468,51",,,,,-,,,,,,,"468,51",,,,,,,"2.816,68",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,AL,,,"504,68",,,,,-,,,,,,,"504,68",,,,,,,"3.033,89",,,,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,AL,,,"79.244,55",,,,,"24.092,56",,,,,,,"103.337,11",,,,,,,"559.801,09",,,,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,AL,,,"360,57",,,,,-,,,,,,,"360,57",,,,,,,"2.167,38",,,,,,,,,,
SATUBA-AL,,,AL,,,"10.472,13",,,,,"6.498,99",,,,,,,"16.971,12",,,,,,,"114.410,27",,,,,,,,,,
TEOTONIO VILELA-AL,,,AL,,,"540,85",,,,,-,,,,,,,"540,85",,,,,,,"3.251,07",,,,,,,,,,
UNIAO DOS PALMARES-AL,,,AL,,,"594,82",,,,,-,,,,,,,"594,82",,,,,,,"3.575,73",,,,,,,,,,
VICOSA-AL,,,AL,,,"487,43",,,,,-,,,,,,,"487,43",,,,,,,"2.925,28",,,,,,,,,,
CAREIRO DA VARZEA-AM,,,AM,,,-,,,,,"3.720,37",,,,,,,"3.720,37",,,,,,,"45.442,98",,,,,,,,,,
COARI-AM,,,AM,,,"875.489,72",,,,,"740.957,70",,,,,,,"1.616.447,42",,,,,,,"8.674.730,18",,,,,,,,,,
IRANDUBA-AM,,,AM,,,-,,,,,"3.720,37",,,,,,,"3.720,37",,,,,,,"45.442,98",,,,,,,,,,
MANAUS-AM,,,AM,,,"38.224,32",,,,,"29.530,63",,,,,,,"67.754,95",,,,,,,"388.429,75",,,,,,,,,,
ACAJUTIBA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
ADUSTINA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
AGUA FRIA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
AIQUARA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ALAGOINHAS-BA,,,BA,,,"136.100,77",,,,,"69.655,54",,,,,,,"205.756,31",,,,,,,"1.024.615,64",,,,,,,,,,
AMARGOSA-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
AMELIA RODRIGUES-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
ANAGE-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
ANGUERA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ANTAS-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
ANTONIO CARDOSO-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
APORA-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
APUAREMA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ARACAS-BA,,,BA,,,"120.127,65",,,,,"54.169,53",,,,,,,"174.297,18",,,,,,,"918.971,32",,,,,,,,,,
ARACI-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
ARAMARI -BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ARATUIPE-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
BAIXA GRANDE-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
BANZAE-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
BARRA DO CHOCA-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
BARROCAS-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
BELO CAMPO-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
BIRITINGA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
BOA NOVA-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
BOA VISTA DO TUPIM-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
BOM JESUS DA SERRA-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
BREJOES-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
CAATIBA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
CABACEIRAS DO PARAGUACU-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
CACHOEIRA-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
CAEM-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
CAETANOS-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
CAMACARI-BA,,,BA,,,"510,75",,,,,"173,01",,,,,,,"683,76",,,,,,,"39.984,46",,,,,,,,,,
CANDEAL-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
CANDEIAS-BA,,,BA,,,"121.065,69",,,,,"102.679,22",,,,,,,"223.744,91",,,,,,,"1.566.281,28",,,,,,,,,,
CANDIDO SALES-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
CANSANCAO-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
CANUDOS-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPELA DO ALTO ALEGRE-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
CAPIM GROSSO-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
CARAVELAS-BA,,,BA,,,-,,,,,-,,,,,,,-,,,,,,,"69.605,28",,,,,,,,,,
CARDEAL DA SILVA-BA,,,BA,,,"58.854,27",,,,,"13.318,61",,,,,,,"72.172,88",,,,,,,"372.664,29",,,,,,,,,,
CASTRO ALVES-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
CATU-BA,,,BA,,,"108.574,23",,,,,"49.941,95",,,,,,,"158.516,18",,,,,,,"996.754,21",,,,,,,,,,
CICERO DANTAS-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
CIPO-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
CONCEICAO DA FEIRA-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
CONCEICAO DO ALMEIDA-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
CONCEICAO DO COITE-BA,,,BA,,,"81,72",,,,,-,,,,,,,"81,72",,,,,,,"468,53",,,,,,,,,,
CONCEICAO DO JACUIPE-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
CONDE-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
CORACAO DE MARIA-BA,,,BA,,,"64,33",,,,,-,,,,,,,"64,33",,,,,,,"368,94",,,,,,,,,,
CORONEL JOAO SA-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
CRAVOLANDIA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
CRISOPOLIS-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
CRUZ DAS ALMAS-BA,,,BA,,,"79,11",,,,,-,,,,,,,"79,11",,,,,,,"453,82",,,,,,,,,,
DARIO MEIRA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
DIAS D'AVILA-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
DOM MACEDO COSTA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ELISIO MEDRADO-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ENCRUZILHADA-BA,,,BA,,,"71,58",,,,,-,,,,,,,"71,58",,,,,,,"410,82",,,,,,,,,,
ENTRE RIOS-BA,,,BA,,,"114.034,02",,,,,"62.448,94",,,,,,,"176.482,96",,,,,,,"836.470,25",,,,,,,,,,
ESPLANADA-BA,,,BA,,,"182.575,68",,,,,"107.861,01",,,,,,,"290.436,69",,,,,,,"1.504.275,81",,,,,,,,,,
EUCLIDES DA CUNHA-BA,,,BA,,,"79,11",,,,,-,,,,,,,"79,11",,,,,,,"453,82",,,,,,,,,,
FATIMA-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
FEIRA DE SANTANA-BA,,,BA,,,"98,82",,,,,-,,,,,,,"98,82",,,,,,,"567,01",,,,,,,,,,
GAVIAO-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
GLORIA-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
GOVERNADOR MANGABEIRA-BA,,,BA,,,"59,41",,,,,-,,,,,,,"59,41",,,,,,,"340,65",,,,,,,,,,
HELIOPOLIS-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
IACU-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
IBIQUERA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ICHU-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
INHAMBUPE-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
IPECAETA-BA,,,BA,,,"61,73",,,,,-,,,,,,,"61,73",,,,,,,"354,25",,,,,,,,,,
IPIRA-BA,,,BA,,,"81,72",,,,,-,,,,,,,"81,72",,,,,,,"468,53",,,,,,,,,,
IRAJUBA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
IRARA-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
ITABERABA-BA,,,BA,,,"81,72",,,,,-,,,,,,,"81,72",,,,,,,"468,53",,,,,,,,,,
ITAGI-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
ITAMBE-BA,,,BA,,,"69,26",,,,,-,,,,,,,"69,26",,,,,,,"397,24",,,,,,,,,,
ITANAGRA-BA,,,BA,,,"50.356,40",,,,,"9.123,33",,,,,,,"59.479,73",,,,,,,"279.928,24",,,,,,,,,,
ITAPARICA-BA,,,BA,,,"1.709,78",,,,,"45.691,97",,,,,,,"47.401,75",,,,,,,"177.757,57",,,,,,,,,,
ITAPETINGA-BA,,,BA,,,"81,72",,,,,-,,,,,,,"81,72",,,,,,,"468,53",,,,,,,,,,
ITAPICURU-BA,,,BA,,,"66,65",,,,,-,,,,,,,"66,65",,,,,,,"382,51",,,,,,,,,,
ITAQUARA-BA,,,BA,,,"49,26",,,,,-,,,,,,,"49,26",,,,,,,"282,93",,,,,,,,,,
ITARANTIM-BA,,,BA,,,"56,80",,,,,-,,,,,,,"56,80",,,,,,,"325,94",,,,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITATIM-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
ITIRUCU-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
ITIUBA-BA,,,BA,,,"71,58",,,,,-,,,,,,,"71,58",,,,,,,"410,82",,,,,,,,,,
JACOBINA-BA,,,BA,,,"86,36",,,,,-,,,,,,,"86,36",,,,,,,"495,71",,,,,,,,,,
JAGUAQUARA-BA,,,BA,,,"76,51",,,,,-,,,,,,,"76,51",,,,,,,"439,13",,,,,,,,,,
JAGUARIPE-BA,,,BA,,,"54,48",,,,,-,,,,,,,"54,48",,,,,,,"312,35",,,,,,,,,,
JANDAIRA-BA,,,BA,,,"51,87",,,,,-,,,,,,,"51,87",,,,,,,"297,63",,,,,,,,,,
JEQUIE-BA,,,BA,,,"98,82",,,,,-,,,,,,,"98,82",,,,,,,"567,01",,,,,,,,,,
JEREMOABO-BA,,,BA,,,"71,58",,,,,-,,,,,,,"71,58",,,,,,,"410,82",,,,,,,,,,
