ANADIA-AL,,,,,,,,,AL,,"690,52",,,,,,-,,,,,,,"690,52",,,,,,"7.563,48",,,,,,,,,,
ATALAIA-AL,,,,,,,,,AL,,"891,93",,,,,,-,,,,,,,"891,93",,,,,,"9.769,52",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,,,,AL,,"661,75",,,,,,-,,,,,,,"661,75",,,,,,"7.248,34",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,,,,AL,,"575,44",,,,,,-,,,,,,,"575,44",,,,,,"6.302,91",,,,,,,,,,
BOCA DA MATA-AL,,,,,,,,,AL,,"776,84",,,,,,-,,,,,,,"776,84",,,,,,"8.508,91",,,,,,,,,,
BRANQUINHA-AL,,,,,,,,,AL,,"604,21",,,,,,-,,,,,,,"604,21",,,,,,"6.618,05",,,,,,,,,,
CAJUEIRO-AL,,,,,,,,,AL,,"748,07",,,,,,-,,,,,,,"748,07",,,,,,"8.193,78",,,,,,,,,,
CAMPESTRE-AL,,,,,,,,,AL,,"575,44",,,,,,-,,,,,,,"575,44",,,,,,"6.302,91",,,,,,,,,,
CAMPO ALEGRE-AL,,,,,,,,,AL,,"920,70",,,,,,-,,,,,,,"920,70",,,,,,"10.084,65",,,,,,,,,,
CAPELA-AL,,,,,,,,,AL,,"690,52",,,,,,-,,,,,,,"690,52",,,,,,"7.563,48",,,,,,,,,,
CHA PRETA-AL,,,,,,,,,AL,,"575,44",,,,,,-,,,,,,,"575,44",,,,,,"6.302,91",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,,,,AL,,"748,07",,,,,,-,,,,,,,"748,07",,,,,,"8.193,78",,,,,,,,,,
COQUEIRO SECO-AL,,,,,,,,,AL,,"98.754,08",,,,,,"367,88",,,,,,,"99.121,96",,,,,,"980.792,33",,,,,,,,,,
CORURIPE-AL,,,,,,,,,AL,,"2.170.410,75",,,,,,"70.542,86",,,,,,,"2.240.953,61",,,,,,"22.367.372,16",,,,,,,,,,
FELIZ DESERTO-AL,,,,,,,,,AL,,"20.815,45",,,,,,"29.089,59",,,,,,,"49.905,04",,,,,,"546.622,53",,,,,,,,,,
FLEXEIRAS-AL,,,,,,,,,AL,,"632,98",,,,,,-,,,,,,,"632,98",,,,,,"6.933,20",,,,,,,,,,
IBATEGUARA-AL,,,,,,,,,AL,,"661,75",,,,,,-,,,,,,,"661,75",,,,,,"7.248,34",,,,,,,,,,
IGREJA NOVA-AL,,,,,,,,,AL,,"748,07",,,,,,-,,,,,,,"748,07",,,,,,"8.193,78",,,,,,,,,,
JACUIPE-AL,,,,,,,,,AL,,"575,44",,,,,,-,,,,,,,"575,44",,,,,,"6.302,91",,,,,,,,,,
JAPARATINGA-AL,,,,,,,,,AL,,"575,44",,,,,,-,,,,,,,"575,44",,,,,,"6.302,91",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,,,,AL,,"1.032,97",,,,,,"167,99",,,,,,,"1.200,96",,,,,,"27.815,60",,,,,,,,,,
JOAQUIM GOMES-AL,,,,,,,,,AL,,"748,07",,,,,,-,,,,,,,"748,07",,,,,,"8.193,78",,,,,,,,,,
JUNDIA-AL,,,,,,,,,AL,,"575,44",,,,,,-,,,,,,,"575,44",,,,,,"6.302,91",,,,,,,,,,
JUNQUEIRO-AL,,,,,,,,,AL,,"748,07",,,,,,-,,,,,,,"748,07",,,,,,"8.193,78",,,,,,,,,,
