ANADIA-AL,,,,AL,,,,,"844,20",,,,,-,,,,,"844,20",,,,,,"6.851,59",,,,,,,,,,
ATALAIA-AL,,,,AL,,,,,"1.090,43",,,,,-,,,,,"1.090,43",,,,,,"8.849,99",,,,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,AL,,,,,"738,67",,,,,-,,,,,"738,67",,,,,,"5.995,15",,,,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
BOCA DA MATA-AL,,,,AL,,,,,"949,73",,,,,-,,,,,"949,73",,,,,,"7.708,06",,,,,,,,,,
BRANQUINHA-AL,,,,AL,,,,,"738,67",,,,,-,,,,,"738,67",,,,,,"5.995,15",,,,,,,,,,
CAJUEIRO-AL,,,,AL,,,,,"879,38",,,,,-,,,,,"879,38",,,,,,"7.137,11",,,,,,,,,,
CAMPESTRE-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
CAMPO ALEGRE-AL,,,,AL,,,,,"1.090,43",,,,,-,,,,,"1.090,43",,,,,,"8.849,99",,,,,,,,,,
CAPELA-AL,,,,AL,,,,,"879,38",,,,,-,,,,,"879,38",,,,,,"7.137,11",,,,,,,,,,
CHA PRETA-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
COLONIA LEOPOLDINA-AL,,,,AL,,,,,"844,20",,,,,-,,,,,"844,20",,,,,,"6.851,59",,,,,,,,,,
COQUEIRO SECO-AL,,,,AL,,,,,"1.736,17",,,,,"666,07",,,,,"2.402,24",,,,,,"19.845,92",,,,,,,,,,
CORURIPE-AL,,,,AL,,,,,"1.284.402,65",,,,,"73.191,54",,,,,"1.357.594,19",,,,,,"10.321.905,69",,,,,,,,,,
FELIZ DESERTO-AL,,,,AL,,,,,"25.533,07",,,,,"34.996,26",,,,,"60.529,33",,,,,,"491.261,58",,,,,,,,,,
FLEXEIRAS-AL,,,,AL,,,,,"738,67",,,,,-,,,,,"738,67",,,,,,"5.995,15",,,,,,,,,,
IBATEGUARA-AL,,,,AL,,,,,"809,03",,,,,-,,,,,"809,03",,,,,,"6.566,12",,,,,,,,,,
IGREJA NOVA-AL,,,,AL,,,,,"914,55",,,,,-,,,,,"914,55",,,,,,"7.422,56",,,,,,,,,,
JACUIPE-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
JAPARATINGA-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
JEQUIA DA PRAIA-AL,,,,AL,,,,,"3.585,05",,,,,"1.180,70",,,,,"4.765,75",,,,,,"32.481,11",,,,,,,,,,
JOAQUIM GOMES-AL,,,,AL,,,,,"914,55",,,,,-,,,,,"914,55",,,,,,"7.422,56",,,,,,,,,,
JUNDIA-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
JUNQUEIRO-AL,,,,AL,,,,,"914,55",,,,,-,,,,,"914,55",,,,,,"7.422,56",,,,,,,,,,
MACEIO-AL,,,,AL,,,,,"94.205,96",,,,,"19.685,86",,,,,"113.891,82",,,,,,"890.976,59",,,,,,,,,,
MARAGOGI-AL,,,,AL,,,,,"914,55",,,,,-,,,,,"914,55",,,,,,"7.422,56",,,,,,,,,,
MARECHAL DEODORO-AL,,,,AL,,,,,"149.730,31",,,,,"117.159,69",,,,,"266.890,00",,,,,,"2.321.162,34",,,,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,AL,,,,,"949,73",,,,,-,,,,,"949,73",,,,,,"7.708,06",,,,,,,,,,
MESSIAS-AL,,,,AL,,,,,"738,67",,,,,-,,,,,"738,67",,,,,,"5.995,15",,,,,,,,,,
MURICI-AL,,,,AL,,,,,"949,73",,,,,-,,,,,"949,73",,,,,,"7.708,06",,,,,,,,,,
NOVO LINO-AL,,,,AL,,,,,"738,67",,,,,-,,,,,"738,67",,,,,,"5.995,15",,,,,,,,,,
PARIPUEIRA-AL,,,,AL,,,,,"703,50",,,,,"9.868,29",,,,,"10.571,79",,,,,,"75.310,57",,,,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,AL,,,,,"773,85",,,,,-,,,,,"773,85",,,,,,"6.280,64",,,,,,,,,,
PENEDO-AL,,,,AL,,,,,"1.160,78",,,,,-,,,,,"1.160,78",,,,,,"9.420,97",,,,,,,,,,
PIACABUCU-AL,,,,AL,,,,,"844,20",,,,,-,,,,,"844,20",,,,,,"6.851,59",,,,,,,,,,
PILAR-AL,,,,AL,,,,,"212.807,74",,,,,"136.625,73",,,,,"349.433,47",,,,,,"3.028.845,59",,,,,,,,,,
PINDOBA-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
PORTO CALVO-AL,,,,AL,,,,,"914,55",,,,,-,,,,,"914,55",,,,,,"7.422,56",,,,,,,,,,
PORTO DE PEDRAS-AL,,,,AL,,,,,"738,67",,,,,-,,,,,"738,67",,,,,,"5.995,15",,,,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,AL,,,,,"879,38",,,,,-,,,,,"879,38",,,,,,"7.137,11",,,,,,,,,,
RIO LARGO-AL,,,,AL,,,,,"11.706,34",,,,,"6.801,89",,,,,"18.508,23",,,,,,"173.895,19",,,,,,,,,,
ROTEIRO-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"7.170,19",,,,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,AL,,,,,"703,50",,,,,-,,,,,"703,50",,,,,,"5.709,65",,,,,,,,,,
