ANADIA-AL,,,,,,AL,,"754,22",,,,,,,-,,,,,"754,22",,,,,,"754,22",,,,,,,,
ATALAIA-AL,,,,,,AL,,"1.005,63",,,,,,,-,,,,,"1.005,63",,,,,,"1.005,63",,,,,,,,
BARRA DE SANTO ANTONIO-AL,,,,,,AL,,"691,37",,,,,,,-,,,,,"691,37",,,,,,"691,37",,,,,,,,
BARRA DE SAO MIGUEL-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
BOCA DA MATA-AL,,,,,,AL,,"848,50",,,,,,,-,,,,,"848,50",,,,,,"848,50",,,,,,,,
BRANQUINHA-AL,,,,,,AL,,"659,94",,,,,,,-,,,,,"659,94",,,,,,"659,94",,,,,,,,
CAJUEIRO-AL,,,,,,AL,,"817,08",,,,,,,-,,,,,"817,08",,,,,,"817,08",,,,,,,,
CAMPESTRE-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
CAMPO ALEGRE-AL,,,,,,AL,,"974,21",,,,,,,-,,,,,"974,21",,,,,,"974,21",,,,,,,,
CAPELA-AL,,,,,,AL,,"754,22",,,,,,,-,,,,,"754,22",,,,,,"754,22",,,,,,,,
CHA PRETA-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
COLONIA LEOPOLDINA-AL,,,,,,AL,,"785,65",,,,,,,-,,,,,"785,65",,,,,,"785,65",,,,,,,,
COQUEIRO SECO-AL,,,,,,AL,,"788,77",,,,,,,"103,36",,,,,"892,13",,,,,,"892,13",,,,,,,,
CORURIPE-AL,,,,,,AL,,"797.669,64",,,,,,,"57.761,12",,,,,"855.430,76",,,,,,"855.430,76",,,,,,,,
FELIZ DESERTO-AL,,,,,,AL,,"22.590,58",,,,,,,"31.570,34",,,,,"54.160,92",,,,,,"54.160,92",,,,,,,,
FLEXEIRAS-AL,,,,,,AL,,"659,94",,,,,,,-,,,,,"659,94",,,,,,"659,94",,,,,,,,
IBATEGUARA-AL,,,,,,AL,,"722,80",,,,,,,-,,,,,"722,80",,,,,,"722,80",,,,,,,,
IGREJA NOVA-AL,,,,,,AL,,"817,08",,,,,,,-,,,,,"817,08",,,,,,"817,08",,,,,,,,
JACUIPE-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
JAPARATINGA-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
JEQUIA DA PRAIA-AL,,,,,,AL,,"3.396,21",,,,,,,"1.149,23",,,,,"4.545,44",,,,,,"4.545,44",,,,,,,,
JOAQUIM GOMES-AL,,,,,,AL,,"817,08",,,,,,,-,,,,,"817,08",,,,,,"817,08",,,,,,,,
JUNDIA-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
JUNQUEIRO-AL,,,,,,AL,,"848,50",,,,,,,-,,,,,"848,50",,,,,,"848,50",,,,,,,,
MACEIO-AL,,,,,,AL,,"71.952,67",,,,,,,"17.944,90",,,,,"89.897,57",,,,,,"89.897,57",,,,,,,,
MARAGOGI-AL,,,,,,AL,,"848,50",,,,,,,-,,,,,"848,50",,,,,,"848,50",,,,,,,,
MARECHAL DEODORO-AL,,,,,,AL,,"99.485,00",,,,,,,"83.775,73",,,,,"183.260,73",,,,,,"183.260,73",,,,,,,,
MATRIZ DE CAMARAGIBE-AL,,,,,,AL,,"848,50",,,,,,,-,,,,,"848,50",,,,,,"848,50",,,,,,,,
MESSIAS-AL,,,,,,AL,,"722,80",,,,,,,-,,,,,"722,80",,,,,,"722,80",,,,,,,,
MURICI-AL,,,,,,AL,,"848,50",,,,,,,-,,,,,"848,50",,,,,,"848,50",,,,,,,,
NOVO LINO-AL,,,,,,AL,,"659,94",,,,,,,-,,,,,"659,94",,,,,,"659,94",,,,,,,,
PARIPUEIRA-AL,,,,,,AL,,"628,52",,,,,,,"7.960,68",,,,,"8.589,20",,,,,,"8.589,20",,,,,,,,
PASSO DE CAMARAGIBE-AL,,,,,,AL,,"691,37",,,,,,,-,,,,,"691,37",,,,,,"691,37",,,,,,,,
PENEDO-AL,,,,,,AL,,"642.919,90",,,,,,,"0,41",,,,,"642.920,31",,,,,,"642.920,31",,,,,,,,
PIACABUCU-AL,,,,,,AL,,"754,22",,,,,,,-,,,,,"754,22",,,,,,"754,22",,,,,,,,
PILAR-AL,,,,,,AL,,"94.003,46",,,,,,,"60.064,67",,,,,"154.068,13",,,,,,"154.068,13",,,,,,,,
PINDOBA-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
PORTO CALVO-AL,,,,,,AL,,"848,50",,,,,,,-,,,,,"848,50",,,,,,"848,50",,,,,,,,
PORTO DE PEDRAS-AL,,,,,,AL,,"659,94",,,,,,,-,,,,,"659,94",,,,,,"659,94",,,,,,,,
PORTO REAL DO COLEGIO-AL,,,,,,AL,,"754,22",,,,,,,-,,,,,"754,22",,,,,,"754,22",,,,,,,,
RIO LARGO-AL,,,,,,AL,,"12.054,71",,,,,,,"7.086,12",,,,,"19.140,83",,,,,,"19.140,83",,,,,,,,
ROTEIRO-AL,,,,,,AL,,"1.718,52",,,,,,,"703,05",,,,,"2.421,57",,,,,,"2.421,57",,,,,,,,
SANTA LUZIA DO NORTE-AL,,,,,,AL,,"1.314,99",,,,,,,"442,36",,,,,"1.757,35",,,,,,"1.757,35",,,,,,,,
SANTANA DO MUNDAU-AL,,,,,,AL,,"659,94",,,,,,,-,,,,,"659,94",,,,,,"659,94",,,,,,,,
SAO JOSE DA LAJE-AL,,,,,,AL,,"817,08",,,,,,,-,,,,,"817,08",,,,,,"817,08",,,,,,,,
SAO LUIS DO QUITUNDE-AL,,,,,,AL,,"879,93",,,,,,,-,,,,,"879,93",,,,,,"879,93",,,,,,,,
SAO MIGUEL DOS CAMPOS-AL,,,,,,AL,,"314.313,74",,,,,,,"222.074,80",,,,,"536.388,54",,,,,,"536.388,54",,,,,,,,
SAO MIGUEL DOS MILAGRES-AL,,,,,,AL,,"628,52",,,,,,,-,,,,,"628,52",,,,,,"628,52",,,,,,,,
SATUBA-AL,,,,,,AL,,"678.545,87",,,,,,,"23.181,86",,,,,"701.727,73",,,,,,"701.727,73",,,,,,,,
TEOTONIO VILELA-AL,,,,,,AL,,"974,21",,,,,,,-,,,,,"974,21",,,,,,"974,21",,,,,,,,
UNIAO DOS PALMARES-AL,,,,,,AL,,"1.037,06",,,,,,,-,,,,,"1.037,06",,,,,,"1.037,06",,,,,,,,
VICOSA-AL,,,,,,AL,,"848,50",,,,,,,-,,,,,"848,50",,,,,,"848,50",,,,,,,,
Superintendência de Controle das Participações Governamentais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAGOAS  TOTAL,,,,,,,,"2.770.420,17",,,,,,,"513.818,63",,,,,"3.284.238,80",,,,,,"3.284.238,80",,,,,,,,
ANAMA-AM,,,,,,AM,,-,,,,,,,"2.529,15",,,,,"2.529,15",,,,,,"2.529,15",,,,,,,,
ANORI-AM,,,,,,AM,,-,,,,,,,"2.529,15",,,,,"2.529,15",,,,,,"2.529,15",,,,,,,,
AUTAZES-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
BERURI-AM,,,,,,AM,,-,,,,,,,"2.529,15",,,,,"2.529,15",,,,,,"2.529,15",,,,,,,,
CAREIRO DA VARZEA-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
CAREIRO-AM,,,,,,AM,,-,,,,,,,"2.529,15",,,,,"2.529,15",,,,,,"2.529,15",,,,,,,,
COARI-AM,,,,,,AM,,"1.963.937,46",,,,,,,"1.911.638,83",,,,,"3.875.576,29",,,,,,"3.875.576,29",,,,,,,,
CODAJAS-AM,,,,,,AM,,-,,,,,,,"2.529,15",,,,,"2.529,15",,,,,,"2.529,15",,,,,,,,
IRANDUBA-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
ITACOATIARA-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
ITAPIRANGA-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
MANACAPURU-AM,,,,,,AM,,-,,,,,,,"2.529,15",,,,,"2.529,15",,,,,,"2.529,15",,,,,,,,
MANAQUIRI-AM,,,,,,AM,,-,,,,,,,"2.529,15",,,,,"2.529,15",,,,,,"2.529,15",,,,,,,,
MANAUS-AM,,,,,,AM,,"818.674,84",,,,,,,"82.448,12",,,,,"901.122,96",,,,,,"901.122,96",,,,,,,,
PARINTINS-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
SILVES-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
URUCARA-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
URUCURITUBA-AM,,,,,,AM,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
AMAZONAS  TOTAL,,,,,,,,"2.782.612,30",,,,,,,"2.071.756,74",,,,,"4.854.369,04",,,,,,"4.854.369,04",,,,,,,,
LARANJAL DO JARI-AP,,,,,,AP,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
MACAPA-AP,,,,,,AP,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
MAZAGAO-AP,,,,,,AP,,-,,,,,,,"6.662,86",,,,,"6.662,86",,,,,,"6.662,86",,,,,,,,
AMAPA  TOTAL,,,,,,,,-,,,,,,,"19.988,58",,,,,"19.988,58",,,,,,"19.988,58",,,,,,,,
ACAJUTIBA-BA,,,,,,BA,,"1.136,55",,,,,,,"0,06",,,,,"1.136,61",,,,,,"1.136,61",,,,,,,,
ADUSTINA-BA,,,,,,BA,,"1.136,55",,,,,,,"0,06",,,,,"1.136,61",,,,,,"1.136,61",,,,,,,,
AGUA FRIA-BA,,,,,,BA,,"1.136,55",,,,,,,"0,06",,,,,"1.136,61",,,,,,"1.136,61",,,,,,,,
AIQUARA-BA,,,,,,BA,,"988,31",,,,,,,"0,06",,,,,"988,37",,,,,,"988,37",,,,,,,,
ALAGOINHAS-BA,,,,,,BA,,"256.772,33",,,,,,,"142.950,60",,,,,"399.722,93",,,,,,"399.722,93",,,,,,,,
ALCOBACA-BA,,,,,,BA,,"1.235,39",,,,,,,"0,07",,,,,"1.235,46",,,,,,"1.235,46",,,,,,,,
ALMADINA-BA,,,,,,BA,,"988,31",,,,,,,"0,06",,,,,"988,37",,,,,,"988,37",,,,,,,,
AMARGOSA-BA,,,,,,BA,,"1.433,06",,,,,,,"0,08",,,,,"1.433,14",,,,,,"1.433,14",,,,,,,,
